gene_id	S00155317	S00156923	S00154296	S00153616	S00162043	S00162914	S00162916	S00162946	S00162143	S00164485	S00167298	S00162947	S00168118	S00167654	S00170050	S00168894	S00170058
ENSG00000000003	4990	1490	6276	4597	3527	4874	8282	4773	3830	9190	4902	5113	3150	4642	4863	6166	4847
ENSG00000000005	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0
ENSG00000000419	717	779	883	749	544	841	883	993	596	1149	914	777	567	609	692	931	853
ENSG00000000457	599	234	525	564	416	575	588	591	495	1122	791	724	454	498	566	624	698
ENSG00000000460	117	119	94	161	59	184	135	116	101	161	281	154	103	105	102	156	238
ENSG00000000938	78	1605	28	76	49	164	238	58	89	867	164	250	375	33	193	291	376
ENSG00000000971	3925	1628	3815	3807	3412	4375	3497	4485	4910	14328	6120	6225	3143	2580	4096	6333	5648
ENSG00000001036	935	636	996	1161	619	955	1485	1069	1496	1036	1027	1592	1043	1036	1100	1457	984
ENSG00000001084	5857	1405	4932	7205	3315	4896	5619	5226	5967	5066	4706	7808	3844	6135	4680	5222	4294
ENSG00000001167	631	412	530	656	411	690	821	685	652	788	995	1085	565	706	525	583	903
ENSG00000001460	682	236	736	649	505	495	1265	593	344	1270	663	612	285	637	528	731	525
ENSG00000001461	2381	1042	1888	2227	1648	1851	2535	2265	2301	2191	2735	3548	1935	1856	1990	3363	1931
ENSG00000001497	931	563	679	1107	592	747	1104	1080	825	944	1302	1203	702	709	743	1065	938
ENSG00000001561	3650	510	4580	2185	2242	2563	3618	3599	2681	4085	2835	2948	2049	2577	2573	3564	2592
ENSG00000001617	2596	2799	2772	2473	2081	3457	2894	3752	2491	2997	6892	3678	1770	2260	1992	2695	3399
ENSG00000001626	763	256	327	417	305	249	439	854	517	370	619	530	293	494	226	342	207
ENSG00000001629	1882	638	1713	1936	1255	1851	1926	1990	1869	3311	2394	2407	1407	1880	1379	1959	1805
ENSG00000001630	34	22	25	72	86	49	50	97	57	43	117	103	79	50	57	119	81
ENSG00000001631	707	371	763	647	621	778	798	715	573	922	1022	835	463	669	463	803	701
ENSG00000002016	167	53	120	134	133	107	178	129	157	113	269	279	99	148	86	106	199
ENSG00000002079	20	12	39	15	9	17	26	29	27	20	18	13	13	20	21	9	12
ENSG00000002330	504	366	427	729	438	341	764	680	487	365	661	672	529	546	715	842	514
ENSG00000002549	2897	978	2419	4127	2202	2746	5332	2844	3568	42200	3046	5232	3396	2836	4883	6878	8231
ENSG00000002586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587	2403	3194	1707	2762	1536	1861	4751	2303	2785	3363	2929	2981	2649	2449	3077	5459	2981
ENSG00000002726	7	14	9	7	13	29	38	6	4	4	3	17	0	10	16	6	2
ENSG00000002745	0	25	4	2	5	6	0	1	2	5	11	2	4	1	0	1	14
ENSG00000002746	0	0	0	3	0	3	1	0	3	0	7	1	0	0	0	3	0
ENSG00000002822	459	465	446	658	401	533	602	655	467	363	752	611	510	476	412	627	666
ENSG00000002834	7278	3943	5934	6873	4616	4486	10611	7996	7853	8828	6722	9604	6722	6452	6318	10065	7113
ENSG00000002919	549	559	535	634	393	451	622	637	565	789	772	729	458	515	638	812	711
ENSG00000002933	40	164	27	58	34	54	234	62	90	323	83	210	92	29	138	214	325
ENSG00000003056	1460	803	1344	1505	1153	1554	1635	1497	1751	1989	2338	1913	1373	1103	1148	1708	1739
ENSG00000003096	39	59	102	31	81	71	200	85	31	103	77	66	36	64	58	120	55
ENSG00000003137	39	103	28	87	19	69	98	61	43	51	96	40	21	8	121	73	65
ENSG00000003147	872	258	749	685	547	451	707	1214	674	455	854	920	617	631	677	765	416
ENSG00000003249	288	138	332	416	148	267	377	305	241	330	383	489	289	463	320	431	237
ENSG00000003393	709	270	726	762	443	619	957	767	628	1126	941	814	522	766	611	780	718
ENSG00000003400	618	226	596	798	361	437	837	543	398	2797	767	995	534	595	720	944	1016
ENSG00000003402	3209	4235	3613	3717	2814	3259	4228	3010	3074	10945	5335	4146	2906	2488	4111	4786	6101
ENSG00000003436	356	97	418	281	37	309	158	290	194	180	190	117	267	98	186	110	68
ENSG00000003509	305	145	252	328	153	236	273	289	220	244	331	332	193	235	221	238	273
ENSG00000003756	2249	1283	2090	2136	1537	1631	2438	2421	2036	2129	2865	2792	1538	1407	1909	2202	2159
ENSG00000003987	55	34	60	85	66	59	127	93	38	86	57	84	41	67	65	72	54
ENSG00000003989	499	39	1138	1061	892	659	1670	876	363	1341	329	706	222	1200	643	902	652
ENSG00000004059	2290	2318	1963	2401	1497	1847	2743	3049	2242	1842	2956	2778	1998	1942	2205	3035	2654
ENSG00000004139	263	43	256	245	222	211	311	363	304	184	344	389	237	208	216	381	249
ENSG00000004142	2563	2494	2258	2668	1605	2336	2629	3311	2407	2217	3538	2956	2114	2228	2120	3136	2825
ENSG00000004399	218	279	128	189	117	217	513	249	310	496	494	498	232	213	289	580	710
ENSG00000004455	2371	2004	2059	2635	1410	2208	2503	2963	2103	2854	3190	2944	1991	1873	1913	2795	2876
ENSG00000004468	691	30	1010	977	924	533	1438	390	189	9104	455	464	418	580	1070	822	696
ENSG00000004478	1342	2388	1258	1582	1250	1858	2801	2119	1789	1669	3045	2780	1617	3215	930	1291	1871
ENSG00000004487	1864	1108	1564	1940	1272	1652	2062	2061	1550	2610	2564	2214	1404	1762	1304	1790	1771
ENSG00000004534	1530	878	1500	1289	925	1097	1569	2227	1143	1274	1886	1854	971	1131	1371	1581	1333
ENSG00000004660	205	240	187	218	231	265	175	280	306	137	400	165	209	175	182	208	194
ENSG00000004700	323	139	315	407	277	493	474	474	478	588	742	601	317	414	273	559	475
ENSG00000004766	607	271	473	607	407	633	766	703	875	993	1030	1153	498	620	441	901	768
ENSG00000004776	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000004777	284	54	201	306	168	111	422	294	151	122	261	267	169	95	289	301	132
ENSG00000004779	1128	1173	1095	1124	752	1029	1607	1303	988	1436	1264	1233	826	972	1035	1367	1091
ENSG00000004799	368	67	230	420	187	137	256	195	132	960	204	333	263	422	139	164	225
ENSG00000004809	6	21	19	460	24	10	5	352	184	9	89	6	569	2	7	10	21
ENSG00000004838	4678	20	3535	4976	2868	1511	7453	3311	1303	7349	2603	2968	1765	3693	3783	3421	1796
ENSG00000004846	15	0	15	2	5	14	37	2	17	20	2	3	4	10	4	9	3
ENSG00000004848	11	4	29	6	8	23	49	12	4	15	8	4	0	7	14	8	9
ENSG00000004864	694	555	747	892	604	945	874	886	800	837	1162	921	639	690	491	803	778
ENSG00000004866	406	218	334	524	247	262	377	480	321	448	437	387	351	318	344	452	368
ENSG00000004897	1118	654	997	1130	718	1181	1295	1116	1055	2009	1526	1458	917	1052	911	1479	1183
ENSG00000004939	1	0	0	1	0	3	0	0	1	0	1	1	5	0	0	1	0
ENSG00000004948	3	0	3	1	1	1	0	3	5	2	10	11	3	3	2	3	3
ENSG00000004961	615	400	526	740	464	763	761	663	578	1124	835	898	552	742	629	771	879
ENSG00000004975	854	354	646	946	505	560	935	940	876	740	1025	1011	717	749	704	1047	925
ENSG00000005001	2349	5456	3551	3825	1552	2971	3244	3382	3983	2026	4157	4003	3663	2565	4415	5872	4979
ENSG00000005007	7786	3490	6214	10370	4700	3954	8527	8449	6479	6455	8136	8227	6664	5331	7073	8229	6297
ENSG00000005020	81	196	31	74	57	118	143	80	78	200	153	141	85	47	76	123	232
ENSG00000005022	5231	8096	5799	5552	4760	8014	6056	8425	6428	7072	9320	7258	5007	4680	4518	6382	6456
ENSG00000005059	386	714	237	409	253	315	444	377	393	3761	417	503	395	328	490	619	719
ENSG00000005073	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000005075	858	599	730	849	533	676	1015	993	845	701	810	890	669	653	781	855	829
ENSG00000005100	597	454	491	711	483	759	763	717	661	716	1062	864	525	657	493	641	896
ENSG00000005102	53	251	66	18	67	197	86	56	75	44	438	93	37	87	19	91	306
ENSG00000005108	51	33	161	104	75	155	51	42	280	70	120	107	203	163	30	31	18
ENSG00000005156	583	313	546	863	465	533	1013	687	527	1092	967	796	487	493	509	784	593
ENSG00000005175	761	465	994	751	569	869	985	917	631	1404	992	971	506	686	646	977	779
ENSG00000005187	96	16	64	47	76	79	71	66	41	113	98	109	31	28	40	72	59
ENSG00000005189	336	97	228	489	154	197	541	257	187	618	346	368	212	251	281	300	171
ENSG00000005194	658	988	734	926	532	999	952	867	747	957	1307	1019	802	715	734	995	1091
