"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Lung fibrosis WP3624"	"Lung fibrosis WP3624"	"18/271"	"63/6201"	8.49247571604628e-11	2.20804368617203e-08	1.85046576128587e-08	"MMP9/IL1B/PTX3/SPP1/CCL3/CXCL8/CXCL2/MUC5B/CCL4/PLAU/IL6/IL13/EDN1/TNF/CSF3/CCR3/TERT/CALCA"	18
"M1"	"Spinal Cord Injury WP2431"	"Spinal Cord Injury WP2431"	"23/271"	"118/6201"	8.94890259241281e-10	1.16335733701366e-07	9.74959387699711e-08	"MMP9/IL1B/EGR1/CXCL8/PTGS2/LILRB3/IL1A/CXCL2/FOS/NR4A1/NCAN/FCGR2A/MMP12/LILRB2/TNFSF13B/IL6/ICAM1/TNF/ARG1/TLR4/BCAN/PLA2G2A/LTB"	23
"M1"	"Human Complement System WP2806"	"Human Complement System WP2806"	"18/271"	"97/6201"	1.43350668836365e-07	1.2423724632485e-05	1.04117854207465e-05	"FCN1/PTX3/SPP1/C4BPA/ADM/FPR1/PLAUR/CR1/ITGAX/C5AR1/SELL/C7/ICAM1/FCER2/CFP/THBS1/CD93/ITGB3"	18
"M1"	"Photodynamic therapy-induced NF-kB survival signaling WP3617"	"Photodynamic therapy-induced NF-kB survival signaling WP3617"	"10/271"	"35/6201"	1.49908718776688e-06	9.74406672048474e-05	8.16608020704592e-05	"MMP9/IL1B/CXCL8/PTGS2/IL1A/BCL2A1/CXCL2/IL6/ICAM1/TNF"	10
"M1"	"miRNAs involvement in the immune response in sepsis WP4329"	"miRNAs involvement in the immune response in sepsis WP4329"	"9/271"	"37/6201"	2.15424383638807e-05	0.0011202067949218	0.000938796787647011	"CCL3/CXCL8/IL1A/CCL4/TLR8/IL6/ICAM1/TNF/TLR4"	9
"M1"	"Vitamin B12 Metabolism WP1533"	"Vitamin B12 Metabolism WP1533"	"10/271"	"50/6201"	4.68723679596209e-05	0.00176406861873481	0.00147838949019476	"IL1B/MPO/SERPINA3/IL6/SAA4/ICAM1/TNF/SERPINE1/SAA1/SAA2"	10
"M1"	"Development and heterogeneity of the ILC family WP3893"	"Development and heterogeneity of the ILC family WP3893"	"8/271"	"32/6201"	5.05065631175025e-05	0.00176406861873481	0.00147838949019476	"IL1B/AREG/IL25/IL17A/IL6/IL23A/IL13/TNF"	8
"M1"	"Cells and Molecules involved in local acute inflammatory response  WP4493"	"Cells and Molecules involved in local acute inflammatory response  WP4493"	"6/271"	"17/6201"	5.42790344226096e-05	0.00176406861873481	0.00147838949019476	"CXCL8/IL1A/IL6/C7/ICAM1/TNF"	6
"M1"	"Peptide GPCRs WP24"	"Peptide GPCRs WP24"	"12/271"	"74/6201"	7.37737510076643e-05	0.00213124169577697	0.00178610134018556	"CXCR1/FPR2/CXCR2/GHSR/SSTR3/FPR1/CCR1/TSHR/C5AR1/CXCR4/CCR7/CCR3"	12
"M1"	"Cytokines and Inflammatory Response WP530"	"Cytokines and Inflammatory Response WP530"	"7/271"	"26/6201"	9.0574162958902e-05	0.00235492823693145	0.00197356334026239	"IL1B/IL1A/CXCL2/IL6/IL13/TNF/CSF3"	7
