"Module"	"Gene1"	"Gene2"
"M1"	"RBFOX2"	"HERC5"
"M1"	"TTR"	"APBB1IP"
"M1"	"TTR"	"ARL8A"
"M1"	"ZDHHC6"	"EIF1AY"
"M1"	"ICAM3"	"DUSP16"
"M1"	"ICAM3"	"CCM2"
"M1"	"ICAM3"	"SCUBE1"
"M1"	"NLRP12"	"OST4"
"M1"	"NLRP12"	"NID1"
"M1"	"NLRP12"	"JUP"
"M1"	"NLRP12"	"CBL"
"M1"	"NLRP12"	"ARPC1B"
"M1"	"NLRP12"	"ZNF165"
"M1"	"NLRP12"	"TAPBP"
"M1"	"NLRP12"	"MPZL2"
"M1"	"NLRP12"	"PPL"
"M1"	"NLRP12"	"POLR1D"
"M1"	"NLRP12"	"DMPK"
"M1"	"NLRP12"	"ACKR3"
"M1"	"NLRP12"	"FZD4"
"M1"	"NLRP12"	"MYO10"
"M1"	"NLRP12"	"AATF"
"M1"	"NLRP12"	"PPAP2B"
"M1"	"NLRP12"	"NOS1"
"M1"	"NLRP12"	"CEP57"
"M1"	"NLRP12"	"MYO16"
"M1"	"NLRP12"	"EPN1"
"M1"	"NLRP12"	"HOXB6"
"M1"	"NLRP12"	"ZADH2"
"M1"	"NLRP12"	"SEL1L"
"M1"	"NLRP12"	"IGFALS"
"M1"	"NLRP12"	"CCR4"
"M1"	"NLRP12"	"KDM3A"
"M1"	"NLRP12"	"IRF2BPL"
"M1"	"NLRP12"	"ITGB3"
"M1"	"NLRP12"	"SARNP"
"M1"	"NLRP12"	"PRKAB2"
"M1"	"NLRP12"	"NCBP2"
"M1"	"NLRP12"	"PRF1"
"M1"	"NLRP12"	"VPS28"
"M1"	"NLRP12"	"APBB1IP"
"M1"	"NLRP12"	"CSRP3"
"M1"	"NLRP12"	"CTBS"
"M1"	"NLRP12"	"MPZL1"
"M1"	"NLRP12"	"CSPG4"
"M1"	"NLRP12"	"MPPED1"
"M1"	"NLRP12"	"CHCHD4"
"M1"	"NLRP12"	"RAB5B"
"M1"	"NLRP12"	"PTP4A1"
"M1"	"NLRP12"	"CCDC42"
"M1"	"NLRP12"	"SIPA1L3"
"M1"	"NLRP12"	"RINT1"
"M1"	"NLRP12"	"NEIL1"
"M1"	"NLRP12"	"BCAP29"
"M1"	"NLRP12"	"BHLHB9"
"M1"	"NLRP12"	"EIF3I"
"M1"	"NLRP12"	"PALLD"
"M1"	"NLRP12"	"MCM5"
"M1"	"NLRP12"	"DDR1"
"M1"	"NLRP12"	"TSNAX"
"M1"	"NLRP12"	"WFDC5"
"M1"	"NLRP12"	"NFIB"
"M1"	"NLRP12"	"UBE2R2"
"M1"	"NLRP12"	"TBRG1"
"M1"	"NLRP12"	"SOX6"
"M1"	"NLRP12"	"FBLN5"
"M1"	"NLRP12"	"ZNF423"
"M1"	"NLRP12"	"CNTFR"
"M1"	"NLRP12"	"LPP"
"M1"	"NLRP12"	"HOXA10"
"M1"	"NLRP12"	"NMT2"
"M1"	"NLRP12"	"XK"
"M1"	"NLRP12"	"MST1R"
"M1"	"NLRP12"	"GMFB"
"M1"	"NLRP12"	"RAD18"
"M1"	"NLRP12"	"ZNF2"
"M1"	"NLRP12"	"KIF20A"
"M1"	"NLRP12"	"IL1RAP"
"M1"	"NLRP12"	"C1orf94"
"M1"	"NLRP12"	"BAIAP2L1"
"M1"	"NLRP12"	"MPDU1"
"M1"	"CENPL"	"FOLR3"
"M1"	"CENPL"	"EIF1AY"
"M1"	"RPGRIP1L"	"ITGB3"
"M1"	"FHL2"	"ITGB3"
"M1"	"TMSB4Y"	"CD47"
"M1"	"TMSB4Y"	"AKAP1"
"M1"	"TMSB4Y"	"GJD4"
"M1"	"TMSB4Y"	"RPL23A"
"M1"	"TMSB4Y"	"PPAP2B"
"M1"	"TMSB4Y"	"SPATA13"
"M1"	"TMSB4Y"	"KDM3A"
"M1"	"TMSB4Y"	"H1F0"
"M1"	"TMSB4Y"	"SCGB3A2"
"M1"	"TMSB4Y"	"PTP4A1"
"M1"	"TMSB4Y"	"EEF1A1"
"M1"	"TMSB4Y"	"SPG20"
"M1"	"TMSB4Y"	"MOB3C"
"M1"	"TMSB4Y"	"SRP19"
"M1"	"TMSB4Y"	"SPINT3"
"M1"	"TMSB4Y"	"GDF2"
"M1"	"TMSB4Y"	"PIGF"
"M1"	"TMSB4Y"	"HSPG2"
"M1"	"TMSB4Y"	"CRIPAK"
"M1"	"TMSB4Y"	"PLEKHG2"
"M1"	"TMSB4Y"	"ZNF91"
"M1"	"TMSB4Y"	"UBE2L6"
"M1"	"TMSB4Y"	"ITGB1"
"M1"	"TMSB4Y"	"HSPA2"
"M1"	"TMSB4Y"	"BAIAP2L1"
"M1"	"TMSB4Y"	"CCDC39"
"M1"	"TMSB4Y"	"POLR3H"
"M1"	"TMSB4Y"	"DOK2"
"M1"	"TMSB4Y"	"BNIP1"
"M1"	"WDR83OS"	"CXCR4"
"M1"	"INHBE"	"TUB"
"M1"	"INHBE"	"GTF2E2"
"M1"	"INHBE"	"DKC1"
"M1"	"INHBE"	"WDR5B"
"M1"	"INHBE"	"HIST1H3C"
"M1"	"INHBE"	"KIT"
"M1"	"INHBE"	"DES"
"M1"	"INHBE"	"SLC3A2"
"M1"	"INHBE"	"FOLR3"
"M1"	"INHBE"	"DLG5"
"M1"	"INHBE"	"ADRA2A"
"M1"	"INHBE"	"C16orf70"
"M1"	"BTK"	"VPS11"
"M1"	"BTK"	"NAV2"
"M1"	"BTK"	"WDR62"
"M1"	"BTK"	"NES"
"M1"	"BTK"	"SLC3A2"
"M1"	"BTK"	"RSL1D1"
"M1"	"BTK"	"MAP3K3"
"M1"	"BTK"	"MUC1"
"M1"	"BTK"	"ACTR3"
"M1"	"BTK"	"ZNF708"
"M1"	"BTK"	"ISG20"
"M1"	"BTK"	"GAPVD1"
"M1"	"BTK"	"BTF3L4"
"M1"	"BTK"	"HOXD8"
"M1"	"CORO1C"	"EIF1AY"
"M1"	"MME"	"VBP1"
"M1"	"MME"	"SPATA13"
"M1"	"MME"	"PCBP1"
"M1"	"MME"	"ERBB2"
"M1"	"MME"	"PTP4A1"
"M1"	"MME"	"FILIP1"
"M1"	"MME"	"PITX1"
"M1"	"MME"	"MAOB"
"M1"	"MME"	"WFDC3"
"M1"	"PRUNE"	"RASD1"
"M1"	"PRUNE"	"EIF1AY"
"M1"	"NLRC4"	"NLGN2"
"M1"	"NLRC4"	"SIRT2"
"M1"	"NLRC4"	"WDR62"
"M1"	"NLRC4"	"PTP4A1"
"M1"	"NLRC4"	"EIF3K"
"M1"	"NLRC4"	"RPS12"
"M1"	"NLRC4"	"KIF14"
"M1"	"NLRC4"	"GNPDA1"
"M1"	"NLRC4"	"FAT1"
"M1"	"NLRC4"	"CBLN1"
"M1"	"NLRC4"	"EIF5AL1"
"M1"	"GRAMD4"	"RAMP2"
"M1"	"LYAR"	"ITGB3"
"M1"	"ZBTB11"	"IL1B"
"M1"	"ZBTB11"	"BEST1"
"M1"	"MED31"	"OLR1"
"M1"	"CHRDL2"	"OLFML3"
"M1"	"CHRDL2"	"MAP2K3"
"M1"	"CHRDL2"	"KCNMA1"
"M1"	"CHRDL2"	"KLC2"
"M1"	"CHRDL2"	"HPRT1"
"M1"	"CHRDL2"	"PTP4A1"
"M1"	"CHRDL2"	"NMUR1"
"M1"	"CHRDL2"	"TRAF5"
"M1"	"CHRDL2"	"CARD14"
"M1"	"CHRDL2"	"ACACB"
"M1"	"CHRDL2"	"LAMTOR4"
"M1"	"CHRDL2"	"NDE1"
"M1"	"CHRDL2"	"GRTP1"
"M1"	"CHRDL2"	"MSRB2"
"M1"	"ZEB2"	"ZNF101"
"M1"	"ZEB2"	"PSMB9"
"M1"	"ZEB2"	"ITGB3"
"M1"	"ZEB2"	"APBB1IP"
"M1"	"ZEB2"	"MPPED1"
"M1"	"ZEB2"	"CHCHD4"
"M1"	"ZEB2"	"PTP4A1"
"M1"	"ZEB2"	"BCAP29"
"M1"	"ZEB2"	"SLAIN2"
"M1"	"ZEB2"	"SCAND1"
"M1"	"ZEB2"	"HSPA2"
"M1"	"ZEB2"	"SRR"
"M1"	"ZEB2"	"HEATR1"
"M1"	"ZEB2"	"NUP98"
"M1"	"ZEB2"	"CSNK2A2"
"M1"	"ZEB2"	"AGTRAP"
"M1"	"PACRG"	"SLA"
"M1"	"PRKCB"	"LRPPRC"
"M1"	"PRKCB"	"MUC6"
"M1"	"MAP1B"	"C10orf82"
"M1"	"IKBKE"	"SLC6A12"
"M1"	"ERGIC1"	"SLC6A12"
"M1"	"ERGIC1"	"GPR15"
"M1"	"ATP8A1"	"NFE2"
"M1"	"TUBB3"	"OSM"
"M1"	"TUBB3"	"STT3B"
"M1"	"TUBB3"	"AP2A1"
"M1"	"TUBB3"	"KLHDC9"
"M1"	"TUBB3"	"C19orf25"
"M1"	"TUBB3"	"DNAH2"
"M1"	"LILRB2"	"RIMS4"
"M1"	"LILRB2"	"GTF3A"
"M1"	"LILRB2"	"PTP4A1"
"M1"	"LILRB2"	"CYB5R3"
"M1"	"LILRB2"	"GFRA2"
"M1"	"LILRB2"	"IL12RB1"
"M1"	"LILRB2"	"CD84"
"M1"	"LILRB2"	"VAMP8"
"M1"	"LILRB2"	"STAMBPL1"
"M1"	"LILRB2"	"SPR"
"M1"	"LILRB2"	"ZNF213"
"M1"	"CENPC"	"SLC6A12"
"M1"	"CCL20"	"MPPED1"
"M1"	"CCL20"	"PTP4A1"
"M1"	"CCL20"	"MAP3K1"
"M1"	"CCL20"	"LSM11"
"M1"	"CCL20"	"MEF2C"
"M1"	"FAM96B"	"RGS2"
"M1"	"CRTC1"	"UTY"
"M1"	"CRTC1"	"NFE2"
"M1"	"UNC5A"	"TCEANC"
"M1"	"UNC5A"	"H1F0"
"M1"	"UNC5A"	"PTP4A1"
"M1"	"UNC5A"	"SEMA4D"
"M1"	"UNC5A"	"SRP72"
"M1"	"UNC5A"	"FAM184B"
"M1"	"LBX1"	"SIRT2"
"M1"	"LBX1"	"POLR1D"
"M1"	"LBX1"	"ZADH2"
"M1"	"LBX1"	"CARF"
"M1"	"LBX1"	"ZNF100"
"M1"	"LBX1"	"NAA25"
"M1"	"CCL4"	"SLC25A3"
"M1"	"CCL4"	"ITGAL"
"M1"	"CCL4"	"CNOT6L"
"M1"	"CCL4"	"SERPINE2"
"M1"	"CCL4"	"RBBP8"
"M1"	"CCL4"	"KIFC1"
"M1"	"CCL4"	"CBLC"
"M1"	"CCL4"	"ERBB2"
"M1"	"CCL4"	"PRKAB2"
"M1"	"CCL4"	"PTP4A1"
"M1"	"CCL4"	"SIPA1L3"
"M1"	"CCL4"	"DGCR14"
"M1"	"CCL4"	"CCDC113"
"M1"	"CCL4"	"RPUSD3"
"M1"	"CCL4"	"TNKS"
"M1"	"IL23A"	"SYNGAP1"
"M1"	"IL23A"	"PRKD1"
"M1"	"IL23A"	"ZYX"
"M1"	"IL23A"	"NEK1"
"M1"	"IL23A"	"BBS2"
"M1"	"IL23A"	"HOXB1"
"M1"	"IL23A"	"NEU1"
"M1"	"IL23A"	"CIZ1"
"M1"	"IL23A"	"PTP4A1"
"M1"	"PHACTR1"	"ANAPC7"
"M1"	"PHACTR1"	"CHD7"
"M1"	"PHACTR1"	"KPNA3"
"M1"	"PHACTR1"	"SNRNP27"
"M1"	"PHACTR1"	"RXRB"
"M1"	"PHACTR1"	"CD163"
"M1"	"PHACTR1"	"POLR1D"
"M1"	"PHACTR1"	"CLSPN"
"M1"	"PHACTR1"	"TROAP"
"M1"	"PHACTR1"	"CNTLN"
"M1"	"PHACTR1"	"SLC3A2"
"M1"	"PHACTR1"	"SKI"
"M1"	"PHACTR1"	"NPM3"
"M1"	"PHACTR1"	"GPC3"
"M1"	"PHACTR1"	"ACKR3"
"M1"	"PHACTR1"	"TUBA1C"
"M1"	"PHACTR1"	"MYO16"
"M1"	"PHACTR1"	"KIFC1"
"M1"	"PHACTR1"	"GTF3A"
"M1"	"PHACTR1"	"CRY1"
"M1"	"PHACTR1"	"OGG1"
"M1"	"PHACTR1"	"AGRN"
"M1"	"PHACTR1"	"SNAPC4"
"M1"	"PHACTR1"	"KDM3A"
"M1"	"PHACTR1"	"CRIPT"
"M1"	"PHACTR1"	"AP1G2"
"M1"	"PHACTR1"	"SLC1A1"
"M1"	"PHACTR1"	"CSRP3"
"M1"	"PHACTR1"	"MPPED1"
"M1"	"PHACTR1"	"RAB5B"
"M1"	"PHACTR1"	"FOLR3"
"M1"	"PHACTR1"	"PTP4A1"
"M1"	"PHACTR1"	"PPP2R5E"
"M1"	"PHACTR1"	"TESK2"
"M1"	"PHACTR1"	"RINT1"
"M1"	"PHACTR1"	"NCK1"
"M1"	"PHACTR1"	"KCNK17"
"M1"	"PHACTR1"	"NFE2L2"
"M1"	"PHACTR1"	"GPRC5C"
"M1"	"PHACTR1"	"PALLD"
"M1"	"PHACTR1"	"FBXO38"
"M1"	"PHACTR1"	"ARPC3"
"M1"	"PHACTR1"	"RPS15A"
"M1"	"PHACTR1"	"UCN"
"M1"	"PHACTR1"	"MCM5"
"M1"	"PHACTR1"	"C18orf32"
"M1"	"PHACTR1"	"CD209"
"M1"	"PHACTR1"	"TUBB1"
"M1"	"PHACTR1"	"CEACAM6"
"M1"	"PHACTR1"	"FUBP1"
"M1"	"PHACTR1"	"UHMK1"
"M1"	"PHACTR1"	"UBE2L6"
"M1"	"PHACTR1"	"CNTFR"
"M1"	"PHACTR1"	"LPP"
"M1"	"PHACTR1"	"AMIGO2"
"M1"	"PHACTR1"	"PTTG1"
"M1"	"PHACTR1"	"NAT10"
"M1"	"PHACTR1"	"GZMM"
"M1"	"PHACTR1"	"RHOH"
"M1"	"PHACTR1"	"ZNF2"
"M1"	"PHACTR1"	"IL1RAP"
"M1"	"PHACTR1"	"BAIAP2L1"
"M1"	"PHACTR1"	"STARD7"
"M1"	"PHACTR1"	"NUPL1"
"M1"	"CAMP"	"AURKC"
"M1"	"CAMP"	"FOLR3"
"M1"	"CAMP"	"PTP4A1"
"M1"	"CAMP"	"MRPL33"
"M1"	"CAMP"	"CHD2"
"M1"	"CAMP"	"FPGT-TNNI3K"
"M1"	"CLEC17A"	"ASB12"
"M1"	"CLEC17A"	"TCF3"
"M1"	"CLEC17A"	"SLC3A2"
"M1"	"CLEC17A"	"DEK"
"M1"	"CLEC17A"	"PTP4A1"
"M1"	"CLEC17A"	"SIPA1L3"
"M1"	"CLEC17A"	"GPR12"
"M1"	"CLEC17A"	"TOMM70A"
"M1"	"CLEC17A"	"DGCR14"
"M1"	"CLEC17A"	"KCNIP2"
"M1"	"CLEC17A"	"TYR"
"M1"	"CLEC17A"	"MEST"
"M1"	"CLEC17A"	"PARP10"
"M1"	"CLEC17A"	"MT1E"
"M1"	"CLEC17A"	"P4HB"
"M1"	"CLEC17A"	"SFTPC"
"M1"	"CLEC17A"	"SLC9A5"
"M1"	"CLEC17A"	"RBFOX3"
"M1"	"CLEC17A"	"AARS2"
"M1"	"CLEC17A"	"HDHD2"
"M1"	"PER2"	"KRT84"
"M1"	"NPPC"	"AQP9"
"M1"	"ITGA2"	"UTY"
"M1"	"ITGA2"	"FOLR3"
"M1"	"CTU2"	"CFP"
"M1"	"CTU2"	"KRT27"
"M1"	"RGS1"	"GIPC1"
"M1"	"RGS1"	"PTP4A1"
"M1"	"RGS1"	"FCGR2B"
"M1"	"RGS1"	"EPS8L2"
"M1"	"RGS1"	"CD99"
"M1"	"CDK3"	"SIK1"
"M1"	"CDK3"	"PLAUR"
"M1"	"CDK3"	"NNMT"
"M1"	"TAB1"	"FOLR3"
"M1"	"TAB1"	"KRT27"
"M1"	"MAFA"	"RBCK1"
"M1"	"MAFA"	"PTP4A1"
"M1"	"MAFA"	"HIST3H2A"
"M1"	"MAFA"	"HIST1H3I"
"M1"	"MAFA"	"SP2"
"M1"	"MAFA"	"POLR1A"
"M1"	"MAFA"	"ACSM3"
"M1"	"MAFA"	"ILKAP"
"M1"	"MAFA"	"PCDH11X"
"M1"	"MAFA"	"LSM4"
"M1"	"MAFA"	"TCFL5"
"M1"	"MAFA"	"TAS1R1"
"M1"	"MAFA"	"SREBF2"
"M1"	"MAFA"	"FECH"
"M1"	"MAFA"	"ELAVL2"
"M1"	"MAFA"	"GRB2"
"M1"	"MAFA"	"DNAJC13"
"M1"	"PITPNC1"	"OLR1"
"M1"	"PINK1"	"SLC6A12"
"M1"	"JUNB"	"UTY"
"M1"	"JUNB"	"SAA4"
"M1"	"RGS2"	"LRP2"
"M1"	"RGS2"	"TTI1"
"M1"	"RGS2"	"RBL1"
"M1"	"LYVE1"	"HRH3"
"M1"	"LYVE1"	"RASD1"
"M1"	"LYVE1"	"AKAP11"
"M1"	"LYVE1"	"MTFR2"
"M1"	"LYVE1"	"RSL1D1"
"M1"	"LYVE1"	"ZADH2"
"M1"	"LYVE1"	"MSRB1"
"M1"	"LYVE1"	"TLE4"
"M1"	"LYVE1"	"PTP4A1"
"M1"	"LYVE1"	"SVIP"
"M1"	"LYVE1"	"L3MBTL1"
"M1"	"LYVE1"	"SFTPC"
"M1"	"LYVE1"	"RRP1"
"M1"	"OSM"	"WAPAL"
"M1"	"OSM"	"TDRD7"
"M1"	"OSM"	"TINAGL1"
"M1"	"OSM"	"HAO2"
"M1"	"OSM"	"CALB1"
