pathway	pval
regulation of cell cycle process (GO:0010564)	0.456102545031414
DNA-templated transcription, termination (GO:0006353)	0.284730417960841
regulation of protein sumoylation (GO:0033233)	0.337385551176197
regulation of cellular response to stress (GO:0080135)	0.0427948147871038
potassium ion import (GO:0010107)	0.00347901315064096
protein complex disassembly (GO:0043241)	0.560544938190367
regulation of mitotic spindle assembly (GO:1901673)	0.336176277982712
regulation of potassium ion transport (GO:0043266)	0.654179680217275
vacuolar acidification (GO:0007035)	0.89392046456186
positive regulation of cellular metabolic process (GO:0031325)	0.651721074090302
sulfur compound biosynthetic process (GO:0044272)	0.834209674061447
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	0.152995971317534
nucleotide-excision repair (GO:0006289)	0.30481237057153
positive regulation of RNA metabolic process (GO:0051254)	0.0653626709435027
negative regulation of innate immune response (GO:0045824)	0.461974957014158
cellular transition metal ion homeostasis (GO:0046916)	0.513191501288237
glucan catabolic process (GO:0009251)	0.0611159404845761
positive regulation of peptidyl-lysine acetylation (GO:2000758)	0.013238118048071
hyaluronan metabolic process (GO:0030212)	0.776874340108136
positive regulation of histone methylation (GO:0031062)	0.276647889883383
epithelial tube morphogenesis (GO:0060562)	0.594980497839174
protein localization to microtubule organizing center (GO:1905508)	0.966592982663798
cellular protein complex assembly (GO:0043623)	0.972970299937493
peptidyl-threonine dephosphorylation (GO:0035970)	0.583663220400427
chromosome organization (GO:0051276)	0.661442525667314
regulation of vacuole organization (GO:0044088)	0.713521410050663
negative regulation of smoothened signaling pathway (GO:0045879)	0.808978043902459
negative regulation of endocytosis (GO:0045806)	0.516868724462444
regulation of anatomical structure morphogenesis (GO:0022603)	0.815992251412338
positive regulation of endothelial cell migration (GO:0010595)	0.273922802582681
spermatogenesis (GO:0007283)	0.372233704928473
actomyosin structure organization (GO:0031032)	0.110383317649262
mRNA processing (GO:0006397)	0.304446087103996
positive regulation of chromosome organization (GO:2001252)	0.616496721439817
protein homooligomerization (GO:0051260)	0.0830109313731549
regulation of actin cytoskeleton reorganization (GO:2000249)	0.0497169634098813
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	0.10864007180217
odontogenesis (GO:0042476)	0.315666286995442
positive regulation of transcription from RNA polymerase I promoter (GO:0045943)	0.841425682650391
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	0.646077606457379
regulation of striated muscle contraction (GO:0006942)	0.140796627402214
