	pathway	X1018.015.022	X1058.016.043	X1089.016.076	X1155.016.142	X1158.016.145	X1161.016.148	X1184.016.171	X1190.016.177	X1195.016.182	X1480.019.118	X1486.019.124	X1503.019.141	X1541.019.179	X1543.019.181	X1545.019.183	X1551.019.189	X1553.019.191	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1568.019.206	X1569.019.207	X1576.019.214	X1581.019.219
1	actin cytoskeleton reorganization (GO:0031532)	NA	NA	NA	NA	-1.55752164889252	NA	NA	NA	NA	1.70745072059311	-1.58411088504894	1.77679490967547	1.70581243390082	NA	NA	NA	NA	1.64782089588745	NA	NA	NA	NA	NA	1.57422513449623	NA	NA
2	actin filament organization (GO:0007015)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29625440096809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	action potential (GO:0001508)	NA	NA	1.70999473050876	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.72367721749866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	NA	-1.65247237765507	NA	NA	-1.64482494156041	NA	1.51487102697728	NA	NA	1.47440424253636	-1.67742131399252	1.49006341716262	1.43609333156967	-1.57802057022491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	activation of JUN kinase activity (GO:0007257)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.57452241255341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	activation of MAPK activity (GO:0000187)	NA	-1.70872930962479	NA	NA	-1.78226250067476	NA	1.54492839628363	NA	NA	1.46243613305082	-1.64502719946132	NA	1.82797601181098	NA	NA	NA	NA	1.56434340092277	NA	NA	NA	NA	-1.48146007473519	NA	NA	NA
7	activation of NF-kappaB-inducing kinase activity (GO:0007250)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73459518191485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	activation of phospholipase C activity (GO:0007202)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64798060486038	-1.66762660010065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.86612340155659	NA
9	activation of protein kinase activity (GO:0032147)	NA	-1.47763227345052	NA	NA	-1.65011547903426	NA	1.36828124600303	1.40160956556135	NA	1.46151967419189	-1.64019969227384	NA	1.70253387060373	NA	NA	NA	NA	1.47806016860301	NA	NA	NA	NA	-1.33910259909503	NA	NA	-1.62387288160381
10	activation of protein kinase B activity (GO:0032148)	NA	NA	NA	-1.69035937297115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	acute inflammatory response (GO:0002526)	NA	NA	NA	NA	-1.69390651061104	NA	1.59033171199178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	acylglycerol catabolic process (GO:0046464)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.76234631955186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	acylglycerol homeostasis (GO:0055090)	NA	NA	1.6217034422174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	adenylate cyclase-activating G-protein coupled receptor signaling pathway (GO:0007189)	NA	NA	NA	1.6626228007674	NA	NA	NA	NA	NA	NA	-1.71166834840763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway (GO:0007193)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.83271900546321	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	adenylate cyclase-modulating G-protein coupled receptor signaling pathway (GO:0007188)	NA	NA	1.65809053562174	1.70040069543499	-1.66090414754562	NA	1.54632468436768	NA	NA	1.32422692741025	-1.97462362673421	1.51101965404529	NA	NA	NA	NA	-1.72879234279544	1.76624470484346	NA	1.5647327656345	NA	NA	NA	NA	NA	NA
17	ameboidal-type cell migration (GO:0001667)	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.53882793325031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	amide biosynthetic process (GO:0043604)	NA	-1.54754535360167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	amino acid transport (GO:0006865)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.63306066055562	NA	NA	NA	NA	NA	NA	NA	NA	NA
