	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
regulation of cell cycle process (GO:0010564)	0.881525878790746	0.349307974766971	1	0.746216570075283	1	1	1	1	1	1	0.845295055821372	1	1	0.265778350884734	0.716179653679654	0.0641770803061126	0.870820472496391	0.965508865678892	1	1	1	1	1	1	1	1	1	1	1	1	0.0534884257390341	1	0.821165966386555	1	1	1	1	0.938472183629994	1	0.773611121375834	1	0.530517254322965	0.21900826446281	1	1	1	0.222067601099859	1	0.585346790362592	1	1	1	0.0891940559734774	1	0.0412502724074593	0.800174281424281	1	1	1	1	1	1	0.766628336258549
DNA-templated transcription, termination (GO:0006353)	1	0.69467850054301	1	0.416837071758895	0.945936223670958	1	1	1	1	1	1	1	0.657315424588558	0.0489598344603333	0.186539816772375	1	0.228153250107619	1	1	0.778254118282474	0.610189299268722	0.740856806260256	1	1	1	1	1	1	0.72133322278418	0.394208360192394	0.276014712104938	1	0.846908470673819	1	1	1	0.843017272029791	1	1	1	1	1	1	1	1	1	1	1	0.907075186454344	1	0.967986220413982	1	1	1	0.510764517856716	1	1	1	1	0.564139617607826	1	1	1
regulation of protein sumoylation (GO:0033233)	1	1	1	1	1	1	1	1	1	0.776556776556777	1	1	0.974097908295316	0.231403861737502	1	0.192158103600575	1	1	0.698881731896584	0.691123713219223	0.867624758753791	0.705902344817451	1	0.839311447891428	0.256232199992968	1	1	1	1	1	0.483744549177398	1	0.801730239024381	1	1	1	1	0.67436309156858	1	0.391574761898365	1	0.671949286846276	1	1	1	0.47689253786497	0.775320591358327	1	0.556613062028224	0.721964189000673	0.85308120976032	1	0.206284824647656	0.731159344124448	1	0.642901403048052	0.637686326062254	0.411623251104565	1	1	1	0.885253584890608	0.201775625504439
regulation of cellular response to stress (GO:0080135)	1	1	1	1	1	1	1	1	1	1	0.742759265026471	1	1	0.338984036352113	1	1	1	1	1	1	1	0.855352924778826	1	1	0.568726029847187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.859442078734683	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
potassium ion import (GO:0010107)	0.576004576004576	1	1	0.737200156797289	1	1	1	1	1	1	1	1	1	1	1	0.126103404791929	0.713979067667392	1	0.45535940382737	0.643369410576507	0.582474969114047	0.77857905982906	1	0.566770996348461	1	1	1	1	0.925127320519139	0.982670983846752	0.993412949177958	1	0.700387635924285	1	1	1	0.959660626754097	0.848460181793515	1	0.887573964497042	1	1	1	1	0.833360443302211	1	1	1	0.42082195261386	0.816839714471123	0.855848034449229	0.996980879947048	0.950614250614251	0.944328316031816	0.815433613208564	1	0.936324035570183	0.640017113126044	1	1	1	0.935301907772267	0.945775411613921
protein complex disassembly (GO:0043241)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.725178539919576	0.284324422622295	1	1	0.69714579613843	1	0.984711031838777	0.757510790955607	1	1	0.993702322363321	1	1	1	0.652286618432328	1	0.831301292078253	1	1	1	1	1	1	0.754815573770492	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.42739428772506	1	0.863337753827049	1	0.380550290079844	1	1	1	1	0.310441302130709	1
regulation of mitotic spindle assembly (GO:1901673)	1	1	1	1	1	1	1	1	1	1	1	1	1	0.411490683229814	0.832293001048096	1	1	1	0.957768806452688	0.320617283950617	0.985712284408146	0.184910304229784	1	1	0.938179898811746	1	1	1	0.920381326498838	1	0.647874380475581	1	1	1	1	1	1	0.685917418038129	1	1	1	1	1	1	1	0.933835679820213	1	1	1	1	1	1	1	0.863696929610138	1	1	0.864390311610799	1	1	1	1	1	1
regulation of potassium ion transport (GO:0043266)	0.86089832303504	1	1	0.711745850095464	1	1	1	1	1	1	1	1	1	0.0445363181069544	0.186539816772375	0.574338968357174	0.600540760190048	1	0.961139896373057	0.928313045171587	0.334937732792687	0.325435238026439	1	1	1	1	1	1	0.101028842145929	1	0.34617167418145	0.37037037037037	0.800249040931443	1	1	0.502200086463694	0.160314579552329	0.0437185515136517	1	1	1	0.675068079979009	0.831215185766048	1	0.654320987654321	0.554599347672779	1	1	1	1	0.878664411673619	0.597010969496781	1	1	0.896170966842345	1	0.202224897827672	0.843675288633661	1	0.223613595706619	1	0.764555154573639	0.680087375859435
vacuolar acidification (GO:0007035)	1	1	1	0.790137614678899	1	1	1	1	1	1	1	1	1	1	1	0.94152474035778	1	1	0.646544553906438	0.966610549943883	0.947488938110211	1	1	1	1	1	1	1	1	0.993334406413787	1	1	1	1	1	1	1	0.541258169934641	1	1	1	0.782056957355762	1	1	1	1	0.767508278145695	1	0.924574024703344	1	0.793046222488234	1	0.312587901169596	0.88353176245256	1	1	0.935734463276836	1	1	0.991907776556968	1	0.992781932448285	1
positive regulation of cellular metabolic process (GO:0031325)	0.255446308077887	0.819948293407409	1	1	1	1	1	1	1	1	1	1	1	0.61881985377009	0.700483970211723	0.19231615059817	1	0.988567290601479	0.498716852010265	0.266402163386625	0.0133028121642922	0.735498195947821	1	0.26032619243293	0.843624141198768	0.580775370283142	1	1	0.0334511486998233	0.916103368725268	0.0137861431053678	1	0.614236641990665	1	1	0.519947678221059	1	0.0450274412519328	1	1	1	1	1	1	1	0.162995323652474	1	1	0.49136469591015	0.816839714471123	0.987719068222543	0.435208730663276	0.752032260765058	0.5713113386002	1	1	0.0928895665737771	0.364277859237537	1	0.147604588394062	1	0.251544648096372	1
sulfur compound biosynthetic process (GO:0044272)	0.845828527489427	1	1	0.359246260675714	1	1	1	1	1	1	1	1	1	0.950982056942322	1	1	0.476307189542484	1	0.941221565983096	0.990916264638892	0.718413318861883	1	1	1	1	1	1	1	1	0.368679622625103	0.742845985642146	1	0.987490018631887	0.310862594822867	1	1	1	0.983769317102651	1	1	1	0.671949286846276	1	1	1	0.969444680962549	1	1	1	1	0.315673486405194	0.347860330795484	0.887915356429346	0.258167175423784	0.838397586745452	1	1	1	0.683862945889198	1	1	1	1
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.601891318305036	0.341980741868237	1	1	0.669329896907216	0.62017220635863	0.299125676787388	0.179175118323191	1	1	0.62941529533732	0.614650284130792	1	1	0.0757761437908497	1	0.205163937599195	0.91044142614601	0.661762280727931	1	1	1	1	0.0360661984865807	1	1	1	0.609647310697115	1	1	0.738242080973359	1	1	1	0.895623274939447	0.698767161185462	1	0.837568445553341	1	0.944194925503887	1	0.775369577231279	0.130692092717409	1	1	1	1	1	1
nucleotide-excision repair (GO:0006289)	1	0.982400117454899	1	0.434297021529721	1	1	1	1	1	1	1	1	1	0.165489743959264	0.230173913043478	0.209361004537801	0.231788079470199	1	0.876177432199764	0.769872274686326	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.795947556615018	0.994679674675189	0.562877715656828	1	1	1	1	1	1	1	1	1	1	0.994755891218359	1	1	1	0.753156713165075	1	0.980169233054714	1	1	0.088628762541806	1	1	1	1	1
positive regulation of RNA metabolic process (GO:0051254)	1	1	1	1	1	1	1	1	1	1	1	1	0.525577363812658	0.552322151873845	1	1	1	1	1	0.912324286854109	0.961231122842931	0.717908955879193	1	1	0.87603305785124	1	1	1	0.548181504238085	1	0.884749660979923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.82389680735669	0.834744261133205	0.954298263961514	0.95724126344086	0.819246180439858	1	0.85718593966987	1	0.948699205278153	0.819022561753588	1	1	1	1	0.854910340204458
negative regulation of innate immune response (GO:0045824)	0.84583214012982	1	1	0.669191919191919	0.834406755402891	1	1	1	1	1	1	1	1	1	1	1	1	1	0.320929208411318	0.118536410806942	0.0133028121642922	1	1	0.187920414944485	1	1	1	1	0.0981132634322611	1	0.570680380223879	0.85629490277485	0.0437553662241596	1	1	1	0.861797857209226	0.0360661984865807	1	1	1	1	1	1	1	0.63997584085161	0.9964869103939	1	0.902127659574468	1	0.885288896866711	1	1	0.841326401027894	1	1	1	0.406190170458161	0.896410533963591	0.162972620599739	1	0.881501923692927	0.807948248893131
cellular transition metal ion homeostasis (GO:0046916)	0.653021394459421	1	1	0.868195166699429	1	1	1	1	1	1	1	1	1	0.992367187138705	0.957430867142623	1	1	1	1	0.349883057953676	0.397551791150774	1	1	1	0.915252028281907	1	1	1	0.565728589040877	0.595952023988006	0.823104770473192	1	0.899818963930395	1	1	0.663340230959215	1	0.563134978229318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.477713297938017	0.813902123198201	1	0.168759097525473	1	1	1	1	0.854218256340193	0.890145916749523
glucan catabolic process (GO:0009251)	1	1	1	1	0.998496357099343	1	1	1	1	1	1	1	1	0.655314476762301	1	1	1	1	1	1	0.98188984461902	1	1	1	0.624626795310978	1	1	1	0.880871176053046	1	0.9832059095283	1	0.901751780439889	1	1	1	1	0.740499254843517	1	1	1	0.909423688485209	1	1	1	1	1	1	1	1	0.730832873690016	1	1	1	1	1	0.863559825673534	0.854971424135689	1	1	1	1	1
positive regulation of peptidyl-lysine acetylation (GO:2000758)	1	1	1	1	1	1	1	1	1	1	1	1	1	0.630227319426793	0.824298063715609	0.972714800706394	1	1	0.765268100011179	0.676125009464927	0.302373930280907	0.351380020807409	1	0.687201875656884	1	0.567374506101952	1	1	0.998289940976391	0.917108059947671	0.536736198083641	1	0.475744244313362	1	1	1	0.959660626754097	1	1	1	1	1	1	1	0.975378288606527	1	0.902779068686681	1	0.82389680735669	1	0.728327998189284	1	0.735868191659758	1	0.981909157470068	1	1	0.138725297735898	1	1	1	0.330968676624869	1
hyaluronan metabolic process (GO:0030212)	1	0.912534435261708	1	1	1	1	1	1	1	1	1	1	0.155325010257312	0.0417730697689082	0.208441609575557	0.209314295032512	1	1	1	0.342072594643289	0.216056727836833	0.111956062526405	1	0.165374506262573	0.274454973849102	0.318755906864851	1	1	0.09742718696461	1	0.0137861431053678	1	0.403086001373445	1	1	0.541389225181598	1	0.0402588721438989	1	0.135227539471133	1	0.443376834456714	1	1	0.163306629104675	0.190740207373272	0.809871594537672	1	0.729516889681161	0.354584379760385	0.142314141311677	0.242199906318904	0.230677233538464	0.110109278264844	0.472222222222222	0.605578383534505	0.203420535494964	0.500438119410201	0.563010581720489	0.162269422877207	1	0.736768377772906	0.153297930188701
positive regulation of histone methylation (GO:0031062)	0.909619106940733	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.845486613252865	1	1	1	1	1	1	1	1	0.92933759109146	1	1	1	1	0.835530841550103	0.77876231288873	1	1	1	1	0.782422966988096	1	1	1	1	1	0.910652920962199	1	1	1	1	0.954185747702039	1	1	1	1	1	0.483029630463569	1	1	1	0.864572607503461	1	1	1	1	1	1
