pathway	DB	n	statistic	df	p	method
'de novo' posttranslational protein folding (GO:0051084)	GO_Biological_Process_2018	63	2.46315586419755	1	0.117	Kruskal-Wallis
2-oxoglutarate metabolic process (GO:0006103)	GO_Biological_Process_2018	63	0.111111111111114	1	0.739	Kruskal-Wallis
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	GO_Biological_Process_2018	63	2.04648919753089	1	0.153	Kruskal-Wallis
7-methylguanosine mRNA capping (GO:0006370)	GO_Biological_Process_2018	63	0.340277777777771	1	0.56	Kruskal-Wallis
7-methylguanosine RNA capping (GO:0009452)	GO_Biological_Process_2018	63	0.340277777777771	1	0.56	Kruskal-Wallis
acetylcholine receptor signaling pathway (GO:0095500)	GO_Biological_Process_2018	63	0.0434027777777715	1	0.835	Kruskal-Wallis
actin cytoskeleton reorganization (GO:0031532)	GO_Biological_Process_2018	63	0.0192901234568126	1	0.89	Kruskal-Wallis
actin filament bundle assembly (GO:0051017)	GO_Biological_Process_2018	63	0.945216049382708	1	0.331	Kruskal-Wallis
actin filament bundle organization (GO:0061572)	GO_Biological_Process_2018	63	0.25	1	0.617	Kruskal-Wallis
actin filament organization (GO:0007015)	GO_Biological_Process_2018	63	0.140625	1	0.708	Kruskal-Wallis
actin filament polymerization (GO:0030041)	GO_Biological_Process_2018	63	0.626736111111114	1	0.429	Kruskal-Wallis
actin nucleation (GO:0045010)	GO_Biological_Process_2018	63	3.26003086419752	1	0.071	Kruskal-Wallis
actin polymerization or depolymerization (GO:0008154)	GO_Biological_Process_2018	63	0.340277777777771	1	0.56	Kruskal-Wallis
actin-myosin filament sliding (GO:0033275)	GO_Biological_Process_2018	63	0.891975308641975	1	0.345	Kruskal-Wallis
action potential (GO:0001508)	GO_Biological_Process_2018	63	0.151234567901241	1	0.697	Kruskal-Wallis
activation of adenylate cyclase activity (GO:0007190)	GO_Biological_Process_2018	63	1.4266975308642	1	0.232	Kruskal-Wallis
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	GO_Biological_Process_2018	63	0.0850694444444571	1	0.771	Kruskal-Wallis
activation of GTPase activity (GO:0090630)	GO_Biological_Process_2018	63	1.5625	1	0.211	Kruskal-Wallis
activation of JUN kinase activity (GO:0007257)	GO_Biological_Process_2018	63	2.73167438271605	1	0.0984	Kruskal-Wallis
activation of MAPK activity (GO:0000187)	GO_Biological_Process_2018	63	0.210069444444457	1	0.647	Kruskal-Wallis
activation of MAPKK activity (GO:0000186)	GO_Biological_Process_2018	63	0.671489197530889	1	0.413	Kruskal-Wallis
activation of NF-kappaB-inducing kinase activity (GO:0007250)	GO_Biological_Process_2018	63	0.0434027777777715	1	0.835	Kruskal-Wallis
activation of phospholipase C activity (GO:0007202)	GO_Biological_Process_2018	63	0.790123456790155	1	0.374	Kruskal-Wallis
activation of protein kinase A activity (GO:0034199)	GO_Biological_Process_2018	63	5.640625	1	0.0175	Kruskal-Wallis
