	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
platelet dense granule (GO:0042827)	1	1	1	1	1	1	1	0.58281036834925	0.66903083326255	1	1	1	1	1	0.837213055954089	0.216274793117037	0.80819869785387	1	0.719375667766061	0.986662047462325	1	1	0.437153652392947	1	0.506641366223909	1	1	1	0.977201677468547	1	0.839744990892532	1	1	0.817466102930456	1	1	1	0.662734793187348	1	1	1	0.776397004361781	1	0.948573573573574	1	0.582901234567901	0.988312613312613	1	0.693364845938375	1	1	1	0.531271197937865	1	0.797158273381295	1	0.622704845102321	1	1	1	1	1	0.379444847605225
telomerase holoenzyme complex (GO:0005697)	1	0.799209770114943	1	1	1	1	1	1	1	1	1	1	1	0.405321188878236	0.796197795530387	0.706222779070461	0.729951879308102	1	1	1	1	1	1	1	1	1	1	1	1	1	0.690164293537788	1	1	1	1	0.547692307692308	1	0.700632590535388	1	1	1	1	1	1	1	1	0.694693598082848	1	0.826262108366446	0.763427930094597	1	1	0.721494171670788	1	0.853262316910786	1	1	0.182120500782473	1	1	1	1	1
chromosomal region (GO:0098687)	1	0.136572890025575	1	0.137314285714286	1	1	0.691198224852071	1	0.446827932450936	1	0.485534799140354	1	0.658098591549296	0.0340257423219065	0.087962962962963	0.0893275342924055	0.0671717171717172	0.284042553191489	0.719375667766061	0.090441027030689	1	1	0.618628359592215	1	0.133043849658314	0.590640952921157	1	0.615384615384615	0.412355212355212	1	0.0130779780564263	1	0.92917229983476	1	1	0.183379120879121	0.111855886049434	1	0.174509803921569	1	1	0.0604619565217391	0.107142857142857	0.573275862068966	1	0.0822510822510823	0.0806159420289855	1	0.060169014084507	1	1	0.888209809685904	0.106586826347305	1	0.0212207916070577	0.129276175376547	0.18470625798212	1	0.190080683436165	0.152976966536289	1	1	0.0535553104001605
lipid droplet (GO:0005811)	0.771770549200016	1	1	1	1	1	1	1	1	1	0.425008843296781	1	0.540314930753178	0.160711354309166	0.738888888888889	0.847392714094984	1	1	1	0.585466598674146	0.812962157459765	1	1	0.484119044641741	1	0.608738135120045	1	1	1	1	0.669876164508066	1	0.787908595641647	1	1	0.466044837178858	1	0.390629370629371	1	1	1	1	1	1	1	0.992805755395683	0.117041095890411	1	1	0.610852110852111	0.0715817694369973	1	1	0.41249906556029	1	1	1	0.700682926829268	1	0.832381496287836	1	1	1
centriole (GO:0005814)	0.121709401709402	0.395907473309609	0.164611590628853	0.0632102272727273	1	0.986974124273896	1	0.0964421166696767	0.370833333333333	1	0.131139489194499	1	0.0561160151324086	0.0385031364914558	0.087962962962963	0.0431829209121786	0.172924901185771	0.533525754884547	0.0759817871371656	0.935224044421488	1	0.0677664974619289	0.0882644628099174	1	0.0861401471157569	0.0596914822266935	0.174738219895288	0.0704375667022412	0.0431829209121786	0.0869990224828935	0.0604072398190045	0.048664471276985	1	0.503393665158371	1	0.105533596837945	0.810609406049901	0.0520039100684262	0.98421550094518	1	1	0.0604619565217391	0.594404332129964	0.0441860465116279	0.106015485407981	0.0822510822510823	0.815951764770662	0.12242090784044	0.184400755099222	0.0489010989010989	0.657286774731101	0.115086206896552	1	0.76739703793873	0.02519818799547	0.129276175376547	0.0536036940373419	0.473207827497898	0.158802537668517	0.152976966536289	1	1	1
polysome (GO:0005844)	1	1	1	0.324669402644779	1	1	1	1	0.47321063394683	1	1	1	1	0.0398190495128256	0.225678733031674	0.985101373906321	0.0671717171717172	1	1	1	0.561997703788749	0.0677664974619289	1	0.282539682539683	1	1	1	1	0.977201677468547	0.546198431639959	0.414596273291925	1	1	1	1	1	1	1	1	1	1	1	1	1	0.148531375166889	1	0.517357723577236	1	1	1	1	1	0.843754856758017	1	1	0.331178625296272	0.25445094217024	0.120471014492754	1	1	1	1	0.205897473560517
tertiary granule membrane (GO:0070821)	0.771770549200016	0.210567823343849	1	0.0632102272727273	0.262795275590551	1	1	1	0.561059077809798	1	0.21840490797546	0.595317725752508	1	0.0287653522947641	0.316666666666667	0.0251294117647059	1	1	0.0759817871371656	0.0337121212121212	0.0307461999078766	0.0677664974619289	1	0.0268611670020121	0.045594262295082	0.0596914822266935	0.318615751789976	0.266666666666667	0.0431829209121786	0.0628235294117647	0.0130779780564263	0.167717528373266	0.0413312693498452	1	1	0.155345454545455	1	0.0520039100684262	1	0.0705043570108265	1	1	1	0.818655303030303	0.0309457579972184	0.0822510822510823	0.114740008594757	1	0.0314710042432815	0.0489010989010989	0.0243169398907104	0.334418837675351	0.0335006273525721	0.0266573482428115	0.0212207916070577	0.579234972677596	0.0569296375266525	0.0405982905982906	0.052414605418139	0.152976966536289	0.699054545454545	0.16888045540797	0.19620811287478
cytoplasmic vesicle (GO:0031410)	0.702631578947368	1	1	0.799521487901769	1	1	1	1	1	1	1	1	1	0.601237451859335	1	0.139666827619507	1	1	1	1	1	1	1	1	0.167761466841835	0.84546017760033	1	1	0.168232329018215	1	0.0723283218203982	1	1	1	1	0.310563603679814	1	0.0905172413793103	1	1	1	0.380592105263158	1	1	1	0.806060606060606	0.694693598082848	1	1	0.530981787732887	0.903846153846154	1	1	0.062570303712036	1	0.918372125696624	0.0536036940373419	1	1	1	1	1	0.519589509692132
GABA-A receptor complex (GO:1902711)	0.121709401709402	1	1	1	1	1	1	1	0.803007518796992	1	1	1	0.448950766747377	0.870162248343129	0.279785809906292	0.228230136986301	1	0.783419534513626	1	0.663129374576654	0.586684245220831	1	0.257438016528926	0.349648060238992	0.0592149035262808	1	1	1	0.347482970593122	0.963067513526229	0.669876164508066	1	0.547017153969026	1	1	0.555789810787009	1	0.786029027879294	1	1	1	1	1	1	1	0.272359596580146	0.648634487138774	1	0.682080427107552	0.751555555555556	1	0.265407554671968	1	1	0.854036764110454	0.654258047967167	0.517066085693537	0.901227312013829	1	0.858815875081327	0.78735255570118	1	0.772415699281371
integral component of Golgi membrane (GO:0030173)	1	1	1	1	1	1	1	1	1	1	1	1	1	0.774112492751756	1	1	1	1	0.374328839040687	1	1	1	1	1	1	1	1	1	1	1	0.943240697126707	1	1	1	1	1	1	0.888577586206897	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
