	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
platelet dense granule (GO:0042827)	0.581176470588235	0.434090909090909	0.969512195121951	0.995348837209302	0.864022662889518	0.4818401937046	0.398412698412698	0.031331592689295	0.152849740932642	0.838664812239221	0.995824634655532	0.934973637961336	0.447592067988669	0.948545861297539	0.516176470588235	0.0558912386706949	0.352447552447552	0.989339019189765	0.277511961722488	0.508163265306122	0.740418118466899	0.992063492063492	0.0304709141274238	0.6272	0.127615062761506	0.771844660194175	0.945709281961471	0.417004048582996	0.669767441860465	0.99443413729128	0.574506283662478	0.62002743484225	0.68445475638051	0.0554272517321016	0.987240829346092	0.953038674033149	0.799544419134396	0.341333333333333	0.985714285714286	0.267932489451477	0.749620637329287	0.251196172248804	0.581395348837209	0.26219512195122	0.739247311827957	0.197222222222222	0.488603988603989	0.553524804177546	0.214650766609881	0.503386004514673	0.847507331378299	0.808731808731809	0.125356125356125	0.695961995249406	0.298561151079137	0.980938416422287	0.269938650306748	0.416666666666667	0.947916666666667	0.850267379679144	0.135198135198135	0.222222222222222	0.0753205128205128
telomerase holoenzyme complex (GO:0005697)	0.834767641996558	0.173611111111111	0.685534591194969	0.582037996545769	0.971181556195965	0.919431279620853	0.610497237569061	0.318555008210181	0.597333333333333	1	0.60536398467433	0.919908466819222	0.909090909090909	0.170022371364653	0.463949843260188	0.399399399399399	0.282142857142857	0.406427221172023	0.907407407407407	0.826693227091634	0.610344827586207	0.996820349761526	0.998425196850394	0.552166934189406	1	0.650366748166259	0.648401826484018	0.616511318242344	0.996527777777778	0.708571428571429	0.427816901408451	0.686666666666667	1	1	0.404388714733542	0.196078431372549	0.635726795096322	0.374021909233177	1	0.998144712430427	0.414985590778098	0.997584541062802	1	1	1	0.520440251572327	0.298295454545455	0.981432360742706	0.29656862745098	0.181981981981982	0.956386292834891	0.859756097560976	0.203333333333333	0.488038277511962	0.331961591220851	0.765886287625418	0.990740740740741	0.024390243902439	0.698598130841122	0.964143426294821	0.959860383944154	0.872623574144487	0.998410174880763
chromosomal region (GO:0098687)	1	0.00255754475703325	0.88	0.0123456790123457	0.735772357723577	0.430205949656751	0.0673076923076923	1	0.0686274509803922	0.993710691823899	0.0406189555125725	1	0.168724279835391	0.00479616306954436	0.00568181818181818	0.0163934426229508	0.00564971751412429	0.00900900900900901	0.268072289156627	0.00943396226415094	0.988439306358382	1	0.0602409638554217	0.319236016371078	0.0159453302961276	0.0945945945945946	0.986599664991625	0.0909090909090909	0.140540540540541	1	0.00151745068285281	0.879271070615034	0.438485804416404	0.998442367601246	0.972027972027972	0.021978021978022	0.00261780104712042	0.90450204638472	0.00181818181818182	0.957407407407407	0.486792452830189	0.00261780104712042	0.00224215246636771	0.0613496932515337	0.771428571428571	0.00381679389312977	0.00241545893719807	0.694602272727273	0.00563380281690141	0.771720613287905	1	0.122605363984674	0.00598802395209581	1	0.00115606936416185	0.0106951871657754	0.0498084291187739	0.997578692493947	0.0149501661129568	0.00862068965517241	1	0.554865424430642	0.00260756192959583
lipid droplet (GO:0005811)	0.22257053291536	1	0.82843137254902	0.897222222222222	0.865489130434783	0.370546318289786	0.982269503546099	0.907407407407407	1	1	0.0175097276264591	0.996610169491525	0.127490039840637	0.0517647058823529	0.416666666666667	0.555407209612817	0.931216931216931	1	0.961218836565097	0.154008438818565	0.361194029850746	0.862190812720848	0.828467153284672	0.0797799174690509	0.939814814814815	0.122065727699531	0.793162393162393	0.612244897959184	0.739473684210526	0.9688995215311	0.406441717791411	0.969230769230769	0.326836581709145	1	0.946099290780142	0.109540636042403	0.5376	0.152727272727273	1	0.794871794871795	0.998616874135546	1	0.936014625228519	0.858866103739445	0.768096514745308	0.496402877697842	0.0105820105820106	0.945686900958466	0.479813664596273	0.122352941176471	0.00536193029490617	0.869649805447471	0.535980148883375	0.097331240188383	0.671361502347418	0.927835051546392	1	0.197560975609756	0.308943089430894	0.317460317460317	0.989189189189189	0.977611940298508	0.629579375848033
centriole (GO:0005814)	0.00139275766016713	0.0509383378016086	0.00123304562268804	0.00149253731343284	0.885931558935361	0.0163934426229508	1	0.00143061516452074	0.032122905027933	0.175233644859813	0.00193798449612403	0.132978723404255	0.00126103404791929	0.00658978583196046	0.00118203309692671	0.00436681222707424	0.0299043062200957	0.062043795620438	0.00144300144300144	0.448347107438017	1	0.00132978723404255	0.00133868808567604	1	0.00871080139372822	0.00149700598802395	0.00256410256410256	0.00106723585912487	0.00155763239875389	0.003584229390681	0.0147058823529412	0.00109769484083425	0.554585152838428	0.00754147812971342	0.611491108071135	0.00266311584553928	0.0850077279752705	0.00131406044678055	0.0847826086956522	0.495429616087751	0.117565698478562	0.0016	0.0667870036101083	0.00116279069767442	0.0091264667535854	0.00128205128205128	0.388111888111888	0.00137551581843191	0.0252808988764045	0.00169491525423729	0.0989847715736041	0.00208768267223382	0.989399293286219	0.267295597484277	0.00226500566251416	0.00119047619047619	0.00131233595800525	0.104959630911188	0.0077319587628866	0.00441501103752759	0.58678955453149	0.993775933609959	0.998719590268886
polysome (GO:0005844)	0.721362229102167	0.748110831234257	1	0.062015503875969	0.323420074349442	1	1	1	0.0797546012269939	0.519774011299435	0.756701030927835	0.242647058823529	0.77734375	0.00700934579439252	0.043956043956044	0.704697986577181	0.00526315789473684	1	1	0.582397003745318	0.164179104477612	0.00350877192982456	1	0.0370879120879121	0.986301369863014	1	1	1	0.667553191489362	0.128878281622912	0.187888198757764	1	0.983257229832572	1	1	0.9198606271777	1	0.99645390070922	1	0.98731884057971	0.853021978021978	0.950391644908616	0.949907235621521	0.994219653179191	0.0133511348464619	0.995850622406639	0.174390243902439	1	1	0.458553791887125	1	0.483673469387755	0.306532663316583	0.997275204359673	0.647058823529412	0.0871794871794872	0.0771929824561404	0.0108695652173913	1	1	0.0744849445324881	0.515037593984962	0.0285326086956522
tertiary granule membrane (GO:0070821)	0.220447284345048	0.00825082508250825	0.990291262135922	0.00277777777777778	0.0078740157480315	0.566125290023202	0.18019257221458	0.554838709677419	0.100864553314121	0.8805256869773	0.00408997955010225	0.0225	0.927344782034346	0.00238095238095238	0.0824175824175824	0.00132450331125828	0.994186046511628	0.645879732739421	0.0029673590504451	0.00213219616204691	0.00144717800289436	0.00363636363636364	0.28515625	0.00137931034482759	0.00232558139534884	0.00156494522691706	0.00715990453460621	0.0111111111111111	0.0027027027027027	0.00235294117647059	0.00151975683890578	0.00819672131147541	0.00148148148148148	0.330623306233062	0.50070323488045	0.0145454545454545	0.951219512195122	0.00378787878787879	0.996357012750455	0.00184842883548983	0.0711354309165527	1	0.764598540145985	0.191860465116279	0.00132978723404255	0.00380228136882129	0.00558659217877095	0.322396576319543	0.00155763239875389	0.00233644859813084	0.00131233595800525	0.0190114068441065	0.00120918984280532	0.00154320987654321	0.00116009280742459	0.185792349726776	0.00746268656716418	0.00120627261761158	0.00167785234899329	0.00819672131147541	0.0266875981161695	0.00569259962049336	0.0264550264550265
cytoplasmic vesicle (GO:0031410)	0.178947368421053	0.308641975308642	1	0.350260416666667	1	0.998381877022654	1	1	1	1	0.988461538461539	1	0.837837837837838	0.317507418397626	0.813953488372093	0.0298165137614679	1	1	0.991416309012876	1	0.681875792141952	0.788617886178862	0.97887323943662	0.98450536352801	0.0257611241217799	0.226287262872629	1	0.998991935483871	0.0365448504983389	1	0.0186915887850467	1	0.935356200527705	0.977631578947368	1	0.0569948186528497	0.998655913978495	0.0197368421052632	0.466367713004484	0.885662431941924	1	0.0855263157894737	0.996850393700787	0.876857749469214	0.60475651189128	0.333333333333333	0.288888888888889	1	0.977931034482759	0.10025706940874	0.169623059866962	0.944344703770198	0.993690851735016	0.00656167979002625	0.913989637305699	0.4375	0.00680272108843537	0.883089770354906	0.95036496350365	1	0.99171270718232	0.45707656612529	0.145952109464082
GABA-A receptor complex (GO:1902711)	0.00245700245700246	0.789592760180995	0.55030487804878	0.512323943661972	0.463836477987421	0.136038186157518	0.24009900990099	0.670886075949367	0.24009900990099	0.834310850439883	0.292870905587669	0.531868131868132	0.0706214689265537	0.567099567099567	0.0655270655270655	0.0624	0.607194244604317	0.125274725274725	0.511682242990654	0.213592233009709	0.18018018018018	0.6575	0.0100755667506297	0.0536912751677852	0.00399201596806387	0.458262350936968	0.839721254355401	0.585714285714286	0.101511879049676	0.393162393162393	0.379373848987109	0.331189710610932	0.154684095860566	0.168989547038328	0.722039473684211	0.210242587601078	0.350626118067979	0.463934426229508	0.54356846473029	0.533898305084746	0.935691318327974	0.707317073170732	0.654970760233918	0.374631268436578	0.44743935309973	0.0522193211488251	0.228358208955224	0.633838383838384	0.201814058956916	0.168888888888889	0.26742301458671	0.00795228628230616	0.763235294117647	0.475638051044084	0.339055793991416	0.227138643067847	0.196765498652291	0.301538461538462	0.387096774193548	0.342857142857143	0.04	0.304182509505703	0.260364842454395
integral component of Golgi membrane (GO:0030173)	0.998463901689708	0.907534246575342	0.993234100135318	0.697201017811705	0.944805194805195	1	0.96937212863706	1	0.926900584795322	0.317796610169492	1	1	0.583690987124464	0.481283422459893	0.921515561569689	1	0.967234600262123	1	0.078740157480315	0.97489539748954	0.995024875621891	0.994152046783626	0.646875	0.99135446685879	0.987068965517241	0.836666666666667	0.772727272727273	1	0.771712158808933	1	0.738341968911917	0.979487179487179	0.862012987012987	1	0.979411764705882	1	1	0.58125	0.836601307189543	0.703632887189293	0.60844250363901	0.929967426710098	0.965137614678899	0.962025316455696	0.989942528735632	0.981191222570533	0.961389961389961	0.667630057803468	0.915702479338843	0.823529411764706	0.70323488045007	0.924489795918367	0.818300653594771	0.987341772151899	0.945812807881773	1	1	1	0.522314049586777	0.87431693989071	0.985037406483791	0.998058252427184	0.986970684039088
lysosomal membrane (GO:0005765)	0.0119047619047619	0.15819209039548	1	0.180995475113122	0.0862068965517241	0.0544959128065395	1	1	1	1	1	1	0.913419913419913	1	1	0.940265486725664	1	1	0.00512820512820513	0.198660714285714	0.0590361445783133	1	0.862068965517241	0.990939977349943	1	1	0.881159420289855	0.666666666666667	0.00393700787401575	0.344594594594595	0.690747782002535	0.1	0.038659793814433	1	1	0.00591715976331361	0.633507853403141	0.0087719298245614	1	0.817555938037866	1	1	0.943019943019943	0.0625	1	0.112244897959184	0.0416666666666667	0.472727272727273	0.169398907103825	0.45360824742268	0.984978540772532	1	0.867708333333333	0.593198992443325	0.555555555555556	0.964285714285714	0.0693069306930693	0.463039014373717	0.0434782608695652	0.142857142857143	1	0.989672977624785	1
large ribosomal subunit (GO:0015934)	0.0223642172523962	1	0.00471698113207547	0.0446841294298921	0.399467376830892	0.992890995260663	0.4	0.627906976744186	0.0231023102310231	0.00609756097560976	0.303921568627451	0.398998330550918	0.98326359832636	0.00239234449760766	0.00564971751412429	1	0.00588235294117647	0.183006535947712	0.976401179941003	0.00185528756957328	0.0160818713450292	0.00363636363636364	1	0.00138888888888889	0.993031358885017	0.252688172043011	0.116554054054054	0.0224719101123595	0.626666666666667	0.0116822429906542	0.00153374233128834	1	1	0.5	0.887417218543046	0.00354609929078014	0.994778067885117	0.0437158469945355	0.0672727272727273	1	0.998633879781421	0.00808625336927224	0.897435897435897	0.744318181818182	0.00266311584553928	0.0156862745098039	0.00121506682867558	0.0439189189189189	0.631496062992126	0.00176991150442478	1	0.178053830227743	0.0171428571428571	0.830769230769231	0.0126728110599078	0.0105820105820106	0.003584229390681	0.00571428571428571	0.997524752475248	0.760683760683761	1	0.48565965583174	0.0108108108108108
secretory vesicle (GO:0099503)	0.816425120772947	0.584090909090909	0.791158536585366	0.841186736474695	0.984399375975039	0.905437352245863	0.831295843520782	0.0575657894736842	0.796019900497512	0.88719512195122	0.441233140655106	0.841517857142857	0.243034055727554	0.793548387096774	0.747800586510264	0.991883116883117	0.946991404011461	0.121794871794872	0.634782608695652	0.824457593688363	0.735815602836879	0.253311258278146	0.905383360522023	0.220367278797997	0.956262425447316	0.724258289703316	0.214953271028037	0.0604395604395604	0.71841155234657	0.861111111111111	0.828153564899452	0.639249639249639	0.12280701754386	0.76027397260274	0.290697674418605	0.863270777479893	0.0599647266313933	0.96401028277635	0.579957356076759	0.748936170212766	0.415143603133159	0.650434782608696	0.477822580645161	0.00465116279069767	0.0380952380952381	0.5248	0.618181818181818	0.950657894736842	0.4874715261959	0.701275045537341	0.915492957746479	0.949392712550607	0.676945668135095	0.148861646234676	0.936666666666667	0.268292682926829	0.917981072555205	0.729970326409496	0.831050228310502	0.863448275862069	0.818505338078292	0.78646934460888	0.643697478991597
cytoplasmic vesicle lumen (GO:0060205)	0.0786516853932584	0.00160771704180064	0.328358208955224	0.99685534591195	0.904228855721393	0.988175675675676	0.644243208279431	0.784860557768924	0.322875816993464	0.622767857142857	1	0.0369318181818182	0.209302325581395	0.0025706940874036	0.00909090909090909	0.00489596083231334	0.998895027624309	0.674588665447898	0.190635451505017	0.0875	0.00275103163686382	0.0050761421319797	0.0947867298578199	0.00252206809583859	0.00932400932400932	0.247813411078717	0.874055415617129	1	0.520710059171598	0.00233644859813084	0.00147492625368732	0.789473684210526	0.0417246175243394	0.991452991452991	1	0.285067873303167	0.619354838709677	0.00497512437810945	1	0.0017921146953405	1	0.752906976744186	0.0598290598290598	0.314031180400891	0.23412204234122	0.00515463917525773	0.01	0.705722070844687	0.00149253731343284	0.0236406619385343	0.00118906064209275	0.99814126394052	0.0148232611174458	0.00143884892086331	0.00323275862068966	0.263157894736842	0.00462962962962963	0.00444444444444444	0.0015600624024961	0.0204081632653061	0.952312138728324	0.97463768115942	0.227602905569007
synaptonemal complex (GO:0000795)	0.726655348047538	0.513840830449827	0.248299319727891	0.21608040201005	0.779585798816568	0.540045766590389	0.197586726998492	0.618819776714514	0.991825613079019	0.956873315363881	0.0518234165067179	0.0699300699300699	0.486567164179104	0.770609318996416	0.706070287539936	0.85949177877429	0.532608695652174	0.358633776091082	0.14261744966443	0.0238568588469185	0.386634844868735	0.0764525993883792	0.511695906432749	0.39247311827957	0.563380281690141	0.183879093198992	0.0704225352112676	0.743556701030928	0.61617900172117	0.535087719298246	0.563679245283019	0.0853018372703412	0.501222493887531	0.917383820998279	0.416275430359937	0.183139534883721	0.214452214452214	0.431432973805855	0.132113821138211	0.597938144329897	0.942363112391931	0.73421926910299	0.837837837837838	0.571428571428571	0.815548780487805	0.588597842835131	0.0241477272727273	0.372990353697749	0.0731707317073171	0.580071174377224	0.123028391167192	0.979757085020243	0.937269372693727	0.64975845410628	0.101333333333333	0.850828729281768	0.907120743034056	0.510958904109589	0.323394495412844	0.422924901185771	0.796954314720812	0.544423440453686	0.789712556732224
early endosome membrane (GO:0031901)	0.0575079872204473	0.561056105610561	0.810679611650485	1	0.964566929133858	0.698375870069606	1	0.991329479768786	1	0.997610513739546	1	0.935	0.970937912813738	0.538095238095238	0.412087912087912	0.100662251655629	1	0.943942133815552	0.0801186943620178	0.739872068230277	0.0622286541244573	0.992727272727273	0.62109375	0.364137931034483	0.909302325581395	1	0.679245283018868	0.177777777777778	0.0162162162162162	0.778823529411765	0.00911854103343465	0.557377049180328	0.262222222222222	0.960505529225908	0.855670103092783	0.0218181818181818	1	0.00378787878787879	1	0.744916820702403	1	0.244031830238727	0.343612334801762	0.656976744186046	0.99468085106383	0.0190114068441065	0.00558659217877095	0.737541528239203	0.88785046728972	0.285046728971963	0.292650918635171	0.35171102661597	0.991535671100363	0.121913580246914	0.896751740139211	0.0327868852459016	0.0149253731343284	0.451145958986731	0.997536945812808	0.0163934426229508	0.994520547945206	0.96421052631579	0.915343915343915
cis-Golgi network (GO:0005801)	0.110778443113772	0.971978984238179	0.622715404699739	0.226171243941842	0.894297635605007	0.992628992628993	0.020497803806735	0.829268292682927	0.777286135693215	0.923444976076555	0.6953125	0.931623931623932	0.332398316970547	0.0108695652173913	0.132467532467532	0.777408637873754	0.110266159695817	0.30242825607064	0.287337662337662	0.162264150943396	0.271428571428571	0.235123367198839	0.134393063583815	0.993610223642173	0.693308550185874	0.80506329113924	0.808612440191388	0.839160839160839	0.165016501650165	0.0709219858156028	0.00276243093922652	0.889963724304716	0.816	0.572178477690289	0.380451127819549	0.189149560117302	0.509043927648579	0.214592274678112	0.855291576673866	0.92896174863388	0.369343065693431	0.494363929146538	0.994360902255639	0.263888888888889	0.982817869415808	0.226950354609929	0.0840998685939553	0.552710843373494	0.13262599469496	0.734234234234234	0.679452054794521	0.513131313131313	0.995652173913044	0.509383378016086	0.520048602673147	0.233160621761658	0.0278184480234261	0.544993662864385	0.908415841584158	0.544589774078478	0.625935162094763	0.997885835095137	0.668918918918919
cell cortex part (GO:0044448)	0.828571428571429	0.0326340326340326	0.113475177304965	0.989949748743719	0.617647058823529	0.243847874720358	0.888888888888889	0.12	0.626153846153846	0.789272030651341	0.989626556016598	0.847942754919499	0.971337579617834	0.936123348017621	0.149825783972125	0.864784546805349	0.998643147896879	0.206049149338374	0.662621359223301	0.308447937131631	0.932659932659933	0.135294117647059	0.842424242424242	0.907523510971787	0.598837209302326	0.915167095115681	0.8719723183391	1	0.70873786407767	0.993576017130621	0.0774299835255354	0.84	0.868811881188119	0.529832935560859	0.778637770897833	0.114705882352941	0.988207547169811	0.979591836734694	0.843683083511777	0.0564853556485356	0.873198847262248	0.749354005167959	0.991578947368421	0.502063273727648	0.850467289719626	0.899109792284866	0.986468200270636	0.920110192837466	0.929268292682927	1	0.994285714285714	0.945454545454545	0.90272373540856	0.553398058252427	0.985981308411215	0.145907473309609	0.0496894409937888	0.987788331071913	0.918544194107452	0.685714285714286	0.978048780487805	0.957169459962756	0.643504531722054
axonemal dynein complex (GO:0005858)	0.00336134453781513	0.664285714285714	0.00304878048780488	0.00528169014084507	0.469945355191257	0.0222984562607204	0.824414715719064	0.00164744645799012	0.0117056856187291	0.095307917888563	0.217726396917148	0.963436928702011	0.00154320987654321	0.00185185185185185	0.00153609831029186	0.0026525198938992	0.00287769784172662	0.711151736745887	0.00348432055749129	0.24435318275154	0.863799283154122	0.00166112956810631	0.00165289256198347	0.266009852216749	0.00598802395209581	0.0442930153321976	0.014018691588785	0.00138504155124654	0.00371057513914657	0.048689138576779	0.00435729847494553	0.00289435600578871	0.821362799263352	0.024390243902439	0.0148026315789474	0.00158478605388273	0.00178890876565295	0.00327868852459016	0.477178423236515	0.173584905660377	0.160771704180064	0.00174216027874564	0.01364522417154	0.00150829562594268	0.0063391442155309	0.00161550888529887	0.165671641791045	0.0066006600660066	0.208616780045351	0.00181159420289855	0.0923824959481361	0.00400801603206413	0.0294117647058824	0.689095127610209	0.00143061516452074	0.00150829562594268	0.00316957210776545	0.480059084194978	0.0225225225225225	0.00969529085872576	0.11231884057971	0.252851711026616	0.0300751879699248
nuclear body (GO:0016604)	1	1	1	1	1	1	1	1	1	1	0.763419483101392	1	1	0.974789915966387	1	1	1	1	1	1	0.99097065462754	1	1	0.349272349272349	0.870422535211268	1	1	1	0.046242774566474	1	0.100686498855835	1	0.997714285714286	1	0.868958109559613	1	1	1	1	1	1	0.186274509803922	1	1	1	1	1	1	1	1	0.829765545361876	0.632721202003339	1	1	1	1	1	1	1	NA	1	1	0.961105424769703
SCF ubiquitin ligase complex (GO:0019005)	1	0.248826291079812	0.708333333333333	0.830128205128205	0.996376811594203	1	1	0.117117117117117	0.457575757575758	1	0.382293762575453	0.982968369829684	0.301418439716312	0.995505617977528	0.103896103896104	0.497214484679666	0.990867579908676	1	0.192737430167598	0.99789029535865	0.764885496183206	0.0165016501650165	0.856338028169014	0.89527027027027	0.730512249443207	1	0.647668393782383	0.869565217391304	0.392857142857143	0.689119170984456	0.278816199376947	0.977461447212337	0.829268292682927	0.981182795698925	0.923566878980892	0.797979797979798	1	0.970394736842105	0.92972972972973	0.982456140350877	0.681063122923588	0.44559585492228	0.980519480519481	0.985111662531017	0.997202797202797	0.894915254237288	0.954721862871928	0.996987951807229	0.768860353130016	0.986046511627907	0.657142857142857	0.994	0.571428571428571	0.998430141287284	0.335260115606936	0.96	0.079734219269103	0.821917808219178	1	1	0.60427807486631	0.396145610278373	0.997191011235955
bicellular tight junction (GO:0005923)	0.979591836734694	0.997481108312343	0.459798994974874	0.805555555555556	0.837801608579088	0.995271867612293	0.859205776173285	0.185507246376812	0.721500721500722	0.0951248513674197	0.138671875	0.812709030100334	0.819672131147541	0.76271186440678	0.844014510278114	0.293807641633729	0.0483675937122128	0.854910714285714	0.673748103186646	0.651612903225806	0.808972503617945	0.368613138686131	0.579514824797844	0.743131868131868	0.87906976744186	0.0190174326465927	0.466830466830467	0.138309549945115	0.911290322580645	0.883275261324042	0.0460829493087558	0.218140068886338	0.910846953937593	0.998420221169036	0.261016949152542	0.606896551724138	0.307317073170732	0.0263157894736842	0.993258426966292	0.924892703862661	0.604651162790698	0.271739130434783	0.346578366445916	0.460606060606061	0.719414893617021	0.82972972972973	0.910194174757282	0.493617021276596	0.578804347826087	0.440835266821346	0.994791666666667	0.69364161849711	0.345036319612591	0.24922600619195	0.709862385321101	0.320245398773006	0.862397820163488	0.907514450867052	0.368333333333333	0.44180790960452	0.683385579937304	0.636743215031315	0.211717709720373
clathrin-coated vesicle membrane (GO:0030665)	0.205980066445183	0.0216666666666667	0.922789539227895	1	0.17741935483871	0.995249406175772	0.956043956043956	0.499276410998553	0.666195190947666	0.0841232227488152	0.920997920997921	0.880913539967374	0.00261437908496732	0.945299145299145	0.171668667466987	0.484334203655352	0.692214111922141	0.323159784560144	0.00291545189504373	0.558577405857741	0.00865800865800866	0.607287449392713	0.357048748353096	0.153314917127072	0.101243339253996	0.896713615023474	0.985365853658537	0.78804347826087	0.0241935483870968	0.0844748858447489	0.483282674772036	0.544715447154472	0.112573099415205	0.488299531981279	0.212587412587413	0.802469135802469	0.506349206349206	0.0566037735849057	0.298013245033113	0.747232472324723	0.0350877192982456	0.279552715654952	0.980132450331126	0.764331210191083	0.462151394422311	0.958646616541353	0.48502994011976	0.954285714285714	0.943661971830986	0.796928327645051	0.615979381443299	0.205450733752621	0.711515151515152	0.94017094017094	0.558755760368664	1	0.768060836501901	0.838359469240048	0.177740863787375	0.669565217391304	0.989247311827957	0.254826254826255	0.123456790123457
intermediate filament cytoskeleton (GO:0045111)	0.00632911392405063	0.847933884297521	0.639447236180904	0.41820987654321	0.00402144772117962	0.0307328605200946	0.0036101083032491	0.431884057971014	0.646464646464647	0.114149821640904	0.013671875	0.108910891089109	0.00409836065573771	0.00484261501210654	0.00571428571428571	0.00131752305665349	0.0689238210399033	0.870535714285714	0.00910470409711684	0.919925512104283	0.00144717800289436	0.0510948905109489	0.00769230769230769	0.125	0.00232558139534884	0.0221870047543582	0.0369747899159664	0.654226125137212	0.00268817204301075	0.217289719626168	0.00153609831029186	0.440872560275545	0.787234042553192	0.66824644549763	0.908474576271186	0.202166064981949	0.55297157622739	0.0037593984962406	0.0610412926391382	0.214592274678112	0.923392612859097	0.00271739130434783	0.653421633554084	0.504242424242424	0.0425531914893617	0.00381679389312977	0.99438202247191	0.974468085106383	0.690217391304348	0.0116009280742459	0.0377604166666667	0.0154142581888247	0.86682808716707	0.00154798761609907	0.198394495412844	0.0053475935828877	0.00373134328358209	0.966224366706876	0.00666666666666667	0.162393162393162	0.373626373626374	0.00208768267223382	0.00133155792276964
Golgi subcompartment (GO:0098791)	1	1	1	1	0.972222222222222	1	1	0.920689655172414	1	0.990936555891239	1	1	1	1	0.952620967741935	0.211238293444329	0.723061430010071	0.975867269984917	0.00671140939597315	0.135632183908046	0.378006872852234	1	1	1	0.0317460317460317	0.943960149439601	1	1	0.0297029702970297	1	0.585680751173709	0.999	0.533255542590432	0.373493975903614	1	0.0384615384615385	0.327294685990338	0.0185185185185185	1	0.794275491949911	0.953229398663697	1	0.997222222222222	1	0.271694214876033	0.244444444444444	0.555555555555556	0.831683168316832	0.815326633165829	0.840978593272171	0.530318602261048	0.996569468267582	0.998986828774063	0.052143684820394	1	1	0.964912280701754	0.95678391959799	0.998689384010485	0.333333333333333	0.442528735632184	0.991496598639456	1
