pathway	DB	n	statistic	df	p	method
90S preribosome (GO:0030686)	GO_Cellular_Component_2018	63	3.67361111111111	1	0.0553	Kruskal-Wallis
acetylcholine-gated channel complex (GO:0005892)	GO_Cellular_Component_2018	63	0.0326003086419746	1	0.857	Kruskal-Wallis
actin cytoskeleton (GO:0015629)	GO_Cellular_Component_2018	63	0.140625	1	0.708	Kruskal-Wallis
actin filament (GO:0005884)	GO_Cellular_Component_2018	63	0.463155864197546	1	0.496	Kruskal-Wallis
actin-based cell projection (GO:0098858)	GO_Cellular_Component_2018	63	4.39834104938268	1	0.036	Kruskal-Wallis
actomyosin (GO:0042641)	GO_Cellular_Component_2018	63	0.00482253086420315	1	0.945	Kruskal-Wallis
aggresome (GO:0016235)	GO_Cellular_Component_2018	63	0.356674382716051	1	0.55	Kruskal-Wallis
AMPA glutamate receptor complex (GO:0032281)	GO_Cellular_Component_2018	63	0.37345679012347	1	0.541	Kruskal-Wallis
anaphase-promoting complex (GO:0005680)	GO_Cellular_Component_2018	63	0.32426697530866	1	0.569	Kruskal-Wallis
anchored component of external side of plasma membrane (GO:0031362)	GO_Cellular_Component_2018	63	0.140625	1	0.708	Kruskal-Wallis
anchored component of plasma membrane (GO:0046658)	GO_Cellular_Component_2018	63	0.222993827160508	1	0.637	Kruskal-Wallis
autophagosome (GO:0005776)	GO_Cellular_Component_2018	63	0.626736111111114	1	0.429	Kruskal-Wallis
autophagosome membrane (GO:0000421)	GO_Cellular_Component_2018	63	0.426118827160508	1	0.514	Kruskal-Wallis
axon (GO:0030424)	GO_Cellular_Component_2018	63	1.81500771604939	1	0.178	Kruskal-Wallis
axonemal dynein complex (GO:0005858)	GO_Cellular_Component_2018	63	1.29706790123456	1	0.255	Kruskal-Wallis
azurophil granule (GO:0042582)	GO_Cellular_Component_2018	63	0.340277777777771	1	0.56	Kruskal-Wallis
azurophil granule lumen (GO:0035578)	GO_Cellular_Component_2018	63	0.604938271604908	1	0.437	Kruskal-Wallis
azurophil granule membrane (GO:0035577)	GO_Cellular_Component_2018	63	0.0123456790123271	1	0.912	Kruskal-Wallis
BAF-type complex (GO:0090544)	GO_Cellular_Component_2018	63	1.265625	1	0.261	Kruskal-Wallis
bicellular tight junction (GO:0005923)	GO_Cellular_Component_2018	63	4.87673611111111	1	0.0272	Kruskal-Wallis
BLOC-1 complex (GO:0031083)	GO_Cellular_Component_2018	63	0.00019290123455562	1	0.989	Kruskal-Wallis
brush border membrane (GO:0031526)	GO_Cellular_Component_2018	63	1.29706790123456	1	0.255	Kruskal-Wallis
Cajal body (GO:0015030)	GO_Cellular_Component_2018	63	3.515625	1	0.0608	Kruskal-Wallis
calcium channel complex (GO:0034704)	GO_Cellular_Component_2018	63	1.17361111111111	1	0.279	Kruskal-Wallis
catenin complex (GO:0016342)	GO_Cellular_Component_2018	63	1.46006944444446	1	0.227	Kruskal-Wallis
cation channel complex (GO:0034703)	GO_Cellular_Component_2018	63	0.111111111111114	1	0.739	Kruskal-Wallis
caveola (GO:0005901)	GO_Cellular_Component_2018	63	2.37673611111111	1	0.123	Kruskal-Wallis
cell cortex part (GO:0044448)	GO_Cellular_Component_2018	63	2.12673611111111	1	0.145	Kruskal-Wallis
centriolar satellite (GO:0034451)	GO_Cellular_Component_2018	63	2.59567901234567	1	0.107	Kruskal-Wallis
centriole (GO:0005814)	GO_Cellular_Component_2018	63	2.12673611111111	1	0.145	Kruskal-Wallis
centrosome (GO:0005813)	GO_Cellular_Component_2018	63	3.0625	1	0.0801	Kruskal-Wallis
CHD-type complex (GO:0090545)	GO_Cellular_Component_2018	63	0.865933641975317	1	0.352	Kruskal-Wallis
chromatin (GO:0000785)	GO_Cellular_Component_2018	63	0.015625	1	0.901	Kruskal-Wallis
chromosomal region (GO:0098687)	GO_Cellular_Component_2018	63	0.501736111111114	1	0.479	Kruskal-Wallis
chromosome (GO:0005694)	GO_Cellular_Component_2018	63	3.21006944444446	1	0.0732	Kruskal-Wallis
chromosome, centromeric region (GO:0000775)	GO_Cellular_Component_2018	63	0.390625	1	0.532	Kruskal-Wallis
chromosome, telomeric region (GO:0000781)	GO_Cellular_Component_2018	63	4.28260030864197	1	0.0385	Kruskal-Wallis
cis-Golgi network (GO:0005801)	GO_Cellular_Component_2018	63	0.541859567901241	1	0.462	Kruskal-Wallis
clathrin adaptor complex (GO:0030131)	GO_Cellular_Component_2018	63	0.197530864197546	1	0.657	Kruskal-Wallis
clathrin-coated endocytic vesicle (GO:0045334)	GO_Cellular_Component_2018	63	0.00308641975308888	1	0.956	Kruskal-Wallis
clathrin-coated endocytic vesicle membrane (GO:0030669)	GO_Cellular_Component_2018	63	0.210069444444457	1	0.647	Kruskal-Wallis
