pathway	pval
androgen receptor binding (GO:0050681)	0.594099993878775
transcription regulatory region DNA binding (GO:0044212)	0.644093030301554
protein phosphatase inhibitor activity (GO:0004864)	0.154333549267127
protein serine/threonine kinase activity (GO:0004674)	0.247561216478611
RNA polymerase III activity (GO:0001056)	0.443635142089498
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	0.987718155304258
lipase activity (GO:0016298)	0.0560028568689335
retinoic acid receptor binding (GO:0042974)	0.193422340014177
RNA polymerase II transcription cofactor activity (GO:0001104)	0.557838930937838
metalloexopeptidase activity (GO:0008235)	0.859286464307566
disordered domain specific binding (GO:0097718)	0.295400020358344
ligand-gated cation channel activity (GO:0099094)	0.0191700842761936
ATPase regulator activity (GO:0060590)	0.670499356054858
ubiquitin binding (GO:0043130)	0.764603742231547
ATP-dependent DNA helicase activity (GO:0004003)	0.0178481602185555
Rab guanyl-nucleotide exchange factor activity (GO:0017112)	0.0335569055990454
solute:sodium symporter activity (GO:0015370)	0.522009900295032
phosphoric diester hydrolase activity (GO:0008081)	0.814642450847009
Rab GTPase binding (GO:0017137)	0.868440518917615
serine-type endopeptidase inhibitor activity (GO:0004867)	0.840167880903483
flavin adenine dinucleotide binding (GO:0050660)	0.0298729277938034
transcriptional repressor activity, RNA polymerase II transcription factor binding (GO:0001191)	0.424780466405762
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	0.868796186075575
Rho guanyl-nucleotide exchange factor activity (GO:0005089)	0.876453913341915
UDP-galactosyltransferase activity (GO:0035250)	0.0883834841461386
olfactory receptor activity (GO:0004984)	0.18319361532176
taste receptor activity (GO:0008527)	0.0884921260043114
protein-cysteine S-palmitoyltransferase activity (GO:0019706)	0.102411855445245
potassium ion leak channel activity (GO:0022841)	0.211936875478461
phosphatidylinositol binding (GO:0035091)	0.56656600565294
NF-kappaB binding (GO:0051059)	0.690118634124632
protein tyrosine phosphatase activity (GO:0004725)	0.607470347928416
anion:anion antiporter activity (GO:0015301)	0.411440176187733
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	0.254526384839612
syntaxin binding (GO:0019905)	0.199296454362804
MHC protein complex binding (GO:0023023)	0.483106004218739
exonuclease activity (GO:0004527)	0.880144819380933
phosphatidylinositol-3-phosphate binding (GO:0032266)	0.664087537990994
SH3 domain binding (GO:0017124)	0.171414970602018
leak channel activity (GO:0022840)	0.11293114930464
acetylgalactosaminyltransferase activity (GO:0008376)	0.772894037835355
alpha-actinin binding (GO:0051393)	0.143592563701622
monovalent inorganic cation transmembrane transporter activity (GO:0015077)	0.916938742963501
GABA-A receptor activity (GO:0004890)	0.0466862446412167
endoribonuclease activity (GO:0004521)	0.291986189369108
RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	0.796464162889808
lysine N-methyltransferase activity (GO:0016278)	0.112332796215135
peptidase activator activity (GO:0016504)	0.634519897207587
phosphoprotein phosphatase activity (GO:0004721)	0.461860057510168
muscle alpha-actinin binding (GO:0051371)	0.607886696691258
