	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
androgen receptor binding (GO:0050681)	1.41754337719645	-0.521827820829687	-0.424328435247834	-0.601789101013459	-0.938248001746807	0.758868680800458	0.745212014937706	0.431166416235045	0.553944316075506	-0.48651656128273	0.898138589497533	-0.944976735124332	0.696009131069726	-1.00258677234769	0.692590028709009	-0.770874917483352	-0.563710560955395	0.572009937697715	0.618253927007766	-0.693777949350966	-0.96440058384501	0.996495410494175	-0.926523328346109	1.04015433360368	1.26128598408923	1.23709592624535	0.564324988759039	0.968018622665688	0.936329049320264	-0.586618839681751	-1.1575785589373	0.837657482464217	0.917230311761526	0.56402278355906	0.497304179807208	0.592935525343832	0.707973507831389	1.1334439806934	-0.57243593380469	-0.725073547456358	0.634070343941851	0.733187402891005	-0.660965695056736	-0.903657649130932	-1.02594591609402	0.865612569169659	-0.784987411501856	0.862356338047219	-0.525963646256967	0.83417559096558	0.952344356069393	1.01048839748865	-1.37080339662685	-0.803699754654712	0.984268505528549	0.873311160468961	-1.22370930572271	0.589261234190813	-0.828783000910274	0.779379396215856	1.34747360201854	-0.77889811601699	-0.792609265452595
transcription regulatory region DNA binding (GO:0044212)	1.063420159074	-0.846454765271286	0.611580659377345	-0.743747419628594	0.653530508477751	0.889920183052744	-0.815380184607226	-0.817276801626583	0.72023217143108	0.756895493617057	-0.628068497562737	0.8508906040057	-0.804251274405829	-0.903833146670593	-0.70110636400719	1.26648519224637	-0.604540835869701	-0.835237187128993	1.47539611310084	1.33671192834208	-1.24130934802752	1.06764523699833	0.715818779290229	1.1170282970512	0.990973825257013	0.777453026601225	-0.820170260267846	0.82699204592502	1.55915485223055	1.26582956840081	-1.26993835529604	NA	1.04564818007155	0.79836792967785	0.786980489455211	0.974128740414709	-1.14403418122758	1.15684801592108	-0.777593098625322	0.840505114309405	-0.750598235524327	0.884462160151364	0.72952413908183	-0.750414140493683	0.805638002217805	1.02138861566334	-0.806102964581723	-0.921374979048084	-1.20170022329049	1.05422843606121	1.00349443445336	1.19642432010797	1.00811362282971	-0.745306124655691	-0.765852491209191	0.96587245513567	-1.3087233527149	0.98442017092394	-0.789892248858001	1.07226437060987	0.757994837334959	-1.15189638624266	-1.28494010275347
protein phosphatase inhibitor activity (GO:0004864)	-0.881964871935044	-0.595868140586901	0.520529724521031	0.835251901867396	-0.870344737556982	-0.905594728113499	-1.25415873156229	1.03011132832391	-1.14327295500893	-0.809636150911749	0.831704113030446	-1.07207120234015	0.570453462313372	-0.86091112144876	0.632623151176142	0.625196008849597	-0.713790808692604	-0.492118761319593	0.781698145244196	-0.683103591931629	-0.690024364823214	-0.594996861802725	0.767635704861496	-1.15577832667552	-0.405825655432062	-0.574244448584969	-1.06521032205569	0.751856791116618	-0.611101276577201	1.04350123443986	1.06260519277207	0.812158738644653	0.892491770976687	1.17356024064263	-1.14840865675857	0.746679399969315	1.06607193434125	0.794544663660773	-0.714433039951203	0.869975844026048	-0.947749754890075	1.11914779541712	1.47024438464347	0.535053818184109	-0.645473838539295	-0.835937627972028	-0.534514744592638	0.731907596506553	-1.07305405248605	-0.653426779295818	0.865364920378155	-0.901994250056078	-1.30287125602112	-0.915063209931055	1.11166104630714	1.06894352150493	-1.07707553484079	0.819917266901451	-0.535375868058829	-0.848279813596354	0.840138696326891	0.582999372119118	0.983510807045006
protein serine/threonine kinase activity (GO:0004674)	-0.791638306127679	0.657950033831087	0.661256990468234	-0.813363042350404	-0.783795725239956	-0.591936470995794	-0.562390172120018	-0.992033512875419	0.426329463454117	0.743904858853773	0.809649131988764	-0.533789330163433	-1.01557294999111	-0.77416679196169	-0.73494319925461	-0.803526705967741	-0.80807055913293	-0.789723363636648	0.913136941469175	1.12053809322142	-1.00797766581732	0.776298358609654	0.751425941905818	0.930139054042892	0.95857230055503	1.04983513900686	0.764764880742344	-0.850044710864352	1.04086015672291	0.819858583430679	-1.13169155084045	-0.678242757871073	1.20331603644857	0.953899432816046	1.04705621200193	-0.696138288343529	-0.859189919192357	0.934321985949688	-0.590849318753723	-0.914485909832199	-0.708918230990399	-0.677355479301819	0.687720226979229	0.780134119038098	-0.911929657355304	-0.921416136341878	-0.778838950063474	0.816363818559566	-0.653816025804346	-0.783417265522452	0.999137501549889	0.871830729145949	0.786023966062864	-0.637050584359982	-0.882163451762105	-0.606562950555467	-0.767510336512587	0.947154021313529	0.772606758944371	-0.536966592529874	0.644382524904927	0.787094443260237	-0.837186780743467
RNA polymerase III activity (GO:0001056)	-0.887725126978632	0.917856361288063	-0.657347764208979	-0.745330109640272	-0.84403708750976	-0.372718798716644	-0.920155083202693	-0.897137936156651	-0.760925876994364	-0.429541757548119	-0.589006198120601	-1.23494662800576	0.898744889507022	-1.2306309012815	1.18097254149687	-0.822810986937521	0.906258309601629	-1.03319733906797	-0.731028691150836	-0.663414371870816	0.821633146731049	0.625284999533506	0.744640203388019	-0.744154388626771	-1.22740464646446	-1.02489515265468	0.914445524775145	-0.934616229609245	-0.774559487324961	-0.958274099674194	1.18536511976142	-0.722975287559069	-0.619084323212057	-0.578361837313131	0.734694207626469	-0.442121805880228	-0.772760606682896	-1.23139268416395	-0.946915921075316	1.07553076359301	-0.597232654695809	0.582582381444461	-0.448654773684801	0.553204625708023	-0.439344349132235	-0.66266799183555	-0.688035799069031	-0.693812891326716	0.635146129728539	-1.02006606768496	-1.1395889649388	-0.88870235522993	-1.37623460910516	0.510956344039887	-0.595306610520347	-0.609547915453847	0.873301270303781	-1.48398740574727	0.691773932874685	-0.514522458640684	0.783174926811206	-0.422449017790308	-0.733422756526664
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	-0.551226738991223	0.73803754504828	0.694747352059518	-0.667346284394648	0.633805410456249	0.699431655030623	-0.585845003189979	1.18213416033679	0.63218213408439	-0.597019962096622	0.677020092717352	0.907872299724491	1.09882556426946	-0.767268803756322	0.678164108897025	0.511299789566464	0.840630887469155	0.65614487656336	0.863600787969907	-1.04723073659013	0.759512297125134	-0.816486564757714	-0.783846833913923	-1.48861992574448	1.47667542886785	-1.57799060464632	-0.753710688117867	0.969738528726371	0.601959125856106	-0.840555745634404	0.791537400005565	0.972220739452272	-1.09670621205132	-0.932097645139883	-1.17186708467194	1.16980960098167	1.00694669334182	0.722655240627381	-0.62204543753217	0.887812693796564	-0.724709062380581	1.56751529078374	-1.10658237143482	-1.47305488089839	-0.748839641125108	1.08742425558941	-0.706035286237831	-1.51854079357991	-0.583348496409965	1.1525904531814	0.786964995617123	-0.577362717964868	-0.866783341838002	-0.809886078999926	0.929669215205998	0.865178014858164	-1.34361891844946	-1.40792424870643	-0.578237442215645	1.27078260734175	-1.08331099111239	-0.655709180342908	0.658933858299313
lipase activity (GO:0016298)	1.1679366452508	-0.740958656409306	0.71500843333946	-1.3070321165712	0.833638624757567	-0.664045783397055	-0.610844954945117	-0.774083514312596	-0.871504575589381	1.09270844970292	0.891826450537478	0.921475955636359	-0.787820553496361	-0.732173466358463	-1.02355649386128	1.12393084937849	-1.26743999059577	-1.01484124700581	-1.06369762766914	-1.29997095233471	0.936688336852253	-0.98579034362015	1.09782633512185	-1.0183051674109	0.879402020101378	1.05964238888592	0.725545728376385	-1.00620380039943	-0.98559705638848	1.07257612909304	1.45427607375288	-0.895859355360325	-1.29833391598906	0.754461291691802	0.7580121266722	-0.770442449605114	-0.980420487090016	-0.863070086070131	0.914664477063953	0.691109949428992	-0.954757664546416	-1.01338880218317	0.751085953397215	1.20771055064063	-0.884268507369308	-0.913996902679594	1.09248809169934	-1.11154542995311	-0.534686439844927	1.21413872055357	0.67411350832107	-0.899280520421019	1.02171744211117	-0.884265104792662	0.829722030770124	-1.18131291913927	0.879442338900036	-0.951379784616725	0.975360758623149	-1.1763159126323	0.84506005583244	-1.13614091564676	-1.01524505436127
retinoic acid receptor binding (GO:0042974)	1.21001460891113	-0.711280038997986	-0.806162259818286	0.641714670108383	-1.4793378399991	1.35043805129848	0.387812180442013	0.853111841107239	-0.980066873967361	1.06713606441479	0.517402168524531	-0.495070443667196	1.35480772855462	-1.32458969980107	1.52467450081598	1.16528936006943	1.06761073070966	-0.536739602811071	1.28629440920155	1.46100680930592	-1.34035676179381	1.58428544184383	-0.818489024537319	0.658687115626682	1.06814110973729	1.09972036312928	0.854581135018271	0.615374398484771	1.39496913236467	-0.816988727030535	-1.08330828081983	0.898888419562336	0.674817918999779	-0.845152064512484	0.757851830328599	0.922935319767882	0.63837925605064	1.67429014613876	-0.861016197612955	-0.928373570341725	-0.705506826683314	1.34423283913372	0.566725631159805	-0.938545114600422	-0.951189358575777	1.33084376856525	0.689987476781475	-0.942428700534366	-1.21393694658587	1.1102480951648	-0.838217689608764	0.692152477428831	0.814078246382865	0.509409718177731	0.823833731006658	1.48982206391345	-1.56741875196137	-0.598993865313681	-1.03936862320042	1.17350717815512	-0.635631714146868	0.475946737914363	-1.26865512428975
RNA polymerase II transcription cofactor activity (GO:0001104)	0.585279268640834	0.878918743866452	0.790650818643554	-0.784432483790923	1.01133938069517	0.76071585027614	-0.833279410531752	-0.797215128512243	-0.939887486446351	1.1405806789138	0.866651820921137	0.680483149150384	0.723223049342526	-0.979187243911179	1.00315796445741	0.980200356455723	0.622383653008147	-0.898352816085383	-0.72397164788452	-0.938787480730453	0.855299542939532	1.02585294975227	-0.827334657929002	-0.737009060720972	-0.568731650096046	0.993675909209298	0.704704493773988	-0.713475733169616	0.716690109773311	0.861578963588186	-0.978105671069492	-0.927163783151167	-0.722430099086863	-0.920523051475546	-1.40495489990512	0.726216937161785	-0.620619855847966	-0.746566017614767	-0.631641705163077	0.888529268160475	-0.850449925806605	-0.593048019703232	0.695168685853889	0.719977760100535	1.20158456702204	0.714820581871964	-0.555530541436759	0.732133036283297	0.639010730120498	0.887649753021401	0.604572096915288	-0.665568179250013	-0.824301388889359	-0.803281401820838	0.750215897592551	0.877440210831652	-1.09928684627896	0.647823184964022	-0.59047169132832	-0.833809176950879	-0.750680687973969	0.871160567910283	-1.04548911809777
metalloexopeptidase activity (GO:0008235)	1.3057974921375	-0.912314506070559	-1.09684418865249	-1.12827383009684	0.850342163135786	-0.932915818265541	-1.31735215995112	-0.924751722431861	-1.40854605925273	-0.829712564618587	0.789532475658685	1.21694861085471	0.921568702682382	0.737633279841903	-0.911178902343627	1.16331658641225	-0.917326975743112	-0.756585573238199	0.946168710851792	0.836656859433684	-1.12274545662397	1.07297914883838	-1.26052364322507	1.15201307910678	1.05625416884509	1.40036113856015	-1.04459808754003	-0.740988598361398	1.10607214485279	-1.2850966348237	-0.845954883957016	-0.830723921588926	1.21721579115146	1.14251559235005	-0.972427399469812	-0.898020332537137	-0.995272101455173	-0.924150161544228	-0.982304907409956	-1.25344946753031	-1.13111211022575	0.908419526595119	-0.861701159835698	0.924249930405064	-0.74703959978674	1.14182797219634	-1.33195156017985	0.86895702677915	0.858279408292351	1.3940320642171	1.42025223736798	-0.877487698932204	0.967039910817118	-1.62589568346266	-1.37155182194925	0.852200265512686	-1.38985469099413	-1.25614040898519	-1.29879553738804	-0.92919586063256	-1.05358994352175	0.988064485525419	-1.44672309378138
