	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
androgen receptor binding (GO:0050681)	0.447791504484684	1	1	1	1	1	1	1	1	1	1	1	1	0.927784444202029	1	1	1	1	1	1	0.854188541428897	0.988717751251444	1	0.943488943488944	0.581161360498682	0.977102109537486	1	1	0.834454301629874	1	0.567039560899598	1	1	1	1	1	1	0.565486725663717	1	1	1	1	1	1	0.950102401787377	1	1	1	1	1	1	1	0.538022813688213	1	1	1	0.505347593582888	1	1	1	1	1	1
transcription regulatory region DNA binding (GO:0044212)	0.904554956540874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0935334872979215	1	1	0.113286713286713	0.147253603428126	0.234013867488444	0.523384615384615	1	0.710537240912725	1	1	1	1	0.0667372881355932	0.287744227353464	0.132849109653233	NA	0.827140521762823	1	1	1	1	0.182608695652174	1	1	1	1	1	1	1	0.958935054457443	1	1	0.754658385093168	0.884606025907107	1	0.317950917007521	1	1	1	1	0.140729709605361	1	1	0.868792270531401	1	0.724644737242492	0.269822095321766
protein phosphatase inhibitor activity (GO:0004864)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.789704271631982	1	1	1	1	1	1	0.66258038585209	1	1	1	1	1	1	1	1	1	1	0.996290511518938	0.687812187812188	1	1	1	1	1	0.993236658932715	1	1	1	0.742118123845283	1	1	1	0.811372378422933	1	1	1	1	1	1
protein serine/threonine kinase activity (GO:0004674)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.467647058823529	0.824051454899657	1	1	1	1	1	1	1	0.588998024430285	1	0.44398894518655	1	0.411255625339993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RNA polymerase III activity (GO:0001056)	1	1	1	1	1	1	1	1	1	1	1	1	1	0.682848837209302	0.890559440559441	1	1	1	1	1	0.98107794339396	1	1	1	0.752553012085819	1	1	1	1	1	0.573548668703623	1	1	1	1	1	1	0.524585937026027	1	1	1	1	1	1	1	1	1	1	1	1	0.888944824808699	1	0.662152580828134	1	1	1	1	0.454097421203438	1	1	1	1	1
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	1	1	1	1	1	1	1	1	1	1	1	1	0.941351540616246	1	1	1	1	1	1	0.848571428571429	1	1	1	0.36631062106986	0.392727272727273	0.504700973574409	1	1	1	1	0.969511019726274	1	0.808391003460208	1	1	0.917041420118343	1	1	1	1	1	0.425931490384615	1	0.748746418338109	1	0.955274261603375	1	0.779253926701571	1	0.884606025907107	1	1	1	1	1	1	0.416793893129771	0.582849653622917	1	0.868792270531401	1	1	1
lipase activity (GO:0016298)	0.880022962112514	1	1	0.854805109369004	1	1	1	1	1	1	1	1	1	1	1	0.590867955573838	0.785654498325953	1	0.778846153846154	0.430421386362622	0.893762846508527	0.988717751251444	1	0.987471910112359	1	1	1	1	0.810727453204765	1	0.207554734346674	1	0.563968668407311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.776685393258427	1	1	1	1	1	0.911433172302737	1	1	1	0.868977864583333	1	1	1
retinoic acid receptor binding (GO:0042974)	0.899891513982642	1	1	1	1	1	1	1	1	1	1	1	0.758858456234438	0.511474345096341	0.403565062388592	0.6015316778835	0.967979083162329	1	0.471821563764522	0.324387579965673	0.437391747325522	0.323307198859587	1	1	0.979824329679038	1	1	1	0.261581291759465	1	0.645383255829916	1	1	1	1	1	1	0.124342105263158	1	1	1	0.89548702965215	1	1	1	0.718784923295743	1	1	0.964285714285714	0.943548387096774	1	1	1	1	1	0.414652014652015	0.23912279468616	1	1	0.878983382209189	1	1	0.761755485893417
RNA polymerase II transcription cofactor activity (GO:0001104)	1	1	1	1	1	1	1	1	1	1	1	1	1	0.971239121425611	1	0.835407458030666	1	1	1	1	1	0.86245110821382	1	1	1	1	1	1	1	1	0.751568172197494	1	1	1	1	1	1	1	1	1	1	1	1	1	0.65515049974002	1	1	1	1	1	1	1	1	1	1	1	0.645418326693227	1	1	1	1	1	1
metalloexopeptidase activity (GO:0008235)	0.561052839897091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.52072134558696	1	1	0.981818181818182	1	0.690858018386108	0.78715214236133	1	0.799628873631472	0.973935772964899	0.565452445937434	1	1	0.60042862545699	0.882427843803056	0.932068323589928	1	0.676445009365801	1	1	1	1	0.953914558673316	1	1	1	1	1	1	1	0.879713474793891	0.608300395256917	1	1	0.310855263157895	0.332442996742671	1	1	0.147425897035881	0.48011431293165	1	0.221917808219178	0.711502199874293	1	1	1	1	0.289151599443672
