	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
androgen receptor binding (GO:0050681)	0.045016077170418	1	1	0.993589743589744	0.575471698113208	0.901960784313726	0.935860058309038	1	0.995440729483283	1	0.647058823529412	0.553140096618358	0.982142857142857	0.436893203883495	0.995983935742972	0.915194346289753	0.99746835443038	1	1	0.973076923076923	0.506451612903226	0.459807073954984	0.597972972972973	0.38301043219076	0.108407079646018	0.144736842105263	0.995604395604396	0.490909090909091	0.544502617801047	0.995708154506438	0.219015280135823	0.801169590643275	0.582664526484751	0.998389694041868	1	0.997150997150997	0.952141057934509	0.224550898203593	1	0.917782026768642	1	0.927360774818402	0.988505747126437	0.649193548387097	0.436472346786248	0.700325732899023	0.834625322997416	0.707025411061285	1	0.804347826086957	0.548022598870056	0.449186991869919	0.0436507936507936	0.810810810810811	0.423280423280423	0.697080291970803	0.135483870967742	0.994722955145119	0.789036544850498	0.930635838150289	0.072041166380789	0.849609375	0.820175438596491
transcription regulatory region DNA binding (GO:0044212)	0.229357798165138	0.963380281690141	1	1	1	0.955555555555556	0.969318181818182	0.967441860465116	1	0.988911290322581	1	0.9366391184573	0.95877378435518	0.89	0.996929375639713	0.0172786177105832	1	0.99185667752443	0.00699300699300699	0.00441501103752759	0.036319612590799	0.12	1	0.177947598253275	0.46875	0.998727735368957	0.981707317073171	1	0.00471698113207547	0.00514579759862779	0.0180412371134021	NA	0.309265944645006	0.99748743718593	0.991990846681922	0.571428571428571	0.117276166456494	0.0294117647058824	1	0.982022471910112	0.997701149425287	0.939285714285714	1	1	1	0.313432835820896	0.943204868154158	0.845070422535211	0.0564826700898588	0.242587601078167	0.472016895459345	0.0297202797202797	0.477948717948718	1	0.975757575757576	0.576923076923077	0.0125	0.540733197556008	0.995821727019499	0.166666666666667	1	0.0754039497307002	0.0138004246284501
protein phosphatase inhibitor activity (GO:0004864)	0.645510835913313	0.984934086629002	0.995548961424332	0.729381443298969	0.670520231213873	0.613333333333333	0.182829888712242	0.389447236180905	0.262032085561497	0.745454545454545	0.705202312138728	0.373831775700935	0.989041095890411	0.683741648106904	0.984025559105431	0.969512195121951	0.890125173852573	1	0.829842931937173	0.927021696252465	0.896243291592129	0.988924050632911	0.845669291338583	0.226775956284153	1	0.993071593533487	0.371534195933457	0.876984126984127	0.969911504424779	0.38348623853211	0.363425925925926	0.751968503937008	0.640809443507589	0.225589225589226	0.263440860215054	0.880668257756563	0.389175257731959	0.804878048780488	0.913223140495868	0.661087866108787	0.511075949367089	0.276849642004773	0.0294659300184162	0.991215226939971	0.948170731707317	0.696875	0.997191011235955	0.882539682539683	0.349736379613357	0.964879852125693	0.662121212121212	0.622568093385214	0.133738601823708	0.587628865979381	0.244186046511628	0.366336633663366	0.348571428571429	0.736764705882353	0.99468085106383	0.680317040951123	0.675909878682842	0.984405458089669	0.460048426150121
protein serine/threonine kinase activity (GO:0004674)	0.992134831460674	1	1	0.978453738910013	1	1	1	0.486581096849475	1	0.995967741935484	0.996376811594203	1	0.42478813559322	1	0.986680327868853	1	0.940162271805274	1	0.897959183673469	0.115468409586057	0.423913043478261	1	0.995675675675676	0.689617486338798	0.654494382022472	0.306017925736236	1	0.907907907907908	0.255924170616114	0.989655172413793	0.130769230769231	1	0.0529482551143201	0.615869017632242	0.328	1	0.922305764411028	0.811881188118812	1	0.769369369369369	1	1	1	0.960645812310797	0.747077577045696	0.721627408993576	0.968527918781726	0.965317919075145	1	1	0.493657505285412	0.946086956521739	0.964028776978417	1	0.82744702320888	1	1	0.670061099796334	1	1	1	1	0.907545164718385
RNA polymerase III activity (GO:0001056)	0.643081761006289	0.580434782608696	0.934472934472934	0.841105354058722	0.681697612732096	1	0.583201267828843	0.595993322203673	0.825757575757576	1	0.962655601659751	0.186363636363636	0.622222222222222	0.206140350877193	0.245454545454545	0.754985754985755	0.594059405940594	0.408396946564886	0.858803986710963	0.923379174852652	0.709327548806941	0.968503937007874	0.844911147011309	0.839673913043478	0.185454545454545	0.411894273127753	0.563876651982379	0.573221757322176	0.802893309222423	0.493697478991597	0.232941176470588	0.832869080779944	0.974747474747475	0.983529411764706	0.855325914149444	1	0.796264855687606	0.196141479099678	0.551020408163265	0.348837209302326	0.984251968503937	0.977272727272727	1	0.98780487804878	1	0.912541254125413	0.896551724137931	0.909836065573771	0.966367713004484	0.409961685823755	0.285340314136126	0.619140625	0.0959302325581395	1	0.973901098901099	0.951541850220264	0.63206106870229	0.0398860398860399	0.917391304347826	0.99181446111869	0.764808362369338	0.99800796812749	0.838821490467938
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	0.992389649923896	0.888646288209607	0.921852387843705	0.947194719471947	0.960902255639098	0.937634408602151	0.975384615384615	0.217171717171717	0.96513470681458	0.981203007518797	0.931428571428571	0.611683848797251	0.266106442577031	0.845971563981043	0.954248366013072	0.997014925373134	0.744444444444444	0.972103004291845	0.696236559139785	0.366666666666667	0.852112676056338	0.745709828393136	0.817142857142857	0.0331491712707182	0.0345572354211663	0.0209302325581395	0.879120879120879	0.48695652173913	0.99290780141844	0.726057906458797	0.802816901408451	0.47008547008547	0.288508557457213	0.552238805970149	0.221621621621622	0.21025641025641	0.448818897637795	0.912928759894459	0.99154334038055	0.628151260504202	0.886942675159236	0.0240384615384615	0.266075388026608	0.0526315789473684	0.834355828220859	0.29512893982808	0.911080711354309	0.0298913043478261	0.985940246045694	0.241525423728814	0.801526717557252	1	0.689189189189189	0.760262725779967	0.570833333333333	0.71571906354515	0.0956521739130435	0.0702875399361022	0.993197278911565	0.128755364806867	0.345498783454988	0.958742632612967	0.977215189873418
lipase activity (GO:0016298)	0.201277955271566	0.918544194107452	0.904127829560586	0.0874403815580286	0.756914119359534	0.985294117647059	0.993893129770992	0.828298887122417	0.71976401179941	0.317295188556567	0.665991902834008	0.588034188034188	0.842541436464088	0.935866983372922	0.442536327608983	0.281553398058252	0.11639549436796	0.407476635514019	0.352941176470588	0.0961538461538462	0.592689295039164	0.462099125364431	0.298319327731092	0.428125	0.697516930022573	0.361842105263158	0.966367713004484	0.470379146919431	0.47741935483871	0.323529411764706	0.0343137254901961	0.651135005973716	0.0835509138381201	0.893987341772152	0.882706766917293	0.879573170731707	0.483870967741935	0.707025411061285	0.601113172541744	0.947589098532495	0.539274924471299	0.431740614334471	0.921847246891652	0.181340341655716	0.663173652694611	0.6	0.298165137614679	0.260606060606061	0.998305084745763	0.146551724137931	0.959497206703911	0.62624254473161	0.436339522546419	0.661971830985915	0.823529411764706	0.217391304347826	0.669054441260745	0.550200803212851	0.508728179551122	0.221818181818182	0.738013698630137	0.226120857699805	0.425287356321839
retinoic acid receptor binding (GO:0042974)	0.215846994535519	0.867158671586716	0.754985754985755	0.945626477541371	0.0530503978779841	0.101769911504425	1	0.69727047146402	0.47979797979798	0.383620689655172	0.984615384615385	0.986363636363636	0.0916666666666667	0.111842105263158	0.0363636363636364	0.294930875576037	0.326732673267327	0.994274809160305	0.135	0.0446247464503043	0.11460258780037	0.0341207349081365	0.723237597911227	0.922712933753943	0.347345132743363	0.326642335766423	0.680616740088106	0.978947368421053	0.0645879732739421	0.735294117647059	0.344887348353553	0.545774647887324	0.914191419141914	0.684705882352941	0.828298887122417	0.58472553699284	0.956416464891041	0.0157894736842105	0.685714285714286	0.563327032136106	0.881889763779528	0.125	0.978846153846154	0.531791907514451	0.524409448818898	0.118686868686869	0.92156862745098	0.516393442622951	0.206834532374101	0.308333333333333	0.683246073298429	0.914285714285714	0.71580547112462	1	0.715328467153285	0.0280373831775701	0.0345821325648415	0.985754985754986	0.387453874538745	0.24907063197026	0.955607476635514	1	0.159445407279029
RNA polymerase II transcription cofactor activity (GO:0001104)	1	0.78960396039604	0.868613138686131	0.908668730650155	0.442333785617368	0.975786924939467	0.813261163734777	0.86066763425254	0.573529411764706	0.221176470588235	0.753731343283582	0.991721854304636	0.986425339366516	0.488188976377953	0.411111111111111	0.520103761348898	1	0.690846286701209	0.975714285714286	0.575471698113208	0.84251968503937	0.357723577235772	0.8875	0.98406374501992	1	0.472353870458136	0.99290780141844	0.946623093681917	0.997041420118343	0.778947368421053	0.494417862838915	0.624309392265193	0.993808049535604	0.621212121212121	0.017921146953405	0.996402877697842	1	0.961165048543689	1	0.725050916496945	0.810393258426966	1	1	0.934117647058823	0.0867768595041322	0.995901639344262	0.998793727382388	0.973901098901099	0.997311827956989	0.726086956521739	1	0.997920997920998	0.880434782608696	0.874815905743741	0.992805755395683	0.809248554913295	0.223107569721116	0.990396158463385	1	0.796703296703297	0.976261127596439	0.808641975308642	0.390909090909091
metalloexopeptidase activity (GO:0008235)	0.0613496932515337	0.616279069767442	0.242152466367713	0.260188087774295	0.752873563218391	0.580817051509769	0.0738552437223043	0.590361445783133	0.056782334384858	0.907692307692308	0.869980879541109	0.135906040268456	0.602459016393443	0.928327645051195	0.627551020408163	0.216916780354707	0.625	0.927140255009107	0.571428571428571	0.819301848049281	0.268057784911718	0.294314381270903	0.106382978723404	0.236994219653179	0.331764705882353	0.0321543408360129	0.379248658318426	0.893348623853211	0.267217630853994	0.0909090909090909	0.751243781094527	0.767091541135574	0.176377952755906	0.210691823899371	0.492492492492492	0.689088191330344	0.462992125984252	0.593567251461988	0.489887640449438	0.126732673267327	0.258543833580981	0.636363636363636	0.767184035476718	0.605	0.910112359550562	0.233898305084746	0.0477386934673367	0.71865889212828	0.748201438848921	0.0214132762312634	0.027027027027027	0.711111111111111	0.530183727034121	0.0062402496099844	0.0410628019323672	0.798245614035088	0.0282685512367491	0.108108108108108	0.0818030050083473	0.599299065420561	0.351851851851852	0.469601677148847	0.0152990264255911
