pathway	DB	n	statistic	df	p	method
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	GO_Molecular_Function_2018	63	1.1141975308642	1	0.291	Kruskal-Wallis
1-phosphatidylinositol-3-kinase activity (GO:0016303)	GO_Molecular_Function_2018	63	0.23630401234567	1	0.627	Kruskal-Wallis
3'-5' exonuclease activity (GO:0008408)	GO_Molecular_Function_2018	63	1.265625	1	0.261	Kruskal-Wallis
3'-5'-exoribonuclease activity (GO:0000175)	GO_Molecular_Function_2018	63	1.890625	1	0.169	Kruskal-Wallis
3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	GO_Molecular_Function_2018	63	3.16049382716051	1	0.0754	Kruskal-Wallis
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	GO_Molecular_Function_2018	63	2.640625	1	0.104	Kruskal-Wallis
5'-3' exonuclease activity (GO:0008409)	GO_Molecular_Function_2018	63	0.972415123456813	1	0.324	Kruskal-Wallis
5'-3' RNA polymerase activity (GO:0034062)	GO_Molecular_Function_2018	63	0.23630401234567	1	0.627	Kruskal-Wallis
acetylation-dependent protein binding (GO:0140033)	GO_Molecular_Function_2018	63	6.53086419753086	1	0.0106	Kruskal-Wallis
acetylcholine receptor activity (GO:0015464)	GO_Molecular_Function_2018	63	0.023341049382708	1	0.879	Kruskal-Wallis
acetylcholine-gated cation-selective channel activity (GO:0022848)	GO_Molecular_Function_2018	63	0.32426697530866	1	0.569	Kruskal-Wallis
acetylgalactosaminyltransferase activity (GO:0008376)	GO_Molecular_Function_2018	63	0.00173611111111427	1	0.967	Kruskal-Wallis
acetylglucosaminyltransferase activity (GO:0008375)	GO_Molecular_Function_2018	63	0.00694444444445708	1	0.934	Kruskal-Wallis
acetyltransferase activity (GO:0016407)	GO_Molecular_Function_2018	63	0	1	1	Kruskal-Wallis
acid-thiol ligase activity (GO:0016878)	GO_Molecular_Function_2018	63	2.87114197530866	1	0.0902	Kruskal-Wallis
actin binding (GO:0003779)	GO_Molecular_Function_2018	63	0.00019290123455562	1	0.989	Kruskal-Wallis
actin filament binding (GO:0051015)	GO_Molecular_Function_2018	63	0.0771604938271651	1	0.781	Kruskal-Wallis
actin monomer binding (GO:0003785)	GO_Molecular_Function_2018	63	0.741512345679013	1	0.389	Kruskal-Wallis
actinin binding (GO:0042805)	GO_Molecular_Function_2018	63	0.918402777777771	1	0.338	Kruskal-Wallis
activating transcription factor binding (GO:0033613)	GO_Molecular_Function_2018	63	0.0696373456790127	1	0.792	Kruskal-Wallis
acyl-CoA dehydrogenase activity (GO:0003995)	GO_Molecular_Function_2018	63	4.22530864197532	1	0.0398	Kruskal-Wallis
acyl-CoA hydrolase activity (GO:0047617)	GO_Molecular_Function_2018	63	0.32426697530866	1	0.569	Kruskal-Wallis
acylglycerol O-acyltransferase activity (GO:0016411)	GO_Molecular_Function_2018	63	0.0434027777777715	1	0.835	Kruskal-Wallis
adenyl ribonucleotide binding (GO:0032559)	GO_Molecular_Function_2018	63	0.222993827160508	1	0.637	Kruskal-Wallis
adenylyltransferase activity (GO:0070566)	GO_Molecular_Function_2018	63	0.00945216049382225	1	0.923	Kruskal-Wallis
ADP binding (GO:0043531)	GO_Molecular_Function_2018	63	0.25	1	0.617	Kruskal-Wallis
adrenergic receptor binding (GO:0031690)	GO_Molecular_Function_2018	63	2.00694444444446	1	0.157	Kruskal-Wallis
