	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
ABC transporters	-0.784461238976547	-0.96162488051922	-1.04834171174034	-0.656176384219888	0.880973719085509	0.938244066889022	0.696656956483727	1.16354512340373	-0.906350334886826	0.756285338100293	-0.974201723759549	-0.832193492050194	-1.06111332373712	1.18404907533999	-1.19491538551601	1.15508088876465	-0.925514786140589	-0.857667499210723	1.31621835887033	-1.09862139748257	1.10103489961744	-0.95271165198281	0.693398253755235	0.888960501668701	0.739928748474342	-0.834841722923628	-0.780162674590479	-0.800243589985848	0.99725057385669	0.716963273549608	1.06893041535101	-0.660009468813531	-1.08424333189882	-1.00700249061068	1.02269160517906	-0.761716857911612	-1.0583758214771	-1.29774307853772	-0.994996217573648	1.02917193622602	-0.8530843630416	-0.950412018190921	0.84211070919142	0.827932847681986	-0.795897624460876	-1.00544053737445	-0.799444145866683	-1.09424700076909	1.13562361779089	-0.793357749973649	-0.935684378367919	-1.15140546983615	0.812595367344451	0.738606428160432	-0.990944646976129	-0.805844750843957	1.13814319241796	0.812128099945541	-0.747356594380456	-0.815710128578731	-1.15648240815197	0.927445452119359	1.00314571794868
AGE-RAGE signaling pathway in diabetic complications	1.56193233850621	-1.2723193100758	0.565044082309182	1.06343049908198	-0.939413106423925	0.608967478363458	-0.960327775374672	1.36858983922013	0.821430907296751	0.663385905919773	-0.599240363799005	-0.682744211282062	1.14482977576529	-1.67124733448538	1.27169364706646	1.6171867498292	-0.687713557521741	-0.763174281864146	-0.841711146451754	1.72320220909663	-1.87387647492915	1.72948470035111	-1.02784281286251	1.55158899590223	1.71020625003004	1.67157053536574	-0.957990730403162	1.37389027638308	1.90437285075342	1.11928303659617	-1.85790836100981	1.00190075587127	1.52206361158569	1.13253469383136	1.20524979037912	1.32439324372982	-0.756509581143532	2.2614201613292	-0.782607192771309	-1.621579198172	0.921040690886398	1.19187687063295	0.700665350484915	0.718643124972492	-1.26051901903334	1.76197102054787	1.10995265945977	-1.29426261650324	-0.891712835789269	1.68654993967458	1.46113036782874	1.62461303301706	1.42493339797216	-1.54683272384575	-1.36545634172698	0.901754851331892	-1.82148142321364	1.46816767846268	-1.05359732533116	1.22579622504913	-1.2878260426537	-1.52667408388159	-1.49579432792244
AMPK signaling pathway	-0.591468617026202	-0.871392836201605	0.499582580794389	-0.519922954605492	0.707284092398784	0.917763616268935	-0.798558986495896	-0.52850751243406	0.398429193385375	0.524511485905784	0.758227918615137	0.650265210938886	0.851013546269989	-0.735488306649103	-0.617369266223006	1.1099418002236	0.721711866012299	0.580825169252503	1.10577172642985	0.727287968274877	0.887438921799862	0.844799036961718	-1.02872485260424	-0.642941739552184	1.34317014416719	-0.613154751959622	0.634604525834649	-0.589011617057245	0.79115063956929	0.784087124297148	-0.700098436302654	0.686687589072661	0.686516502380299	-1.25309018661347	-1.06330984932124	0.725415734270119	-0.646170733851615	-0.643146252191325	-0.637682179436404	0.816159766379809	-0.602957654768649	0.981702343589983	-0.741161994371323	-0.930426085686185	-0.763745414659936	1.134152218188	0.735296048391628	-1.04573502422591	-1.29380677951478	0.647376244116746	0.837592865135099	0.856943685976788	-0.930028654330699	-0.830474934309414	0.928473099872482	1.14616947992937	-1.04510267427891	0.972616914004362	-0.596832506795417	1.01240120039049	-0.925107904554924	0.822136613335584	-0.957910228128321
Acute myeloid leukemia	0.660269686093998	-1.25062994877946	-0.884974994716972	0.984258498169291	-0.93096885356555	-0.550781912215607	-1.033026305505	-0.704203518759421	0.51570648613424	-0.754970239747573	-0.805360466794812	-1.18701118462978	-0.859067637254745	-1.44352026103949	0.933684189300111	1.04735355810953	-0.833819377675484	-0.630707418657127	1.57115128847525	1.57346354028944	-1.65387406997237	1.23100320509596	-0.716267319479807	1.36931282995391	0.70563321053942	0.927127585036756	-0.563172556059201	-0.702175258610424	1.90861690051453	-0.74319114132564	-1.52632327801058	1.35743191963941	1.4704831802588	0.893811189842225	-0.622830431931931	1.67981807522349	-1.04772204769023	1.50567573587014	-1.09324144955372	-0.844848068998681	-0.952863849224263	0.932492712696065	1.20157867817156	0.74977054743661	-1.4337807192661	0.883701061367748	1.27915537834405	-0.637468114416818	-1.46605652988049	0.759603343555701	1.55176040239831	0.891748508547997	1.29970665457926	-0.794613600057277	-1.03463282368932	1.15897922152353	-1.44801031056708	1.42044660193952	-0.648396434208845	1.23606719802161	0.807325233786589	-1.35740766635544	-0.975805205725599
Adherens junction	1.11804442619277	-0.774101250992852	-0.649402729222756	-0.958001681886553	0.470768914303828	-0.693349450677876	0.575679556084497	-0.440851327915645	-0.586459889377034	0.491717548048382	-0.440417182389025	0.458636837700076	1.26209105924137	-1.2794041714551	1.19563184651997	1.0611037245086	0.847860007711227	1.10670349701	0.867450371162443	0.962060967886675	-1.04128111925295	1.64030563112355	-0.879606049197803	1.03453054834447	1.55603922423074	1.34325541423077	0.664846864457049	1.01931189602606	1.46850946920346	-0.930914636504565	-1.22259138359285	0.744695492252538	0.926607382651119	-0.689944177807588	-0.530416768930189	1.2619574448932	-0.517792010917889	1.56510374581459	-0.479537157038975	-0.903731909802205	-0.735607076370532	1.45046462199249	-0.679767673963988	-1.23363790217424	-0.980206770213364	1.15539388374005	0.677430229911598	-0.681405530813033	-0.739395530573266	0.684110188055686	1.07604246044214	1.0026940056355	-0.825017664751834	-1.1206737176083	-0.93070718961811	1.5671535332567	-1.83859414558215	0.480603102503849	-0.751563000739903	0.867168216457215	0.528720080875933	0.691196874210527	-1.32174834526648
Adipocytokine signaling pathway	-0.538647226242343	-0.901088875752635	-0.849161453357478	0.858430319193889	0.691851398903553	0.637944430032762	-0.756799469405638	0.838709747768276	0.841001135407905	0.993287144923646	-0.892153824832073	0.575010519725162	-0.587990614522019	-0.808718427959196	0.741149019165054	1.22989004222186	-0.477783574393985	0.642016513469678	1.10562031111442	1.34192605891985	-1.31402113924163	1.21174433469823	0.74691438314273	0.972919997308704	0.890658632660972	-0.738478127514154	-0.638613338273148	-0.778151345880786	1.08282872656105	0.81541258933115	-0.853792598720046	1.03727496685221	1.28950509725838	-1.30248463371365	0.722759848448809	-0.945246697410775	-1.2303856447839	0.843533371592223	-0.769244936588251	-0.977770082960707	-0.667590426139854	0.892029509253935	-0.574245247246828	-1.0941706454744	-1.07664601785563	0.750668863683934	-0.737907143231904	-0.717565026467427	-1.29031749468283	0.716540666507936	0.788280876402115	0.876488342778277	0.996427219693482	-0.763371884263444	0.783339308052998	-0.614242312809929	-0.9557002130849	1.14074674536003	0.726771145081967	1.15985404244352	-0.686334254876557	-0.663051685917941	-1.12602681362608
Adrenergic signaling in cardiomyocytes	0.839131547721069	-1.02397030677606	1.14277845770858	-1.27309191484716	0.99583368172401	-0.680169071439011	-0.704271158464015	-0.884562768979341	1.00121865860034	0.870366969990325	0.804043876747977	0.648071369327199	-1.05257277653285	1.07922394038322	-1.17456161667188	1.32465592777152	-1.38931117345596	-0.695059769577023	-0.831915095235358	-0.93667295376783	-0.714612225520545	-1.07540902375368	0.869954334592147	0.767720409235039	0.923794735670132	0.961435372263423	0.888731025301725	-1.24240327105854	0.934891175468849	1.02192599558243	-0.950006890962129	-0.93940135360294	1.01013915429793	-0.722158613976301	-0.971948978097332	-0.840873478400955	-1.06247655932459	-1.18200854585963	-0.857426906870919	1.09348949470313	-1.09401893988733	-0.87959979145034	0.908009465179287	1.14006025864872	-1.10192387932728	-1.16346396503988	-1.17656408457002	1.0024056555536	-0.908596344433746	-0.945325838084311	0.958566290058495	-1.02004289356071	0.902124944879346	-0.933497924638469	-0.937805671661663	-0.759363203580935	-0.920336411980898	1.17402147287769	0.712681801875022	-1.02286733814346	-1.14471098193764	-0.817876102557186	-0.970219357491458
African trypanosomiasis	-1.07023458235519	-1.20922232736875	-1.04015285866469	1.65814419662968	-1.64805916334116	-0.701897168537223	-1.56837838329278	1.21608010161458	1.30687834173803	0.967022106022295	-1.26231157684595	-1.60305169729929	-1.14107770378622	-1.49787161973205	-1.19107686803293	1.50492736705189	-1.03881276847089	-1.66454336487272	1.61986650556072	1.73658782743153	-2.23089391617865	1.94810520983814	-1.00463802367326	1.89038752842766	1.23094082584176	1.31275505537182	1.13526337205325	1.70699757406299	1.20627784207746	-1.76406893166879	-1.75495544183215	0.937238573294085	1.63496440094526	1.0951869372837	0.947581623799795	-0.935957144404502	-1.14791682361061	1.63114352657737	-1.12543289894968	-1.6335017567185	-0.722180087458685	-1.37937881186908	1.3504388569586	1.44183284439255	-1.26389723854896	1.65343641049859	0.96856518359011	1.41678372152364	-1.07007470897304	1.4590914250911	1.71731156017284	-0.86755320644985	1.72772536505195	-0.944513132188414	-1.75775961423406	-1.38311995155505	0.85705040917381	1.61940747748266	-1.55232491081531	1.55843976004589	1.01615609157642	-1.6987548025438	0.823288999854145
Alanine, aspartate and glutamate metabolism	0.9526889823723	-0.612227647953246	-0.702168299896395	-0.868265618767953	0.995141604780151	-0.704132349136446	0.752577982619037	-0.741555305297445	0.78834754771057	0.876378943422857	-0.659104449040662	-0.956136186450217	-0.697231178380715	0.92456236660758	-0.943142944707174	0.855438084541586	-0.814427636562498	1.01567574197688	-0.791959837694396	-1.24576761654512	-0.830780495253987	-0.80773804884355	-0.72776949992886	0.720074181073958	-0.61221114790265	1.03848902730206	-1.46034518417644	-0.856054414974577	0.749210440529574	0.930490582341394	0.623704527926773	-1.2148177993188	0.699748314657784	-0.726303548588348	0.760763907506575	0.995033007916774	0.640077145840329	0.79990194886723	0.718214730138249	-0.814732106214428	-1.12281338224347	0.687069100236725	1.13611253212795	0.698881166694535	-0.697111754058387	-0.909911212056434	-0.489608550445273	0.735099913231428	0.961009346297268	0.689099400556223	-0.811776268310312	-0.685732626475955	-1.39193549361081	-1.36440940510756	0.828900567880565	0.935170139566844	-0.660904264603244	0.946392270786351	-0.632984026387084	-0.836981102302674	-1.15119584174688	-0.770237764493946	0.678442032828012
Alcoholism	0.678649565544456	-0.857656468786557	0.782248258860349	-1.13437866460163	0.779508108435768	-0.746385630486469	-0.773765986946088	-0.651482893453045	-0.7136696662312	1.03771019994753	0.871928022801175	0.731339241992204	-0.816144827277417	-0.863994047073826	-0.896743055093582	1.30031158092806	-1.04188952235743	-0.660033126059947	1.12487518894987	-0.815380371701839	-0.91050251380889	-0.818244773302037	-0.764502988221687	0.91307268494144	1.17067870572561	-0.728556324269745	-1.22559046031891	-0.838789871104741	0.7318159810716	1.05515607399086	-1.08619050842407	1.07566762743552	-0.825250772868313	-0.833314290065323	1.11015209532196	0.968996278501451	0.90120749974443	-0.66963059368912	0.848844713217334	-0.765566404235111	0.840521622077147	0.838370986133315	1.19080670801332	0.928959295284191	-1.07775322831783	-0.785895717654971	-0.779654136456426	-1.03388358852814	-1.19645098925393	0.781044161857833	1.16273616688434	0.73412065224299	0.856449798421575	-0.962029582143492	0.808733646946302	0.829896414987074	-0.921142734859956	1.35939686974635	-0.715453223742929	-0.736847928809962	0.801954100176047	0.837468843325987	-1.19844050125416
Aldosterone synthesis and secretion	1.23957593610225	-0.966281645405682	1.06775222339311	-0.71346497349659	1.09385804155379	0.75127966211569	-0.812879706886791	-0.768665502098629	1.03031963574146	1.18379053730993	0.840948265707336	0.943670654397455	-0.735520035025544	-0.78806876291309	-0.816605423476716	1.59855599474339	-1.46256306995979	0.837093224262933	1.10272240289001	-0.843774200410669	-0.987869600133266	-0.887003834124736	-0.853646833130849	1.03226916714513	1.04016136802173	1.20875469026293	-0.838347815368013	-1.16275457365606	1.00152013675911	1.00393122902797	-1.08007816549218	-0.720414380759255	1.07881612772013	-0.913592566666329	1.03644873259467	-0.718096653620268	-0.898189011465602	-1.15394735275358	-1.17124669302246	1.18327772062872	-0.977873367512774	-0.91528255852466	1.02807473651887	0.729966464411432	-1.11532333704407	-0.839971500653156	-0.855306729326295	-0.907373140781502	-1.18354522821672	-0.980851486858989	0.811527346985636	0.881516451613403	0.889352701849359	-0.851360729454106	-0.914229262134763	1.15405927082238	-1.090400391011	1.44893563664972	-0.681873705002464	-0.68970634867661	-1.09993405383251	0.867190742318652	-1.28264292190056
Aldosterone-regulated sodium reabsorption	1.33262685458601	0.935597958669625	0.479751841736518	0.919502507869862	1.01899558578498	-0.788908442737636	0.85759792242193	1.03953296630068	-0.592861658495267	-0.911159414640645	1.05404617114988	-1.01937777368322	0.78125781331167	0.803588192567521	-0.814904799425575	1.20188099215218	-0.940559328137881	-1.21794549469744	0.939743866851955	0.935274127573495	1.05988654357503	-0.666292742477969	-1.3469867615914	-0.729346462831595	1.12158589251421	-0.868230249324133	-0.748544172716777	-1.29875599634219	0.971681776192448	-0.869934456540182	-0.753216235720107	1.54594011649202	0.887520390180877	0.69985927932082	-1.17721964853943	1.02119441025303	-0.739566325801679	0.787757205608217	-1.21775497877734	1.43408025264902	-1.18379517692491	0.735159437837792	-0.833826153734817	-1.22024852389756	-1.12277001086135	0.731261418216096	1.31999398213049	-1.02999917293551	-1.51506874712654	0.776103744880889	0.880592857480997	0.71879490622786	-0.862457868468403	-0.711528043857056	0.958540169288141	1.35949458880768	-1.25693430769691	0.796438262801724	-0.761074453347479	1.23349109617099	-1.03396301501676	-0.849531648935546	-1.01695139808572
Allograft rejection	1.29095283000825	-1.700990213008	0.90241818247979	1.13516585026171	-1.70302797238189	0.722732027955181	-1.16427480283127	1.26076887329344	0.673816615707034	0.961035530830362	-0.829661054665069	0.698704440795499	-1.65781210532971	0.787953456624859	-1.46087110398989	-1.08377576787768	-1.33316365632361	-1.33904279846269	2.1788636028348	2.04860845127392	-2.09865934445418	-0.906727137166039	1.55671770547676	2.04490493786764	-1.91971039614207	0.632790132307481	-0.704095083343313	1.40301810580852	2.14095346837188	-0.99935070546049	-1.4623325730003	1.95085319322903	2.09603027145644	1.51097470683432	1.07322962462894	-0.864934766973137	-1.49429521520965	2.03443199974477	-1.14949034390073	-1.51170637747099	-1.19681561529916	-1.74355767594346	-1.28168420533652	-1.68752486214371	-1.32350085517253	0.804341056715626	1.49356254934736	1.63717715943026	1.37021097748811	-1.74522666945165	1.17654674962075	-0.89038817897396	1.58070626923518	1.21893237193986	-1.16825177623231	-1.28961290495659	1.66025120852064	1.48168934424949	-1.25792971318989	1.75936587268261	1.19642819684293	-1.82685013448653	1.87489987363357
