	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
ABC transporters	1	1	1	1	1	1	1	1	1	1	1	1	0.868794326241135	0.37997645918438	0.505933623868589	0.410769230769231	0.98023698036888	1	0.239467475564543	0.500941619585687	0.55930652021752	0.819723474142541	1	0.989164530181375	1	1	1	1	0.651521434866	1	0.486905707630371	1	0.575141479773632	1	1	1	1	0.217927247769389	1	0.777039025397481	1	0.934052180610379	1	1	1	0.776878612716763	1	0.835840058694057	0.580583783783784	1	0.934212074849947	0.691888573401888	0.992665542838553	1	1	1	0.496124031007752	1	1	1	0.956699062825408	1	0.766858457997698
AGE-RAGE signaling pathway in diabetic complications	0.13125	0.407721139430285	1	1	1	1	1	1	1	1	1	1	0.554259455638035	0.0179585853032802	0.282828282828283	0.0307982401005657	1	1	1	0.0122884012539185	0.00701871657754011	0.091588785046729	1	0.00793051359516616	0.0659858601728201	0.0416666666666667	1	0.316993464052288	0.0141891891891892	0.71424233221986	0.00697359994307265	1	0.0363347457627119	0.894697826850298	1	0.183520599250936	1	0.0199728260869565	1	0.0209461385009974	1	0.457479916045451	1	1	0.362962962962963	0.0540441176470588	0.707368421052632	0.455650929899857	1	0.0594900849858357	0.0776403193369492	0.0743174924165824	0.0884476534296029	0.0594900849858357	0.189830508474576	1	0.0429824561403509	0.0412844036697248	0.975245499181669	0.309745390693591	0.675290135396518	0.044954128440367	0.0539152759948652
AMPK signaling pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.421203438395415	1	1	0.417568010488364	1	0.999404785524384	0.995118466484105	1	1	0.118696322395948	1	1	1	1	1	1	1	1	0.590954773869347	1	1	1	1	1	1	1	0.888296454278859	1	1	1	0.441698168072114	1	0.835840058694057	0.224548103306837	1	1	1	0.989269082810285	1	1	0.43491124260355	0.527511961722488	0.845777511961722	1	0.816666666666667	1	1	0.874165131914705
Acute myeloid leukemia	1	0.544444444444445	1	1	1	1	1	1	1	1	1	1	1	0.0655288798318793	0.890159798149706	0.539462070887722	1	1	0.0619469026548673	0.0292420926994231	0.0120942860668888	0.385	1	0.155464159811986	1	1	1	1	0.0141891891891892	1	0.0301538461538462	0.23937908496732	0.0338833291715488	1	1	0.0726284584980237	1	0.0377770639254738	1	1	1	0.965029667971216	0.900489396411093	1	0.171715889179512	0.98	0.280729166666667	1	0.138788355625492	1	0.0473684210526316	1	0.324145534729879	1	0.936952249429012	0.464769647696477	0.0587686567164179	0.10070892410342	1	0.272474513438369	1	0.190655858511422	0.824018841760032
Adherens junction	0.5625	1	1	1	1	1	1	1	1	1	1	1	0.425493138936535	0.190909090909091	0.376836804760815	0.512434123847167	1	1	1	0.729147312541473	0.618116287698097	0.091588785046729	1	0.767352480018356	0.0725657164013328	0.313778145011361	1	1	0.0506692709829379	1	0.264428538968416	1	0.811293138176447	1	1	0.263863958431743	1	0.0225183823529412	1	1	1	0.180392691573493	1	0.854237288135593	0.783817362944557	0.461538461538462	1	1	1	1	0.767171717171717	0.977405936850066	1	0.638463490989085	1	0.12039312039312	0.0429824561403509	1	1	1	1	1	0.250778816199377
Adipocytokine signaling pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.263440860215054	1	1	0.478902539545472	0.131578947368421	0.208928225337554	0.391895494534791	1	0.855891891891892	0.908350658350658	1	1	1	0.479335180055402	1	0.869760479041916	0.907376126126126	0.201197604790419	0.621710526315789	1	0.995960912052117	0.826340092350934	0.968863636363636	1	0.873335681578021	1	1	1	1	0.677747368421053	1	1	1	0.355805946791862	1	1	1	0.803255827190711	1	1	1	0.86242816091954	0.500088417329797	1	0.410232558139535	1	1	0.553239112995078
Adrenergic signaling in cardiomyocytes	1	0.877579599056604	1	0.407766990291262	1	1	1	1	1	1	1	1	0.865741098323936	0.510225140712946	0.426424050632911	0.0935325229655748	0.207907425265188	1	1	0.798760277901715	1	0.656152358280018	1	1	0.907198212417316	1	1	0.443479989398357	0.836082807698528	0.919985840707965	0.715916354670806	1	0.681126163893915	1	1	1	0.994612794612795	0.263477495016919	1	0.542068405561758	1	1	1	1	0.591436217662801	0.472961630695444	0.570206212030461	0.946517334675643	0.981310001215215	1	0.943546812139519	0.962101851274699	0.989269082810285	0.967105263157895	1	1	1	0.350779510022272	1	0.865805635469588	0.795454545454545	1	0.849688401078969
African trypanosomiasis	0.759076433121019	0.634908536585366	1	0.0816553256492154	0.0742424242424242	1	0.663157894736842	1	1	1	1	0.583333333333333	0.769025367156208	0.0416165333710808	0.524414715719064	0.0697809903981012	0.870967741935484	0.547486033519553	0.0810274501157535	0.0420396373723797	0.00701871657754011	0.091588785046729	1	0.00793051359516616	0.40774068698597	0.499151103565365	1	0.316993464052288	0.271386430678466	0.0655567117585848	0.00697359994307265	1	0.0198980282452737	1	1	0.995960912052117	0.931630497407336	0.0207700459201695	1	0.0455108359133127	1	0.282550559919773	0.784615384615385	0.548648648648649	0.433489326238861	0.0540441176470588	1	0.425101214574899	0.697329812206573	0.238442822384428	0.0264769452449568	1	0.0213252094440213	0.923307996905011	0.0413502109704641	0.366808475824266	0.99585326953748	0.0288612565445026	0.159782608695652	0.125641025641026	1	0.0224	1
Alanine, aspartate and glutamate metabolism	0.95131421744325	1	1	1	1	1	1	1	1	1	1	1	1	0.838648688989502	0.853303936605317	0.843775571921585	1	1	1	0.283791500122359	0.982423600070659	0.95664816283373	1	1	1	1	0.535454103933948	1	1	1	1	0.69027460796584	1	1	1	0.895889028060795	1	0.977749066896354	1	1	1	1	1	1	1	0.910845785372131	1	1	0.87954652810581	1	1	1	0.231334149326805	0.333498759305211	1	0.960498960498961	1	0.848325946272135	1	1	1	1	1
Alcoholism	1	1	1	0.925984251968504	1	1	1	1	1	1	1	1	1	1	0.924947385462198	0.147948802100427	0.854420113544201	1	0.377812565714152	0.978393207902469	0.913368983957219	0.980343651375562	1	0.986111111111111	0.351513460733715	1	0.638675213675214	1	1	0.857199017199017	0.446496442841828	0.796195652173913	1	1	1	0.983623877443212	1	1	1	1	1	1	0.900489396411093	1	0.623566788541408	1	1	0.835840058694057	0.409463797408156	1	0.46897233201581	1	0.989269082810285	0.926199081762235	1	1	1	0.10070892410342	1	1	1	1	0.42997542997543
