	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
ABC transporters	0.83969465648855	0.53415061295972	0.354581673306773	0.974803149606299	0.667625899280576	0.583126550868486	0.977124183006536	0.195906432748538	0.660818713450292	0.878411910669975	0.48046875	0.809405940594059	0.366336633663366	0.184818481848185	0.194630872483221	0.244505494505494	0.590142671854734	0.722719141323792	0.0749354005167959	0.286252354048964	0.287262872628726	0.529753265602322	0.965014577259475	0.662807525325615	0.922268907563025	0.792682926829268	0.863309352517986	0.7903981264637	0.445026178010471	0.955140186915888	0.326259946949602	0.95048309178744	0.305177111716621	0.42296918767507	0.436908517350158	0.878120411160059	0.360446570972887	0.114893617021277	0.461215932914046	0.383233532934132	0.727549467275495	0.536065573770492	0.776769509981851	0.724317295188557	0.815232722143865	0.459269662921348	0.825921219822109	0.304347826086957	0.246192893401015	0.854779411764706	0.552901023890785	0.189189189189189	0.788461538461538	0.962059620596206	0.493268053855569	0.771052631578947	0.247875354107649	0.791194968553459	0.89419795221843	0.780429594272076	0.206632653061224	0.563991323210412	0.430379746835443
AGE-RAGE signaling pathway in diabetic complications	0.00371747211895911	0.0630182421227197	1	0.29073482428115	0.653225806451613	1	0.542105263157895	0.0334448160535117	0.866035182679296	0.995449374288965	1	1	0.129186602870813	0.00272479564032698	0.0606060606060606	0.00375469336670839	0.979142526071842	0.983498349834984	0.822556390977444	0.0020703933747412	0.00145560407569141	0.00404858299595142	0.365461847389558	0.00128369704749679	0.00426439232409382	0.0015527950310559	0.551324503311258	0.0158730158730159	0.00304878048780488	0.216216216216216	0.00151057401812689	0.434782608695652	0.00988700564971751	0.19203413940256	0.127777777777778	0.0337078651685393	0.963126843657817	0.00446428571428571	0.96127562642369	0.00196078431372549	0.702290076335878	0.126373626373626	0.998168498168498	0.944764096662831	0.0989847715736041	0.00469483568075117	0.228571428571429	0.0490566037735849	0.740340030911901	0.00240384615384615	0.0161090458488228	0.00557620817843866	0.0166468489892985	0.0028328611898017	0.0271186440677966	0.773584905660377	0.00416666666666667	0.00688073394495413	0.344984802431611	0.0895522388059701	0.0306748466257669	0.00533807829181495	0.00385109114249037
AMPK signaling pathway	1	0.785602503912363	1	1	0.987113402061856	0.679389312977099	0.878205128205128	1	1	1	0.984031936127745	1	0.931578947368421	0.994318181818182	1	0.256723716381418	1	1	0.190769230769231	0.995753715498938	0.803333333333333	0.876651982378855	0.393013100436681	1	0.0230125523012552	1	1	0.994769874476987	0.97583081570997	0.950819672131147	0.997041420118343	1	0.998579545454545	0.0476190476190476	0.259259259259259	0.995726495726496	1	0.998708010335917	1	0.919421487603306	1	0.46831955922865	0.997747747747748	0.720720720720721	0.945611866501854	0.171270718232044	1	0.298804780876494	0.04047976011994	1	0.810488676996424	0.844444444444444	0.723684210526316	0.875175315568022	0.694736842105263	0.114503816793893	0.272727272727273	0.546590909090909	1	0.388888888888889	0.689759036144578	0.933035714285714	0.553865652724968
Acute myeloid leukemia	0.993939393939394	0.111111111111111	0.745283018867924	0.484057971014493	0.67704280155642	1	0.394662921348315	0.966521106259097	1	0.959302325581395	0.873517786561265	0.134366925064599	0.714670255720054	0.0182767624020888	0.620689655172414	0.377049180327869	0.775434243176179	0.998278829604131	0.0087719298245614	0.00646551724137931	0.003003003003003	0.117857142857143	0.982698961937716	0.0486486486486487	0.975609756097561	0.618032786885246	1	0.925472747497219	0.00276243093922652	0.959915611814346	0.00923076923076923	0.0367647058823529	0.00910470409711684	0.695393759286776	1	0.0033112582781457	0.367223065250379	0.0141342756183746	0.28322440087146	0.791666666666667	0.557833089311859	0.581578947368421	0.147540983606557	0.873291925465839	0.0309555854643338	0.717741935483871	0.0567010309278351	0.996884735202492	0.0144	0.961098398169336	0.00789473684210526	0.686424474187381	0.101412066752246	0.853587115666179	0.427046263345196	0.12962962962963	0.0111940298507463	0.0254545454545455	0.998330550918197	0.0763358778625954	0.831578947368421	0.0381818181818182	0.50730411686587
Adherens junction	0.214285714285714	0.916107382550336	1	0.528072837632777	1	0.993377483443709	1	1	1	1	1	1	0.0691056910569106	0.0714285714285714	0.108695652173913	0.343832020997375	0.849397590361446	0.22463768115942	0.789473684210526	0.53781512605042	0.359516616314199	0.00371747211895911	0.785467128027682	0.405835543766578	0.00842105263157895	0.0501618122977346	1	0.411111111111111	0.0177514792899408	0.615217391304348	0.145705521472393	0.981651376146789	0.607090103397341	1	1	0.0655172413793104	1	0.00760456273764259	1	0.668662674650699	0.957386363636364	0.0233160621761658	1	0.101694915254237	0.478436657681941	0.183673469387755	1	0.993506493506494	0.952456418383518	1	0.348329048843188	0.408914728682171	0.905759162303665	0.230194319880419	0.615746180963572	0.0050761421319797	0.00393700787401575	1	0.936585365853659	0.814159292035398	1	0.997777777777778	0.061415220293725
Adipocytokine signaling pathway	1	0.65979381443299	0.824644549763033	0.780346820809249	0.965653896961691	1	0.925207756232687	0.835403726708075	0.760961810466761	0.491606714628297	0.692	1	1	0.890909090909091	0.994594594594595	0.124668435013263	1	1	0.236994219653179	0.043859649122807	0.0817236255572065	0.122302158273381	0.942172073342736	0.509459459459459	0.667359667359667	0.979591836734694	1	0.842105263157895	0.285318559556787	0.858195211786372	0.741691842900302	0.34375	0.0718562874251497	0.0584615384615385	0.976573938506589	0.565155807365439	0.141791044776119	0.843636363636364	0.933901918976546	0.48870636550308	0.995633187772926	0.705426356589147	1	0.247252747252747	0.348525469168901	0.959016393442623	0.921182266009852	0.98705501618123	0.0907668231611894	0.993071593533487	0.853211009174312	0.733840304182509	0.447667087011349	0.921130952380952	0.948051948051948	0.991293532338308	0.563218390804598	0.246642246642247	0.992518703241895	0.13953488372093	0.994269340974212	0.998188405797101	0.257595772787318
Adrenergic signaling in cardiomyocytes	0.927927927927928	0.382075471698113	0.180995475113122	0.0624133148404993	0.476600985221675	1	0.991271820448878	0.746185852981969	0.45974025974026	0.789130434782609	0.936213991769547	1	0.355106888361045	0.284615384615385	0.139169472502806	0.0289505428226779	0.0120218579234973	1	0.86987270155587	0.630314232902033	0.993178717598909	0.319148936170213	0.774193548387097	0.942682926829268	0.658536585365854	0.565846599131693	0.788557213930348	0.0740740740740741	0.651234567901235	0.391150442477876	0.567375886524823	0.644050104384134	0.430916552667579	1	0.50381679389313	0.860103626943005	0.304473304473304	0.145181476846058	0.878859857482185	0.216326530612245	0.22987012987013	0.761240310077519	0.712014134275618	0.224917309812569	0.267554479418886	0.193045563549161	0.151279199110122	0.441441441441441	0.699421965317919	0.615780445969125	0.571263035921205	0.396929824561404	0.709714285714286	0.631578947368421	0.61437908496732	0.918435754189944	0.736263736263736	0.150334075723831	1	0.45057232049948	0.119047619047619	0.953321364452424	0.525997581620314
African trypanosomiasis	0.361464968152866	0.176882661996497	0.355555555555556	0.00527704485488127	0.00595238095238095	0.958188153310105	0.00902255639097744	0.183060109289617	0.12210200927357	0.532299741602067	0.148221343873518	0.0121359223300971	0.279883381924198	0.00997506234413965	0.205128205128205	0.0154277699859748	0.419398907103825	0.0037243947858473	0.0129533678756477	0.0104384133611691	0.0016025641025641	0.00307692307692308	0.425655976676385	0.00146627565982405	0.159574468085106	0.0899830220713073	0.219026548672566	0.0171428571428571	0.133995037220844	0.00631578947368421	0.0016366612111293	0.548913043478261	0.00500834724540901	0.313504823151125	0.555735056542811	0.563552833078101	0.2491961414791	0.00671140939597315	0.242616033755274	0.005859375	0.931506849315068	0.0572390572390572	0.0607210626185958	0.0391891891891892	0.139673105497771	0.00320512820512821	0.506024096385542	0.0347432024169184	0.341549295774648	0.028322440087146	0.00288184438040346	0.706498951781971	0.00282885431400283	0.543307086614173	0.00126582278481013	0.0848400556328234	0.70995670995671	0.00392670157068063	0.0120274914089347	0.0101010101010101	0.426395939086294	0.0019047619047619	0.807339449541284
Alanine, aspartate and glutamate metabolism	0.524193548387097	0.986206896551724	0.958762886597938	0.684294871794872	0.488549618320611	0.938704028021016	0.906432748538012	0.871715610510046	0.788368336025848	0.688741721854305	0.964730290456432	0.518159806295399	0.918518518518519	0.576214405360134	0.555712270803949	0.697406340057637	0.774861878453039	0.405172413793103	0.798061389337641	0.133208255159475	0.741830065359477	0.733231707317073	0.918079096045198	0.909365558912387	0.994307400379507	0.403716216216216	0.0516605166051661	0.706982543640898	0.885985748218527	0.583804143126177	0.995073891625616	0.200250312891114	0.943686006825939	0.948717948717949	0.866779089376054	0.454038997214485	0.994750656167979	0.858024691358025	0.917293233082707	0.801541425818882	0.273993808049536	0.951456310679612	0.250470809792844	0.889200561009818	0.941265060240964	0.609865470852018	1	0.892405063291139	0.520547945205479	0.957303370786517	0.796352583586626	0.953156822810591	0.0598006644518272	0.0728476821192053	0.814655172413793	0.594594594594595	0.981072555205047	0.556894243641232	0.97723292469352	0.72636815920398	0.245742092457421	0.890359168241966	0.976261127596439
Alcoholism	1	0.800995024875622	0.886524822695035	0.219158200290276	0.908488063660477	0.975083056478405	0.926315789473684	0.998577524893314	0.996197718631179	0.40386803185438	0.764227642276423	0.979299363057325	0.836065573770492	0.844686648501362	0.670114942528736	0.0550688360450563	0.384704519119351	1	0.163204747774481	0.89402697495183	0.652110625909753	0.815894039735099	0.995983935742972	0.650834403080873	0.127931769722815	0.997206703910615	0.0960264900662252	0.804046858359957	0.99390243902439	0.320720720720721	0.282477341389728	0.260869565217391	0.91156462585034	0.91304347826087	0.252777777777778	0.539325842696629	0.728395061728395	0.993573264781491	0.83303730017762	0.968627450980392	0.912213740458015	0.862637362637363	0.137362637362637	0.616800920598389	0.303299492385787	0.879594423320659	0.893271461716937	0.328301886792453	0.126738794435858	0.975961538461538	0.172242874845105	0.986988847583643	0.750297265160523	0.548158640226629	0.974358974358974	0.924528301886792	0.745833333333333	0.0263761467889908	0.990881458966565	0.933689839572193	0.877218934911243	0.902272727272727	0.161745827984596
