pathway	DB	n	statistic	df	p	method
ABC transporters	KEGG_2019_Human	63	3.46373456790124	1	0.0627	Kruskal-Wallis
Acute myeloid leukemia	KEGG_2019_Human	63	0.865933641975317	1	0.352	Kruskal-Wallis
Adherens junction	KEGG_2019_Human	63	0.765625	1	0.382	Kruskal-Wallis
Adipocytokine signaling pathway	KEGG_2019_Human	63	3.26003086419752	1	0.071	Kruskal-Wallis
Adrenergic signaling in cardiomyocytes	KEGG_2019_Human	63	0.00482253086420315	1	0.945	Kruskal-Wallis
African trypanosomiasis	KEGG_2019_Human	63	0.00482253086420315	1	0.945	Kruskal-Wallis
AGE-RAGE signaling pathway in diabetic complications	KEGG_2019_Human	63	0.0557484567901554	1	0.813	Kruskal-Wallis
Alanine, aspartate and glutamate metabolism	KEGG_2019_Human	63	0.173611111111114	1	0.677	Kruskal-Wallis
Alcoholism	KEGG_2019_Human	63	3.78086419753086	1	0.0518	Kruskal-Wallis
Aldosterone synthesis and secretion	KEGG_2019_Human	63	1.890625	1	0.169	Kruskal-Wallis
Aldosterone-regulated sodium reabsorption	KEGG_2019_Human	63	0.00482253086420315	1	0.945	Kruskal-Wallis
Allograft rejection	KEGG_2019_Human	63	0.0771604938271651	1	0.781	Kruskal-Wallis
alpha-Linolenic acid metabolism	KEGG_2019_Human	63	1.70447530864197	1	0.192	Kruskal-Wallis
Alzheimer disease	KEGG_2019_Human	63	0.648919753086432	1	0.42	Kruskal-Wallis
Amino sugar and nucleotide sugar metabolism	KEGG_2019_Human	63	0.0625	1	0.803	Kruskal-Wallis
Aminoacyl-tRNA biosynthesis	KEGG_2019_Human	63	0.151234567901241	1	0.697	Kruskal-Wallis
Amoebiasis	KEGG_2019_Human	63	0.0378086419753174	1	0.846	Kruskal-Wallis
Amphetamine addiction	KEGG_2019_Human	63	1.36111111111111	1	0.243	Kruskal-Wallis
AMPK signaling pathway	KEGG_2019_Human	63	0.00694444444445708	1	0.934	Kruskal-Wallis
Amyotrophic lateral sclerosis (ALS)	KEGG_2019_Human	63	1.52797067901233	1	0.216	Kruskal-Wallis
Antigen processing and presentation	KEGG_2019_Human	63	0.717785493827165	1	0.397	Kruskal-Wallis
Apelin signaling pathway	KEGG_2019_Human	63	0.648919753086432	1	0.42	Kruskal-Wallis
Apoptosis	KEGG_2019_Human	63	0.626736111111114	1	0.429	Kruskal-Wallis
Arachidonic acid metabolism	KEGG_2019_Human	63	0.790123456790155	1	0.374	Kruskal-Wallis
Arginine and proline metabolism	KEGG_2019_Human	63	0.173611111111114	1	0.677	Kruskal-Wallis
Arginine biosynthesis	KEGG_2019_Human	63	0.000771604938250903	1	0.978	Kruskal-Wallis
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG_2019_Human	63	0.541859567901241	1	0.462	Kruskal-Wallis
Ascorbate and aldarate metabolism	KEGG_2019_Human	63	0.023341049382708	1	0.879	Kruskal-Wallis
Asthma	KEGG_2019_Human	63	0.40817901234567	1	0.523	Kruskal-Wallis
Autoimmune thyroid disease	KEGG_2019_Human	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Autophagy	KEGG_2019_Human	63	2.46315586419755	1	0.117	Kruskal-Wallis
Axon guidance	KEGG_2019_Human	63	0.648919753086432	1	0.42	Kruskal-Wallis
B cell receptor signaling pathway	KEGG_2019_Human	63	1.96778549382717	1	0.161	Kruskal-Wallis
Bacterial invasion of epithelial cells	KEGG_2019_Human	63	0	1	1	Kruskal-Wallis
Basal cell carcinoma	KEGG_2019_Human	63	0.25	1	0.617	Kruskal-Wallis
Basal transcription factors	KEGG_2019_Human	63	0.0434027777777715	1	0.835	Kruskal-Wallis
Base excision repair	KEGG_2019_Human	63	0.37345679012347	1	0.541	Kruskal-Wallis
beta-Alanine metabolism	KEGG_2019_Human	63	0.0434027777777715	1	0.835	Kruskal-Wallis
Bile secretion	KEGG_2019_Human	63	0.015625	1	0.901	Kruskal-Wallis
Biosynthesis of unsaturated fatty acids	KEGG_2019_Human	63	0.815007716049394	1	0.367	Kruskal-Wallis
Bladder cancer	KEGG_2019_Human	63	0.0378086419753174	1	0.846	Kruskal-Wallis
Breast cancer	KEGG_2019_Human	63	0.390625	1	0.532	Kruskal-Wallis
Butanoate metabolism	KEGG_2019_Human	63	3.26003086419752	1	0.071	Kruskal-Wallis
C-type lectin receptor signaling pathway	KEGG_2019_Human	63	0.972415123456784	1	0.324	Kruskal-Wallis
Calcium signaling pathway	KEGG_2019_Human	63	0	1	1	Kruskal-Wallis
cAMP signaling pathway	KEGG_2019_Human	63	0.30864197530866	1	0.579	Kruskal-Wallis
Carbohydrate digestion and absorption	KEGG_2019_Human	63	0.00945216049382225	1	0.923	Kruskal-Wallis
Cardiac muscle contraction	KEGG_2019_Human	63	1.20389660493825	1	0.273	Kruskal-Wallis
Cell adhesion molecules (CAMs)	KEGG_2019_Human	63	0.000771604938250903	1	0.978	Kruskal-Wallis
Cell cycle	KEGG_2019_Human	63	0.815007716049394	1	0.367	Kruskal-Wallis
Cellular senescence	KEGG_2019_Human	63	0.151234567901241	1	0.697	Kruskal-Wallis
Central carbon metabolism in cancer	KEGG_2019_Human	63	0.0123456790123271	1	0.912	Kruskal-Wallis
cGMP-PKG signaling pathway	KEGG_2019_Human	63	0.015625	1	0.901	Kruskal-Wallis
Chagas disease (American trypanosomiasis)	KEGG_2019_Human	63	0.0326003086419746	1	0.857	Kruskal-Wallis
Chemical carcinogenesis	KEGG_2019_Human	63	0.604938271604908	1	0.437	Kruskal-Wallis
Chemokine signaling pathway	KEGG_2019_Human	63	0.015625	1	0.901	Kruskal-Wallis
Cholesterol metabolism	KEGG_2019_Human	63	0.521604938271565	1	0.47	Kruskal-Wallis
Choline metabolism in cancer	KEGG_2019_Human	63	0.0192901234568126	1	0.89	Kruskal-Wallis
Cholinergic synapse	KEGG_2019_Human	63	0.173611111111114	1	0.677	Kruskal-Wallis
Chronic myeloid leukemia	KEGG_2019_Human	63	0.463155864197546	1	0.496	Kruskal-Wallis
Circadian entrainment	KEGG_2019_Human	63	6.11188271604937	1	0.0134	Kruskal-Wallis
Circadian rhythm	KEGG_2019_Human	63	0.765625	1	0.382	Kruskal-Wallis
Citrate cycle (TCA cycle)	KEGG_2019_Human	63	0.00945216049382225	1	0.923	Kruskal-Wallis
Cocaine addiction	KEGG_2019_Human	63	2.41975308641977	1	0.12	Kruskal-Wallis
Collecting duct acid secretion	KEGG_2019_Human	63	0.162229938271565	1	0.687	Kruskal-Wallis
Colorectal cancer	KEGG_2019_Human	63	0.278549382716051	1	0.598	Kruskal-Wallis
Complement and coagulation cascades	KEGG_2019_Human	63	0.00308641975308888	1	0.956	Kruskal-Wallis
Cortisol synthesis and secretion	KEGG_2019_Human	63	0.444444444444457	1	0.505	Kruskal-Wallis
Cushing syndrome	KEGG_2019_Human	63	0.162229938271565	1	0.687	Kruskal-Wallis
Cysteine and methionine metabolism	KEGG_2019_Human	63	1.70447530864197	1	0.192	Kruskal-Wallis
Cytokine-cytokine receptor interaction	KEGG_2019_Human	63	0.0145628621819185	1	0.904	Kruskal-Wallis
Cytosolic DNA-sensing pathway	KEGG_2019_Human	63	0.000771604938250903	1	0.978	Kruskal-Wallis
