pathway	pval
TNF-alpha Signaling via NF-kB	0.424466536721394
Hypoxia	0.920657116496035
Cholesterol Homeostasis	0.393314331009621
Mitotic Spindle	0.90648788602512
Wnt-beta Catenin Signaling	0.146370172401975
TGF-beta Signaling	0.423560076544327
IL-6/JAK/STAT3 Signaling	0.165995903398422
DNA Repair	0.559339017398801
G2-M Checkpoint	0.772928369152222
Apoptosis	0.63119425811616
Notch Signaling	0.276266726808161
Adipogenesis	0.058560116054616
Estrogen Response Early	0.151614115947697
Estrogen Response Late	0.302014058648244
Androgen Response	0.078220237677024
Myogenesis	0.762604456656679
Protein Secretion	0.276364014934818
Interferon Alpha Response	0.361834834247388
Interferon Gamma Response	0.127175560713526
Apical Junction	0.680939129384138
Apical Surface	0.227739814814932
Hedgehog Signaling	0.513884099697332
Complement	0.110324278408004
Unfolded Protein Response	0.704374638807457
PI3K/AKT/mTOR  Signaling	0.0968281468707024
mTORC1 Signaling	0.668629526449502
E2F Targets	0.671465088756069
Myc Targets V1	0.571017244662107
Myc Targets V2	0.00707574401955087
Epithelial Mesenchymal Transition	0.82689141919038
Inflammatory Response	0.227944505947044
Xenobiotic Metabolism	0.935305874450159
Fatty Acid Metabolism	0.68034908603774
Oxidative Phosphorylation	0.58087598254016
Glycolysis	0.716790175545234
Reactive Oxygen Species Pathway	0.823503520294221
p53 Pathway	0.300271380278473
UV Response Up	0.965923466954418
UV Response Dn	0.745620913110213
Angiogenesis	0.351874848808192
heme Metabolism	0.728829453948026
Coagulation	0.639178076785315
IL-2/STAT5 Signaling	0.0290764930979017
Bile Acid Metabolism	0.156026742264999
Pperoxisome	0.704664225024613
Allograft Rejection	0.0339575228076461
Spermatogenesis	0.427107024539904
KRAS Signaling Up	0.184442505001047
KRAS Signaling Dn	0.945394502925861
Pancreas Beta Cells	0.0639905248146039
