	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
TNF-alpha Signaling via NF-kB	1.94729962543699	-1.34421450172927	1.15962216250146	2.07006034475192	-2.22960555137802	1.23289042556133	-0.867123584274245	-1.03611408244828	1.28610123067401	1.52452836714612	-0.734364453103702	-1.27260066538538	1.4162097269813	-2.5917530544394	2.04861618703475	1.84509556412998	1.09944704015708	0.873430608772875	1.68532448632232	2.76465994688379	-2.6442742099052	2.58699583618414	1.03134081712108	2.26397679533973	1.66515296828909	2.26174422377485	1.5221269447902	2.02524228975337	2.31463850420836	-1.60898833883879	-2.53541736309834	1.92144684073294	2.22858887203983	0.779679613907595	1.83789376756168	-0.853008607376074	-1.42797169535313	2.80126961701428	-1.40776150500832	-2.50009695874749	1.98784310385238	0.926332907260889	1.35811277722247	-0.781375207573112	-2.09387272115316	2.28687275980102	2.49852697174428	1.3939557429219	-2.1233912192468	2.01432738509581	1.97165571641161	1.88171439251477	2.39265952623863	-0.742850270682365	-1.41169189177412	0.964998586641529	-1.21303268273316	1.80928048008725	-1.74968409459104	2.10740790334914	1.25366836396546	-2.26961875711547	-1.93431952255146
Hypoxia	1.23181595146403	-0.765880434471293	0.627009269385122	0.915086835283318	0.607986990486357	0.912445104783339	0.846385354355777	-0.789003909515332	-0.806214767744453	1.39202507439636	0.6770006145756	-0.708923109240416	1.14996149859118	-1.83091531903755	1.42537689774213	1.34243111893564	0.950069569063036	1.0445769213446	0.871217534726918	1.39742102559123	-1.63524720129004	1.72655875329178	-1.14380522578087	1.19251800297302	1.75007457373358	1.12952060455242	-0.862433893171349	0.908974879281035	1.64459134841007	-0.91989688486608	-1.74444259517926	1.16517819075236	1.4401794467675	-0.99251954331446	1.02307475636741	1.11190766473011	-1.09753176852061	1.8306430544308	-1.00307920715006	-1.03965611914315	0.946738366953949	1.60879724879072	1.3896470198267	0.642355029574345	-1.67951827615051	1.33784090389106	1.10080801926825	0.782544112014802	-1.29101908445068	1.36540106507415	1.27231530834062	1.29045476640689	1.05865024609794	-1.18773213922262	-0.906590486222011	1.29565165764543	-1.55092857617086	1.12878597513137	-1.12851560665676	1.23248580098678	0.9749044200682	0.961412211338763	-1.31164407852704
Cholesterol Homeostasis	1.43965295682722	-0.750683787692677	0.818162852149225	-0.620194476044125	0.680656956993354	0.564554358138378	0.937199616545129	-1.30206769483654	-0.441417982330799	0.888474233176235	1.28027084230667	-1.06388895411669	0.888704412682793	-1.39503658894403	1.15454038738487	0.838470187559314	0.777664787695018	-0.711734762039222	-0.75034202626063	0.656197067161963	-1.38082113498336	0.955129435184821	-0.703869222048913	0.942423152924731	1.19409965053893	0.704541648622183	0.856043284091982	0.718367474237063	0.803750625301864	1.03579875292983	-0.84490841445839	-0.633664937138434	0.773220078932639	-0.945165959664591	0.949570252474317	0.709233837413821	-1.35093044669063	0.962229317126733	0.528679987169049	-0.904503293631178	-0.732754408835701	1.38568396721092	1.11506364351779	0.728617177974036	-1.34207850647926	1.00498920266909	1.48380258208581	0.631998705323956	-1.15266927187398	0.816771978332818	0.702515336855007	-0.810605915784838	-0.949053385559973	-0.672114098361889	-0.731604767298975	-0.595863314971798	-0.784124869753561	1.12402802709719	-0.779457436240281	0.967669841843747	-0.908665260335317	-0.743895136880122	-0.992927982603365
Mitotic Spindle	0.424875425010236	1.15369490642992	-0.659243691603016	-0.743518150453389	-1.14252032815226	0.878648187867055	-0.976234569615865	-0.91951554765301	-1.13782029998952	-0.798020010806346	0.897643782225204	-0.479161540553015	1.15344527538431	-1.66143745601399	1.520415340141	-1.21181833925795	1.47657563848694	-1.45314017994717	-0.649683477847216	-0.726795164981163	-1.04178183423251	0.937827266249717	-1.28831448583333	0.954309330846189	1.61881010263199	0.760956095161229	-0.600833704555858	1.02839808537099	1.51082614692025	-0.786916062669635	-1.93611325248891	0.773445921514354	0.642653517507064	0.823618712251837	-0.591987808346647	1.00446255462968	1.0243980714269	1.01079004157188	1.39958605340397	-0.664201116519743	0.644483180011955	1.74321853365305	-1.75397449714104	-0.972827003513398	-0.959296440448255	1.5461269521947	-1.14466142372433	0.592207337040137	1.1617783109928	-0.729700547599115	0.888665403174342	0.714825523944443	-1.35572570236949	-0.677343980564709	-1.31438125368558	1.83627397109592	-1.53376407653302	0.753907045353748	-1.461175794774	1.78110070053201	-0.626397881589278	1.06591770790033	-1.44973787895457
Wnt-beta Catenin Signaling	0.995455151544975	0.843977011125995	-0.955742150740064	-1.48469610549746	0.591394335301544	-0.592434624108844	0.66356901559625	-0.90531028246215	0.679077230172138	0.772331963141055	0.765467694356462	0.839222797266154	-0.736260618014808	-0.620584784692055	1.27177769771282	0.719363488410591	-0.901730781791025	-0.649611082960673	-0.637759711942565	-0.885531962196889	-0.663480610198903	0.718036656495465	0.813355885237182	0.966216241060209	0.643270741717805	-0.804423310465685	-1.25690172216828	-0.603356739158906	1.22140835599681	1.10647852712722	-0.896292189724861	0.596593387298345	-0.885864243317874	0.979052229869164	-0.516437254300229	0.972699954331186	-1.00186352148714	1.27215731250554	0.941695032491116	0.899958893799228	1.07458285703969	1.06094191333398	0.672793207759523	0.632732649020202	-0.798827380852091	-0.687187422523595	-0.756243155312494	-0.885861627933193	0.885405424356429	-0.754422936133923	0.692217663531379	0.719312908635437	-1.68958853795061	-1.39380522900925	-0.636134128257686	1.35399798887377	-1.65996670371402	0.445175386378971	1.39089661707325	-0.566684365511441	0.985190224626011	0.7540855830268	-0.926778853721214
TGF-beta Signaling	-0.582300658894728	-1.11798493687534	0.499368341851849	1.27969156980029	-1.01197607824719	-0.498270581825568	0.57328274999098	0.812670248472437	0.486368612562101	-0.817846085574136	0.821707487241009	-0.657735901187961	1.25484907284529	-1.35823515529519	1.54871240110782	1.36650446407646	-0.583980473649094	0.737139903261506	1.10815374552687	1.76460910538272	-1.64262235068115	2.05089594114691	0.486426146482307	1.38885682719983	1.86386899577634	1.43622626345586	1.14394127571406	0.950320206937418	1.91291318743228	1.05322164233528	-1.74141593428268	1.35688699625301	1.42913950550516	0.67093099650136	0.76047748219347	0.917094239926638	-1.66272104303333	2.06645777822952	-1.12042641959762	-1.13226208902534	-0.67414419552009	1.17041140085918	1.09811019019339	-1.38949429614033	-1.19140739460439	1.19388486661905	0.897390301744247	-1.09109293320267	-0.918282777494861	1.17028152176266	1.11740072836931	1.56198219905039	1.42863363270937	-0.875942862066007	-0.932298658169201	1.21996055444868	-1.96844988566988	0.533597677307634	0.724575850287423	1.05625749381075	-1.23099763077806	-1.49224590298374	-1.39703097457228
IL-6/JAK/STAT3 Signaling	1.23886311061177	-1.18059230649518	1.11186064360206	1.91898618208437	-1.86314758265873	-0.63419161019544	-1.10143711746997	-1.06293473043845	1.46369025880611	1.37551808202401	-0.944456810124316	-1.24126473090819	-0.982760551286381	-1.8099967536149	1.10280083459493	1.25666648812804	-0.987272234782771	0.937670637923027	1.84519526477706	2.38389201610935	-2.44899362568026	1.44389113543966	1.16609853362216	2.29160226621949	-0.893750351101514	1.42812649725937	1.23375388747985	1.01832256710203	2.20942165956715	-1.71270065171505	-2.06749217524042	1.68862666198369	2.31845433192918	1.34455113592657	1.38577094051535	1.03404106900162	-1.00371720051219	2.41532123915782	-0.696224404499235	-2.12582569560517	-0.678795294833457	-1.35987587087012	-1.02175944688247	0.814758904296765	-1.70653389977934	1.65183942496041	1.75105836165567	1.46985525353513	-1.43726572119252	1.5681094334534	1.90547882905549	1.69713907622376	1.95316968142236	-1.35682144327162	-1.74659091168352	0.766433323911621	0.683808492761664	1.9216214429026	-1.56953934560687	2.02039318417269	1.17010914135877	-1.6419653821193	-1.26243099530131
DNA Repair	-0.514959030229583	1.1896645798079	0.509824696444612	-1.19715980063746	0.428421392206508	0.521680289432403	0.671455237896494	-0.441841542543438	-0.904949513346627	0.593732100850044	1.4602117033069	-1.26239138900882	0.551401979274171	-1.42774887170434	1.56485035519249	-1.06116670174375	1.33905952803186	-0.651804276224768	-0.769181646518061	0.596347507358417	-0.655932149274693	0.727904864784181	1.12334328357097	0.848721338864624	-0.859056498156113	-0.767039172004579	-0.913433590926482	0.612534471286661	0.541968759232452	-0.937722944391916	-1.04276770979232	-0.585918733846412	0.623647076226319	1.02654610069024	-0.630071947701595	0.970243931140982	0.949170897331178	-0.609365466286318	0.573186411459638	0.637412822103992	0.742946850048917	1.0651686922559	0.567024083622711	0.55413403410427	-0.53934700940396	0.666563251060771	-0.613929062374085	-0.876808510592586	-0.669694975822733	-0.750765903018132	0.876354121956876	0.741633524362432	-0.818556930458216	-0.949293747056157	-0.955922269361264	0.908203343217574	-0.58833598870871	-0.844388591465782	-0.618572115436396	0.908953248366975	0.603241647135119	-0.733499136810954	-0.66226445733026
G2-M Checkpoint	-0.713069045899069	1.63412272419461	-0.747083365622628	-1.70090676514358	-0.95771903577818	1.36356951876555	-1.38121532882845	-1.28615278137245	-1.61677308623042	-0.541753825914966	1.49176485408004	-0.670472046395077	1.81121361048066	-2.3318519703063	2.38876687016325	-2.16809350482486	2.26473124994504	-1.82022413995324	-1.38405010838662	-1.35603419513185	-1.41221232182064	1.29088981290005	-1.30566090182951	1.82878973785223	1.72116960111291	-1.12926510701603	-1.04049037941273	1.43344916564198	1.87307988379368	-1.22735970156127	-2.39602806030773	-0.524232549096019	-1.16346724962089	1.40090590243535	0.586079176140943	1.44906284120957	1.38942755111214	0.583997548594198	1.78441809269094	0.80041088215053	0.811076680281329	2.214549111379	-2.13912786339786	-1.48232852283082	-0.69589094255131	2.24633348160276	-1.60405499484517	0.871201926681169	1.56354660775408	-1.09884291159564	1.0866249262839	1.29034517893147	-1.95299355193221	-0.709293885745525	-1.95189756274283	2.15164883236278	-1.8353632030378	-0.682588411490709	-1.83792999476325	2.31991693177289	-0.887830025596243	0.693888836241326	-1.86958575625097
Apoptosis	1.50452837116925	-1.00704381961187	-0.877500802056156	0.61301109918617	0.742819035160641	0.90643193931962	1.18496707501514	0.742766473290989	-0.569633761747111	1.23153732727109	0.920371083403417	-0.603630117502237	1.33322103588686	-2.02284448023458	1.41527194200556	1.35891041304314	0.666549488333577	-1.06460850958856	0.8167091132359	1.62906208341718	-1.99335019168309	1.83910665512387	0.66969242987012	1.54545872186465	1.43301454902148	1.43865449830772	-0.805224866927602	1.01810731198939	1.88791614978058	-0.816377986211788	-1.9277890884899	1.07197384653767	1.33612257341727	1.13392879563691	1.29666186796626	1.17704967900544	-1.03677757578837	2.1578541462255	-0.6520831485564	-1.22660035019599	0.737064027572054	1.36703809330854	0.927192870005513	-0.877032886373423	-1.38636386662123	1.66437120125766	1.26695923503008	0.758276890966347	-1.09644196196804	1.38947952949478	1.31122679682454	1.63733561805926	1.42854787712783	-1.34408631193253	-1.4172262718583	0.873771467017989	-1.48590177272175	1.24677217390188	-1.19253449720393	1.35554004187437	0.638957154554275	-1.44857366052405	-1.49726085380749
