	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219	X1290.018.076	X1254.018.040	X1286.018.072	X1260.018.046	X1258.018.044	X1242.018.028	X1238.018.024	X1230.018.016	X1264.018.050	X1252.018.038	X1244.018.030	X1232.018.018	X1228.018.014	X1248.018.034	X1348.018.134	X1340.018.126	X1338.018.124	X1328.018.114	X1334.018.120	X1324.018.110	X1310.018.096	X1318.018.104	X1320.018.106	X1326.018.112	X1322.018.108	X1316.018.102	X1314.018.100	X1302.018.088	X1304.018.090	X1308.018.094	X1300.018.086	X1306.018.092	X1294.018.080	X1298.018.084	X1292.018.078	X1288.018.074	X1282.018.068	X1276.018.062	X1272.018.058	X1278.018.064	X1280.018.066
Fertilization Homo sapiens R-HSA-1187000	-1.14283247559195	0.996424939662545	0.809742826904347	1.17242025318067	-0.759049841805699	1.01455502999076	-0.952838623394105	-0.867138798966184	1.26209374789655	1.19636491176574	0.823690381268829	1.02242228137173	0.861163970861619	0.778869857400914	-0.831889365689068	1.55072379697197	1.07959484210797	-1.07131612496711	1.02377520097349	1.06925052520088	-1.15309999592776	-0.833273853792347	1.23827209614072	-1.25612600855852	-1.35143727815929	0.982129699508699	-1.15440533963989	-1.02708224432116	-1.11923722603422	1.01646501308053	0.891960246232023	-1.19504867989841	0.78381230279632	1.13562895761709	1.02391698144929	-1.15751975912373	1.41801005091835	-1.45680906047118	1.15024143218754	-0.840292176964341	-0.864197024528946	-0.985375093886272	0.933746870596091	0.805979126596343	0.808501393187478	-1.31248855383874	-1.18027120406941	0.636566313852709	1.04183068503964	-0.77446025859057	-0.921263321418946	0.920720609801484	1.7782398452187	-0.768699448211785	-1.35014749615914	-1.27114750442979	1.2082631937689	-1.12011873843347	-0.885261675014394	-1.13712923617525	1.11214468457344	0.943111605941342	-0.94653843520916	1.25574408405105	-0.865858739403581	1.02951217771033	-1.17710217147411	0.764188934669258	0.805492951609299	0.798684151161796	1.28582092678763	0.831125715135763	0.978849600821542	0.920561684414783	1.14158139195875	0.91604583526377	-1.22204698596295	-0.89475630814528	1.00495252862657	1.31132875737864	0.895014104018136	-0.870526291552572	0.748325283910289	-1.21916569379795	-1.1378748539293	-0.836971074439992	-1.30449103907938	0.743186615624757	-1.20855297743811	-1.05351509254762	1.16759081052774	-0.894490218121118	-1.34610255868152	1.43042773372412	-1.00341430822741	0.711808853396492	-0.863745393512217	-1.03042638984176	1.08583160121933	-1.06661573456463	-0.751757503163255	1.33113482805309	0.877971143695527	1.11568862030914
Reproduction Homo sapiens R-HSA-1474165	-1.14283247559195	0.996424939662545	0.809742826904347	1.17242025318067	-0.759049841805699	1.01455502999076	-0.952838623394105	-0.867138798966184	1.26209374789655	1.19636491176574	0.823690381268829	1.02242228137173	0.861163970861619	0.778869857400914	-0.831889365689068	1.55072379697197	1.07959484210797	-1.07131612496711	1.02377520097349	1.06925052520088	-1.15309999592776	-0.833273853792347	1.23827209614072	-1.25612600855852	-1.35143727815929	0.982129699508699	-1.15440533963989	-1.02708224432116	-1.11923722603422	1.01646501308053	0.891960246232023	-1.19504867989841	0.78381230279632	1.13562895761709	1.02391698144929	-1.15751975912373	1.41801005091835	-1.45680906047118	1.15024143218754	-0.840292176964341	-0.864197024528946	-0.985375093886272	0.933746870596091	0.805979126596343	0.808501393187478	-1.31248855383874	-1.18027120406941	0.636566313852709	1.04183068503964	-0.77446025859057	-0.921263321418946	0.920720609801484	1.7782398452187	-0.768699448211785	-1.35014749615914	-1.27114750442979	1.2082631937689	-1.12011873843347	-0.885261675014394	-1.13712923617525	1.11214468457344	0.943111605941342	-0.94653843520916	1.25574408405105	-0.865858739403581	1.02951217771033	-1.17710217147411	0.764188934669258	0.805492951609299	0.798684151161796	1.28582092678763	0.831125715135763	0.978849600821542	0.920561684414783	1.14158139195875	0.91604583526377	-1.22204698596295	-0.89475630814528	1.00495252862657	1.31132875737864	0.895014104018136	-0.870526291552572	0.748325283910289	-1.21916569379795	-1.1378748539293	-0.836971074439992	-1.30449103907938	0.743186615624757	-1.20855297743811	-1.05351509254762	1.16759081052774	-0.894490218121118	-1.34610255868152	1.43042773372412	-1.00341430822741	0.711808853396492	-0.863745393512217	-1.03042638984176	1.08583160121933	-1.06661573456463	-0.751757503163255	1.33113482805309	0.877971143695527	1.11568862030914
Miscellaneous transport and binding events Homo sapiens R-HSA-5223345	0.993787518521815	-0.571132770989573	0.893267880546672	-0.412830312400265	-0.871208391265935	1.30174976448392	1.09270563384199	1.02314930611248	0.630465687821228	0.636125039666622	0.750211436025058	0.703155216805526	1.37533149961835	-1.18312379133622	1.37008335484303	1.17208688083717	-0.921011994936712	-0.572039014804433	-0.685019957179927	0.91604743968407	-0.911032806260997	1.12216028660446	-0.995843946483316	0.986789067538149	1.14319989322378	1.31815083305036	0.732979608102904	0.894001642214959	1.36460298561745	-0.616273045013144	-1.09877233864331	0.772363043648271	-0.661498870163265	0.616666578921692	0.827233104074196	0.947385053855491	1.22721203352375	1.49349999619568	-0.840522338326418	0.637640847707639	0.708167149570422	1.43021098268744	0.946705918917601	0.766054969317137	-0.748261337275593	1.16866995161292	0.975732148715389	-1.0450536865508	-0.546641837606568	1.4420033103798	0.851236271192482	1.32808027670439	1.2757742685148	-1.36286696275497	-0.605933574997055	-0.418979563525491	-1.26536809938142	1.21098068212154	-0.793669772931487	0.502071654446825	0.812343739335212	-0.782489769814813	-1.34173169606339	1.16221293995886	-0.862950429190108	-1.5251996687635	1.03546897941525	0.785355081091048	-0.832709802983711	-1.06923145627007	-1.38882257017484	-0.485531519087163	0.7475674849226	-0.817882469581959	-0.972246442848533	0.737817135859089	-1.09088028034563	1.13586645984466	-1.06027675406585	0.871031150632244	1.04348521288752	-1.03115987842493	-1.4978217869523	-0.431007587919354	1.08091454274497	1.37335638499339	0.834907066065429	-0.821660539781833	-0.564191191523621	1.44065797960835	-0.85457465033803	1.27168519651382	1.14976457688064	-1.53639091558582	0.952804538090549	1.30607056277264	-0.841285147097989	-0.513329801627399	-1.23867033083923	-1.212292645958	-0.827754115332591	-1.1395686491174	-1.32275256186629	0.515850006192934
Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562	1.26653532906433	-0.737175585789632	0.505334141278965	0.839255398275604	-0.639592249239769	0.627234343540057	-0.743677677643662	-0.652176080725581	-1.04576580521781	0.50206646907989	-0.896436661283578	0.652882580442289	1.30846689692445	-1.0526593323224	0.946481115131469	0.979398186049619	0.726586703695404	-1.16605334572148	-0.931185031468208	-0.79738669709116	-0.683626676963579	1.20569568032467	-0.500516351245687	0.981117266446694	1.50977353042834	1.03015347011345	-1.13352835873822	1.55401334518616	1.21364004657101	-1.29874952560946	-1.29916873900848	1.43449464643493	-0.925584610921672	-0.900194103354717	1.2720940667916	1.03745040570189	-0.505943220527971	0.786147398851646	-0.828667795372643	-0.800962811133837	0.777032258767238	0.714611994423124	1.27227368565152	-0.971087168145187	-0.894240334218751	1.28551791914485	-0.877519987874881	-0.887584091014124	-0.897248504190643	1.25702566097422	-1.135382175528	0.976076804339237	0.795277111465899	-0.630761223598909	0.819784188323276	1.2662930356525	-1.4448783583243	-0.66803258728617	-0.735288979121866	0.780129797699719	0.885112309938906	-1.10897753519263	-1.00396615874139	0.824313692590018	-0.883187628137299	-1.43888158365901	0.848842425311009	0.768306205396694	-1.22618376739791	-1.05359875105999	-1.11503158278105	0.723428153649107	-0.817755146835132	0.686133541610036	-0.681101026879845	1.17217851471748	-1.399386443173	-0.799458244012396	-1.36794181075639	0.818004077416465	0.603392239551999	-0.753613775704694	-1.00342747637515	-0.579859150966574	-0.77387117127551	0.664858333053335	0.993513085469249	-0.708519277212356	-0.918324612252698	1.02415875355494	-0.87649591717115	1.13217600376757	-0.692800802622876	-0.889910445184031	-0.646096071812888	1.07082657020083	-0.900942152657882	-0.934213840453145	-1.08545225474806	-0.980664352700486	-0.630043540924582	0.60030743553992	-1.01021487523591	0.87583451533099
Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	1.0211758994932	-0.925867566068551	0.607494324895891	1.37693938859425	-1.14521619930654	0.678549256974638	0.675921241776467	-0.713841969105298	-0.757611916173338	0.81172420305137	-1.31545759409747	-0.797763638504197	-0.596678821092428	-0.933529521580582	-0.742185088441095	1.52828816659665	-0.584139461929163	-1.01242471817532	1.06495694676087	0.632616150481014	0.906874410527757	1.25870319723642	-1.08354021186608	-1.60456168255904	1.3388855515362	1.06301291344209	-1.42559853841478	1.27372864869294	1.26326997833659	-1.03466667133288	-1.10681859055319	1.07565195626862	1.32740797657569	-1.51827895713777	0.841369518545305	1.34318044287263	0.809270876503325	-0.622012233882792	-1.18404392904204	0.948758165384797	-0.956963598825661	0.696561794964803	0.876579497763706	-0.674785969998873	-1.21821303380053	0.768705564144846	0.905719829452928	0.693023768706879	-1.44011633785722	1.44539047701502	1.11983294157825	1.34894216682111	1.12196258382285	0.819084772497666	0.776563697909789	1.0293874843613	-1.26003740491133	0.724423706602342	-0.826946290741098	-0.559743319259905	1.02888241540837	-0.926918660653151	-1.07835863817594	-0.634752765924432	-0.69569517356204	-1.16519867792273	0.858070041995002	1.19300005766026	-0.674382237241702	-0.826004990085793	-1.37046319874347	-0.694549833634638	0.819143073328591	0.91232148413535	0.862396048801702	1.45371407325908	-0.702689707969857	1.06658356289154	0.763223466368835	1.07297194008338	0.57296028627828	-0.939732490285715	-1.33507475967029	-0.671112364915787	-0.933103714188235	-0.665256896105999	0.979817161592631	-0.628405151853634	-1.12865937886735	0.942413942117302	0.874911124725051	-0.930254953256117	-1.13874469121925	1.03180244145025	-1.02488476128864	0.72933950050957	0.630394187428094	0.875392819351161	-0.981421061345545	-0.817399777253997	-0.913096293221827	-0.673063814432051	-0.90036320921183	1.22726043709231
Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	1.08723773236801	-0.995870551137555	0.721672986736658	1.35347969181071	-0.994278337577879	0.711887487325726	0.651818859336156	0.740133082459426	-0.895646575553725	0.862331652821691	-1.21573831027937	-0.799106882019733	-0.611763449109125	0.570216454610823	-0.863213222625317	1.42563013458117	0.864752020664641	-1.00491399477074	1.08168056360908	-0.592316877403795	0.809431002424289	1.32664879972578	-0.998769986917206	-1.67360871523172	1.32494793799473	1.00092200305785	-1.4136240538051	1.26366725743506	1.4152374028819	-1.22483867070979	-0.967287517429953	1.06748955328483	1.37656761554485	-1.4086064742564	1.01642479543325	1.23583381680727	-0.667661569389251	-0.82419552436852	-1.29760518139276	1.2366892555778	-1.03064037300931	0.726370115602206	0.920621319555654	-0.883930890071826	-1.05424604050918	0.672122088018043	-0.826551729746151	-0.808292376067818	-1.35576232827855	1.63635995650303	0.792690974010669	1.30735148522274	0.728273215568286	1.01561602363454	1.51879346508891	0.834327261724759	-1.32605658630494	-0.73877639263843	-0.765882403656237	-0.556780915126586	1.09785271942591	-0.883263632111972	-0.882877634448688	0.857420812382963	-0.752366896074167	-1.21637854893048	0.938193439782254	1.15818473973724	0.734749764653695	-0.77765692620503	-1.2626381324624	0.949287902874193	1.12134243843476	0.763941083496041	0.916042594471746	1.4091712126393	-0.91381833709118	0.986364014382934	0.767288123170048	1.23302733793589	0.545102622232335	-0.781897925722109	-1.24840930031448	-0.71800106029882	-0.896391779789365	-0.791177617506539	0.882129858001956	-0.677433408226268	-1.10812386670076	0.845822124656928	0.757008525640438	-0.900630142196896	-1.06104414082939	0.863736860446541	-1.12458419012875	0.640890143630459	0.650432679834312	0.903382753040833	-1.04258450479286	-0.955659233479479	-1.16183440543077	0.794945614025986	-0.771840538336213	1.23026103775951
Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430	1.21575951968586	-1.13009517304704	1.02370864823698	1.43237693719958	-1.3057046308732	0.765325238556928	0.578351183014528	-1.18287105978423	-1.31065441301597	-0.614208217677381	-1.3219800197556	-0.594469700256288	-0.850414244986615	0.687082336489585	-1.10499805965072	1.17655421815161	0.814695309455441	-1.13068106893365	0.714647735823987	-0.585373382211523	1.0849525952776	1.09327985574855	-1.45314737935467	-1.88147241700944	1.16438869715169	1.16394598143017	-1.29388401378515	1.15422754595189	1.41462595285223	-0.698131168647388	-0.871321677029085	1.30096025593901	1.29477007432486	-1.32496438659821	1.30465963746014	1.2802330533412	-0.634198869985588	0.663031462164207	-1.05363279527619	0.997715309995354	-1.06456860241394	-0.679209059807966	0.947468852396329	-0.857154105879159	-0.663057436500966	0.680771685360687	-0.659872983071092	-0.8763199986714	-1.15142309105365	1.43583194700747	0.719029032434285	1.16950248984311	-0.674132892824114	1.05760920674784	1.27849804094994	0.943494183376778	-1.14444089122989	-0.799254792093986	-0.704600338805008	0.643608358733951	0.828800927162881	0.842813817571377	-0.865665673467173	-0.892272599772822	1.10071397820326	-1.67134502069341	-0.758447029434445	1.11120061957973	-0.661503751078972	-0.979526039426032	-1.30211343888951	-0.722471634185667	0.949586834577142	0.984301352135318	1.00482476130612	1.2735665683997	0.777919428325561	1.0341260821772	0.843160870268881	1.30412237840469	-0.610364872338184	0.733206362508619	-1.05459359613868	0.840121373701351	-0.836170024625335	0.680298710762212	1.04848993696743	0.602831105550691	-0.885925173196868	0.821750999546969	-0.591460764553326	0.809781926206723	-0.792780919506837	0.951299016344214	-0.974203738551986	0.917169312525405	-0.720708986679487	-1.33787044263909	-1.09743002770155	-0.844598423372955	-1.00424869417793	-0.843976161026404	-0.937009409400823	1.27281062167388
Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	1.22799130536058	-1.28379574845493	0.99783906590403	1.30594122614314	-0.84652979728132	1.01554840822854	0.634651917974168	-1.58880143353806	-1.32201279606862	0.771020851528467	-1.33751133145321	-0.626344866225521	-0.860581702423698	0.819110708642311	-1.06118350033113	1.44517943863223	0.708592030720705	-1.0502787071228	0.930872280670125	-0.930823810371863	1.13279791343414	0.999750652663525	-1.28367183233985	-1.78999342656676	1.39350053235074	1.06978935018014	-1.11551097937686	1.56696527801428	1.30648836664967	-0.893220198457851	-0.900008815407402	1.33911807124978	1.28867061364101	-1.08087871369217	1.43839993835574	1.50483905105046	-0.821530053000579	-0.930664459349475	-1.11732196135208	1.24549397276637	-0.959796280801398	-0.649381693096337	0.79782181108565	-1.09662925560669	-0.807253340982168	0.575911725297297	-0.725254211997645	-0.860316016955077	-1.05744937161013	1.41100510972029	0.522910387646678	1.2008845463964	-0.851940074964357	1.1549110089376	1.71520042050576	0.892641834256656	-1.15986890541522	-0.884887556012499	0.907121625850743	0.739013349371803	0.867172671479945	1.06773816651393	-0.923836137179303	-0.615222637119416	0.801944952842025	-1.48779481678435	0.731178428706706	1.21637356883358	-0.876716695070196	-0.896865244058711	-1.13863526875566	0.883832217070311	1.16140625932756	0.921433019813193	0.938429493691922	1.44913515115589	0.708397132049403	1.02140484424333	0.642130018921906	1.52344868390088	-0.609274684803281	0.87896607159111	-1.06066271666609	0.777639962906204	-0.780629212984481	0.714797704082587	1.04768879025824	-0.919509750919057	-0.8222137620983	0.906869088354377	-0.637700032530726	-0.910629516512101	-1.07775861165723	0.861897114336497	-1.16233024944329	0.701436948472762	-0.84954016491958	-1.29357025334182	-1.19430387062023	-0.729961740153615	-0.908604896563661	0.920920064828793	-0.901399111363113	1.10930542496547
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	1.2466339977422	-0.802047874731596	0.871061147447022	1.22560141637722	-0.719054451055356	0.886339325208965	-0.751904468340095	-1.18747361890444	-1.52344111460727	1.10938387539176	-1.34523833483781	-1.06055303472183	-0.725724836577461	1.01951407070896	-0.986637818699083	1.48752031637484	-0.784140201237868	-0.990823157898339	-0.720860265550389	-0.667323807626721	0.988106130215703	1.37892604953353	-1.31891343311634	-1.66964877492848	1.31621644585909	1.2645435911532	-0.929860728275613	0.990363652973474	1.35117543672	-1.4456424516698	-1.08560683298002	1.06743463536679	1.1388065167523	-1.35155808512827	1.06712370870585	1.58413579290232	-0.913761963365778	-0.851358147852187	-1.00839571155941	0.829960311054802	-0.904650636799446	0.874199114989899	0.797602711732651	-1.21375031625061	0.841466560073828	0.93210431680293	-0.834319226974978	-0.908724967449915	0.758384016778159	1.52020610211544	-0.892405789877826	1.3740926683124	0.732345694105439	1.07072278288155	0.950466515484464	0.84203230854369	-1.3956439771704	-0.979030177816978	-0.83963647730412	0.973649193760231	0.983327482723153	1.12493179040501	-1.02652087326901	-0.93759136773718	-0.760757403145578	-1.40518771014986	0.782737368404678	0.946463927999134	-0.916669999694556	-0.840877578384856	-1.35961878390548	0.790035906257315	1.18197011305545	-0.826729767866155	0.90527710527219	1.08451696922159	-0.912621597807111	1.10790179143563	-0.810149954955631	1.3469217425458	-0.833385126902472	-0.82338797773625	-1.00981045304414	-0.854545727292346	1.06897198347384	0.922854114081288	1.2786956090739	0.645992077157876	-1.00202696088685	1.08261800724484	-0.698144271963991	0.756537013462904	-0.67662156342113	-0.672994733086202	-0.702530987083165	0.633963184394542	-0.621578200430515	-1.03958507756591	-1.12203077045583	-0.987053076393831	-0.951064509615593	0.959839499371618	-1.29936498228752	-0.760429623769801
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	1.17282444249942	1.07848265018364	0.825475885964516	1.31364285139681	-0.767347703388064	1.0105480184217	-0.795495193124599	-1.04594411512523	-0.96400614932971	1.13405290506544	-0.936257874660493	-1.03280123163576	-0.806624583116197	-0.715789747279654	-0.963689949293951	1.59019022011249	-0.802328426189216	-0.78868827692239	1.02208678214031	0.847249592561522	0.921845805493587	1.65318133076463	-0.790729850818714	-1.40235185697625	1.06871133535735	1.22056648304571	-1.38668049137394	-0.839020460698286	1.20677879610307	-1.06474627744687	-1.23676323983824	-0.866943775001742	1.07379177743551	-1.02116038446377	0.885110002738408	1.09417823327957	-0.777923559222921	-0.634829433795376	-0.927539924633339	1.03655097386238	-1.23002279884109	0.77078616448062	0.80571254169622	-1.0952853612486	-0.965191083179013	0.893482759539565	0.905261859256705	-0.828899593063472	-1.10873766841954	1.59912114115136	0.916762997958597	1.37319227838189	0.930621504280347	1.02833598603675	-0.893020251710156	0.769945765901343	-1.12525659202687	0.9728105133698	-1.00810806934039	-0.947513117352238	0.937561440448222	0.878258121585736	-1.21661668549963	0.764634961746932	-0.900582779020987	-1.18264988674475	0.843913010055064	0.887171236911592	-0.73865599701112	-0.688758961120563	-1.32592422646872	-1.13213127985718	0.985931244581289	1.07414377880212	1.08558393731304	1.367385004521	0.997130914373241	1.02300620612165	0.860376410063515	1.31276630276224	0.690827694381206	-1.15156263826754	-1.11848983016607	0.872138838052734	0.918478184870421	0.788176814329382	-0.663441207698339	-0.74724934634092	-1.25553949566326	1.01416777399833	1.04654291568652	-0.944157669984331	-0.828866130509802	1.06560819998832	-0.865653412523575	-0.843763609977402	1.03896558874881	1.01211606282634	-0.92087317937025	-1.13806282202828	-1.1924436723601	-1.0229159986256	-1.16907860939862	1.00733446525009
