	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
Fertilization Homo sapiens R-HSA-1187000	-1.15260437860303	0.971426568960182	0.823826296409773	1.13201063489883	-0.782481225414153	1.00221620795504	-0.960105934903267	-0.864828415875188	1.24179173142452	1.16939276795844	0.845395320415576	1.03402339886457	0.859902964009867	0.780480947192324	-0.832076586385079	1.57820595043088	1.10033242069748	-1.06795675307002	1.02840445909487	1.07743555161507	-1.17852123977732	-0.828926712765772	1.20596829430482	-1.28593592895368	-1.3387629326383	1.00220908699073	-1.1692636370772	-1.01247093339814	-1.1031794780875	1.00541582234182	0.865382123275601	-1.18695674625828	0.782715282263055	1.1273474384099	1.03194090562918	-1.15879459846866	1.42240578067543	-1.41675711526961	1.15035938310222	-0.831379321953887	-0.866878684030026	-0.961258055116081	0.918643653360107	0.797794594287167	0.822673636364274	-1.3157706932838	-1.17737534034878	0.637268436979813	1.02099077480707	-0.777290202382324	-0.907857856463876	0.941436461552456	1.79298902970468	-0.757026489175162	-1.34439765818226	-1.26685976441485	1.25047612181698	-1.11158309711928	-0.869576585350501	-1.12999759556223	1.11261375656769	0.953017107359026	-0.920574475377495
Reproduction Homo sapiens R-HSA-1474165	-1.15260437860303	0.971426568960182	0.823826296409773	1.13201063489883	-0.782481225414153	1.00221620795504	-0.960105934903267	-0.864828415875188	1.24179173142452	1.16939276795844	0.845395320415576	1.03402339886457	0.859902964009867	0.780480947192324	-0.832076586385079	1.57820595043088	1.10033242069748	-1.06795675307002	1.02840445909487	1.07743555161507	-1.17852123977732	-0.828926712765772	1.20596829430482	-1.28593592895368	-1.3387629326383	1.00220908699073	-1.1692636370772	-1.01247093339814	-1.1031794780875	1.00541582234182	0.865382123275601	-1.18695674625828	0.782715282263055	1.1273474384099	1.03194090562918	-1.15879459846866	1.42240578067543	-1.41675711526961	1.15035938310222	-0.831379321953887	-0.866878684030026	-0.961258055116081	0.918643653360107	0.797794594287167	0.822673636364274	-1.3157706932838	-1.17737534034878	0.637268436979813	1.02099077480707	-0.777290202382324	-0.907857856463876	0.941436461552456	1.79298902970468	-0.757026489175162	-1.34439765818226	-1.26685976441485	1.25047612181698	-1.11158309711928	-0.869576585350501	-1.12999759556223	1.11261375656769	0.953017107359026	-0.920574475377495
Miscellaneous transport and binding events Homo sapiens R-HSA-5223345	1.01775623589815	-0.561652805706423	0.910861589274033	-0.400468465264335	-0.884399946486341	1.27528488027401	1.0808699182412	1.01245249812791	0.632554097025139	0.618787585291905	0.767073237349405	0.699629448047973	1.33388618641228	-1.16342027999119	1.34537575922475	1.17280704827591	-0.920342317655609	-0.57514037318816	-0.68524427602541	0.921872982703755	-0.917552808281174	1.12508751010399	-1.00957499680824	1.02614797004911	1.16262229325938	1.33151410208438	0.7421640647415	0.883155957891609	1.37015358754455	-0.614093556195287	-1.07275271769391	0.771859864292504	-0.667174578172408	0.615092428809828	0.82772349104332	0.956474557971292	1.23101065213283	1.49957242370347	-0.829911128379957	0.627546890389199	0.718600031045633	1.44219010637411	0.923877091599936	0.769141477364887	-0.739572230277377	1.17668937459639	0.950968145675699	-1.06156759136446	-0.545715123749187	1.45530734414945	0.839251908068485	1.34299025670365	1.27382068104287	-1.36427616745524	-0.597629205375617	-0.418618123644664	-1.26692370923012	1.19950102303478	-0.784767931839114	0.504163334551576	0.798663683833842	-0.772272371604328	-1.33471977902965
Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562	1.28299081522212	-0.739698622036992	0.515037083227273	0.823514453146134	-0.656821558307672	0.622935105807369	-0.755331726968808	-0.65192510812496	-1.03375769049148	0.498204496078987	-0.913694393047281	0.657618443278679	1.30422478571665	-1.03209056737322	0.938027162379425	0.990263283027991	0.730504978691161	-1.16390778987883	-0.915925247351258	-0.789632557750061	-0.692018266054891	1.2169225916592	-0.508713919450227	1.0133752258639	1.51508494480156	1.04087736599315	-1.15216585546612	1.53780822983364	1.21924552169987	-1.32327071018686	-1.28472779090611	1.42251393366637	-0.908340279148319	-0.904643932550493	1.27750424455868	1.04626690533995	-0.503067321174165	0.786643020733216	-0.829020405599027	-0.792739058147911	0.777010899193903	0.718165301071405	1.24672201426918	-1.01297049166672	-0.895801570906052	1.32297673054633	-0.878566000493329	-0.912089767768474	-0.904868686694263	1.24019866230648	-1.12242957379497	0.994266548854307	0.79268933621582	-0.612664354261073	0.796512365417575	1.30463200997224	-1.45061809703369	-0.659705073572065	-0.717118278385175	0.801480947258821	0.880897737817091	-1.10137796986195	-0.988184143607496
Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	1.03463621122619	-0.920208132478538	0.623255400334689	1.34703149129147	-1.16892874744631	0.678498337472654	0.667887415322034	-0.702820433757536	-0.756928920668501	0.79296225717878	-1.33208038471069	-0.787985257326551	-0.594236421931103	-0.934000306371357	-0.73467868277002	1.54415273695193	-0.576360962028262	-1.02011792347933	1.0560069666144	0.628300904090519	0.925682531319723	1.28173740409396	-1.0917422756088	-1.61489484654691	1.3567013279733	1.08293444832752	-1.43849962991202	1.23539606388911	1.24422927023627	-1.050533144466	-1.08781415158095	1.06552839828041	1.30857969138511	-1.5315006498039	0.843248051195927	1.36092349588232	0.816870641730257	-0.6213027014078	-1.16897694752512	0.924377044260008	-0.972735127009721	0.693665330723159	0.859190825585499	-0.701936197800995	-1.20706836453812	0.78937109781564	0.884272159806797	0.690684249528461	-1.44085189367946	1.45967372965137	1.11093977512135	1.37428669426652	1.1303765882292	0.819761953451322	0.772600164871173	1.06063848182312	-1.26692342525276	0.713291904425234	-0.820380631784737	-0.559579560634895	1.01549525906027	-0.923636567095426	-1.06258620300844
Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	1.1040114815956	-0.973824236358706	0.732409571417146	1.33265767447981	-1.00668091253722	0.698536720957848	0.649627135258273	0.730057473470972	-0.90387615265275	0.833127349048703	-1.22222755468463	-0.789457729338249	-0.609632511210483	0.573394429641216	-0.872201438765616	1.42544618991728	0.835342189151265	-1.01477771128626	1.07604858407171	-0.596896300231902	0.812223068667751	1.29575397573281	-0.995439322194675	-1.6737331329589	1.33921855661479	1.00384793879104	-1.47368206451377	1.23426909902148	1.44083843302933	-1.23433671705688	-0.94383947926631	1.05328627750199	1.36466760811444	-1.41258384088325	1.01869805275302	1.24435146714274	-0.669352132595908	-0.823209528194705	-1.28328892627466	1.22020939497615	-1.04543518734334	0.738491996766808	0.898920895695937	-0.922591373298073	-1.04323801900398	0.676445192909176	-0.830453529566152	-0.828059195675442	-1.35837111192968	1.63791636587515	0.791728516295105	1.3221552001447	0.729436895068105	1.02377444926184	1.50639947384768	0.858722453004837	-1.35946794487796	-0.726014491479596	-0.758783944788594	-0.560588403840041	1.08475028702612	-0.873436222251887	-0.891884801260927
Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430	1.23451608478396	-1.10507742963994	1.03893872445148	1.41034115964695	-1.32199192080714	0.750897847407	0.576415018536558	-1.17547264059569	-1.32273349500922	-0.622071465466712	-1.32903635036106	-0.587291525432176	-0.847452021684739	0.690911637611171	-1.1165038627761	1.17640241098581	0.786983151746155	-1.14177925006304	0.710926783853511	-0.589900097143779	1.08861068019974	1.06781969724587	-1.44830147211231	-1.8816122875298	1.17692998013048	1.16734847545883	-1.34884796342719	1.1273754105962	1.44029996923044	-0.703544846672691	-0.850199948931041	1.28365058087871	1.28357718170473	-1.3287007385127	1.30757753860146	1.28905363367281	-0.635804703426446	0.670114002165538	-1.04200824559477	0.984419965870147	-1.07985045555207	-0.661351934599445	0.925135591962166	-0.894643452959174	-0.65613405216778	0.685066046956525	-0.662987963288194	-0.897669046188324	-1.15365055834966	1.43718784039564	0.718156012477366	1.18273688199137	-0.670768916046455	1.06610496287535	1.2680506747022	0.970987746120477	-1.17327625570636	-0.785448164325331	-0.698076006439107	0.641336234813943	0.818909520119951	0.870539120482562	-0.874423625711674
Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	1.2562677492341	-1.25738585861128	1.01837689498199	1.29843895453757	-0.848652258491684	1.0126539622152	0.623053186376315	-1.57905408967396	-1.35748974919674	0.742867035591251	-1.32904540213991	-0.614965353898193	-0.857075635868189	0.812713692640951	-1.06611844626505	1.43822582964651	0.680723635492719	-1.05971143611085	0.922281093848887	-0.953580864566263	1.12926962810751	0.994490018855715	-1.25725776130097	-1.81936143568108	1.40808873400364	1.08632164544315	-1.15988990617847	1.50394968778143	1.3584732860923	-0.894060658758206	-0.866886572388309	1.32207900523599	1.27741754066354	-1.07520838199976	1.42855855725767	1.49430697522306	-0.826280000012423	-0.927404210765376	-1.11890261816509	1.23597535922674	-0.968686872087688	-0.631593728976982	0.78629031194945	-1.12365494827362	-0.808382813872576	0.580586302689842	-0.740147929516287	-0.875170899013626	-1.06233510278773	1.39456005147917	0.522637458839322	1.19694046100349	-0.83813921971958	1.15419093793248	1.69023838984043	0.92656979804925	-1.16586139904152	-0.868157867412882	0.914297363290668	0.74839301760284	0.856550201172223	1.10122551681339	-0.915409559446063
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	1.26632290396796	-0.793959295418985	0.891276868053734	1.1912294490191	-0.735244189059839	0.869793435170237	-0.764960774208258	-1.18218549593409	-1.51868637668486	1.08587372800814	-1.37875395066236	-1.05443258608991	-0.725668602861592	1.01826047217351	-0.976700424068685	1.51576694457061	-0.772339409567987	-0.996641095125179	-0.714405539245102	-0.660138783879332	0.99946734354544	1.3964040739555	-1.31795729819762	-1.68304533194306	1.33077173053654	1.28296605958083	-0.936240084644697	0.977464110458037	1.34935576998508	-1.4678117421765	-1.06937989730494	1.06141360202632	1.12525889963202	-1.35238610033249	1.07328001379396	1.56427903668816	-0.905546674975645	-0.837280368501141	-1.00375335010455	0.809836149205028	-0.906429208281567	0.867906465157128	0.778074416480403	-1.25044402381924	0.854929913208526	0.966257636737972	-0.835733778113765	-0.92731144246273	0.754762910033506	1.53987249925012	-0.882929798359044	1.38271395325627	0.741505464247108	1.06636046674799	0.94448148067214	0.868328070278214	-1.39932062961334	-0.935456589900362	-0.823271284761043	0.983601151623455	0.977458439056899	1.13417628684721	-1.00004619047198
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	1.18141867244876	1.07731684232268	0.827011350320535	1.29669242958808	-0.763207686301959	0.987097646432233	-0.802805391769397	-1.05083177340045	-0.960112415141085	1.1268039510552	-0.952359088548378	-1.03506763086126	-0.793243886459197	-0.712179758171257	-0.975256607841125	1.58783068624269	-0.813214869875964	-0.781757292158718	1.00087641710748	0.851530560372201	0.92133151879524	1.64916284888557	-0.774689932497519	-1.45718697209279	1.05511943819457	1.20616629706801	-1.37965073292431	-0.848336194871647	1.21397144862656	-1.05328678383619	-1.21239284765262	-0.872771198872372	1.06856318273546	-1.01896815403777	0.892720912325134	1.07721062128738	-0.779005826151971	-0.63519749512991	-0.959239358320233	1.01850820232837	-1.23085663872464	0.796763613955848	0.801930507133058	-1.10707593373732	-0.958384383152734	0.924585553280952	0.902749512746466	-0.852862928693522	-1.11601299651192	1.60503826200847	0.918115106806401	1.3832919432486	0.925284488341548	1.02145592440648	-0.890947692807909	0.786523054688826	-1.12629667823764	0.965877621113254	-1.01049655333933	-0.942013479855976	0.941788146862049	0.883263211079341	-1.1945297585901
