	pathway	X0285.015.009	X1005.015.008	X1016.015.020	X1018.015.022	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1155.016.142	X1158.016.145	X1161.016.148	X1184.016.171	X1190.016.177	X1480.019.118	X1484.019.122	X1486.019.124	X1503.019.141	X1541.019.179	X1543.019.181	X1545.019.183	X1553.019.191	X1554.019.192	X1555.019.193	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1568.019.206	X1569.019.207	X1571.019.209	X1575.019.213	X1581.019.219
1	3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279	NA	-1.86111055192683	-1.78738158700686	NA	-2.42925201712997	2.49413584647229	NA	2.26628679968894	NA	-1.98355238054505	-1.52898341401525	2.16751997395505	1.92769178300209	NA	1.50750656565664	-1.68056164780473	-1.9378239657555	NA	NA	NA	1.75268630378363	-1.77514520823241	NA	-1.63072013328567	-1.69004794805485	NA	NA	-1.66077942402071	NA	NA	-2.29380937466594	NA	NA	NA	-1.71365908821714
2	A tetrasaccharide linker sequence is required for GAG synthesis Homo sapiens R-HSA-1971475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.70554853489598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	Abortive elongation of HIV-1 transcript in the absence of Tat Homo sapiens R-HSA-167242	NA	NA	NA	NA	NA	1.69432793980518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.81936143568108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	activated TAK1 mediates p38 MAPK activation Homo sapiens R-HSA-450302	NA	NA	NA	NA	-1.53859903487467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.61426665821744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	Activated TLR4 signalling Homo sapiens R-HSA-166054	NA	NA	NA	NA	-1.72621464459247	1.38748625585399	NA	NA	NA	1.87632645126493	-1.88952971257896	1.72976624450134	1.57921195064398	NA	1.81503134595749	-1.51801026138736	-1.79101026744729	1.74176447124403	2.18702032094477	-1.75164113768082	NA	NA	1.67575466074049	NA	1.54794600282553	1.6631594670407	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814	NA	-1.61018955872053	-1.83446574003006	NA	-1.95934072114773	1.75283315470931	-1.61910241235863	2.04541810558022	NA	NA	-1.60300166652452	NA	NA	NA	1.46806456437275	-1.79196469140356	-1.62124645306948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.48249052562327	NA	NA	-1.64484485549528	NA	NA
8	Activation of ATR in response to replication stress Homo sapiens R-HSA-176187	NA	NA	NA	NA	-1.74718047683755	1.91611443474568	-1.9293274685496	1.96063832940427	-1.65893794021366	NA	NA	NA	1.58126957972729	NA	NA	NA	-1.81924011161276	-1.6368201414089	NA	NA	1.99184962765957	NA	NA	NA	NA	NA	NA	-1.62293813699766	NA	-1.77067416766518	NA	NA	NA	NA	NA
9	Activation of gene expression by SREBF (SREBP) Homo sapiens R-HSA-2426168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84045509749272	NA	NA	NA	-1.68249730549649	NA	NA	NA	NA	NA	NA	NA
10	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon Homo sapiens R-HSA-936964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.75330624374715	NA	NA	NA	NA	NA	NA	1.56929156233175	1.66769924010449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	Activation of Matrix Metalloproteinases Homo sapiens R-HSA-1592389	NA	NA	NA	NA	NA	NA	1.68057632878863	NA	NA	NA	NA	NA	NA	NA	1.55731018744279	NA	NA	NA	1.88402204987276	NA	NA	NA	NA	NA	1.8226983894698	NA	NA	1.59412436464545	NA	NA	-1.909180508088	NA	NA	NA	NA
12	Activation of NF-kappaB in B cells Homo sapiens R-HSA-1169091	NA	NA	NA	NA	-1.72397741037478	1.72561401119701	NA	NA	NA	1.61421694099319	-1.84984214220835	1.61085597072206	NA	NA	1.82586999191809	-1.96284380350929	-1.51066378536907	1.65623072947686	1.48642632275478	-1.66050245569698	NA	NA	1.67696757725287	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.68477508915128	NA	NA
13	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662	NA	-1.65073866348606	-1.78676060111374	NA	-2.13187281806778	2.28327315507718	NA	1.91181873630482	NA	-1.88652635859765	NA	1.98034171966845	1.75497254845632	NA	1.41311970145729	-1.64717020356715	-1.75519195322218	NA	NA	NA	1.75762400613467	-1.61378764561292	NA	NA	NA	NA	NA	-1.69462171661227	NA	NA	-1.96750104584351	NA	NA	NA	NA
14	Activation of the pre-replicative complex Homo sapiens R-HSA-68962	NA	NA	NA	NA	-1.79697782998468	1.89813240815767	NA	1.92412124288069	-1.67055738969257	NA	NA	NA	NA	NA	1.57304765585184	NA	-1.88088508317705	NA	NA	NA	1.78590078688706	NA	1.78879132711622	NA	NA	NA	NA	-1.86443910912452	NA	-1.71447435122725	NA	NA	NA	NA	NA
15	Acyl chain remodelling of PC Homo sapiens R-HSA-1482788	NA	NA	NA	NA	NA	1.56909697743279	1.53638537863028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	Acyl chain remodelling of PE Homo sapiens R-HSA-1482839	NA	NA	NA	NA	NA	NA	1.56806639739482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	Acyl chain remodelling of PG Homo sapiens R-HSA-1482925	NA	NA	NA	NA	NA	NA	1.55853729269434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	Acyl chain remodelling of PI Homo sapiens R-HSA-1482922	NA	NA	NA	NA	NA	NA	1.65774617258011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	Acyl chain remodelling of PS Homo sapiens R-HSA-1482801	NA	NA	NA	NA	NA	NA	1.70334249814724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	Adaptive Immune System Homo sapiens R-HSA-1280218	-1.36199555454162	NA	NA	NA	-1.46307452167293	NA	NA	NA	NA	1.75117957414854	-1.99408396830479	NA	1.70019603677861	NA	2.106146818136	-1.35106584117573	-1.73642150389472	1.85858543665678	NA	-1.53440322433627	NA	-1.3865289730656	NA	NA	NA	1.56037565554667	NA	1.23418891348306	NA	-1.27805053421467	NA	1.58232752116835	-1.27422913901206	1.35808103964688	NA
21	Adherens junctions interactions Homo sapiens R-HSA-418990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.49691409020817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	Amine compound SLC transporters Homo sapiens R-HSA-425428	NA	NA	NA	NA	-1.54213616997821	NA	1.59851769565699	NA	NA	NA	NA	1.71509373247322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	Amine ligand-binding receptors Homo sapiens R-HSA-375280	NA	NA	NA	NA	NA	NA	1.53372619548251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	Amino acid and oligopeptide SLC transporters Homo sapiens R-HSA-425374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.45704433506506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	Amino acid transport across the plasma membrane Homo sapiens R-HSA-352230	NA	NA	NA	NA	NA	NA	NA	-1.52492372756329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	Anchoring of the basal body to the plasma membrane Homo sapiens R-HSA-5620912	NA	-1.58863155304274	NA	NA	NA	-1.48218108587653	-2.37081835607842	NA	NA	NA	NA	-1.7110739303402	NA	-1.57919311711692	-1.61845116550644	NA	1.62868813272498	NA	-1.71138143423393	NA	-1.4913199276032	NA	-1.76741859861219	NA	-1.82007431550663	NA	-1.56734017906754	NA	NA	-1.45095165931757	1.5949213562364	NA	NA	NA	NA
27	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers Homo sapiens R-HSA-983695	NA	NA	-1.68413161920428	-1.98257446100393	NA	NA	1.53442849873593	NA	NA	1.98038757155584	-1.63579316117804	1.71031620203882	1.8033002185761	NA	2.2249267530269	NA	-1.77243070093364	1.64644358267513	NA	-2.06260639344786	NA	NA	NA	-2.12357577771373	NA	1.80738459256057	NA	NA	NA	-1.64333960845376	NA	1.85560403644478	NA	2.27177549279328	NA
28	Antigen Presentation: Folding, assembly and peptide loading of class I MHC Homo sapiens R-HSA-983170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.67060303475379	NA	NA	NA	1.75342045900899	NA	NA	1.72449883949751	1.7679436663776	NA	NA	NA	NA	1.92289828034914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	NA	NA	NA	NA	-1.553597771484	1.38803647879661	NA	NA	NA	NA	-1.79744099720755	NA	NA	NA	1.82297095098311	-1.85176513745285	-1.50467596760574	1.69158862803839	1.57212245343386	NA	NA	NA	1.65531985030201	NA	NA	1.55273258589989	NA	NA	NA	NA	NA	NA	-1.60004563945861	NA	NA
30	Antigen processing: Ubiquitination & Proteasome degradation Homo sapiens R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.30551053516904	NA	NA	NA	1.22494033098905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	Antiviral mechanism by IFN-stimulated genes Homo sapiens R-HSA-1169410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.7938160091372	NA	1.6716767424834	NA	1.84339135619738	NA	NA	1.66131049735842	1.53641244939521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	APC-Cdc20 mediated degradation of Nek2A Homo sapiens R-HSA-179409	NA	NA	NA	NA	-1.59095721699409	NA	-1.66935415759077	1.79544938073971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419	NA	-1.57634320688481	-1.82381557854672	NA	-1.89347398756718	1.69918804652818	-1.51616982404227	1.99419586927082	NA	NA	-1.65708345425037	NA	NA	NA	1.42809564124659	-1.77850677309225	-1.54043411540459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.60560351339356	NA	NA
34	APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	NA	-1.63273791577266	-1.81224043065057	NA	-1.93194382986613	1.80134127898087	-1.66398689143838	1.95290275556583	NA	NA	-1.54235605070325	NA	NA	NA	1.45254271526497	-1.66472737783315	-1.62668375051087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.53340937923749	NA	NA	-1.52212652456439	NA	NA
35	APC/C:Cdc20 mediated degradation of Cyclin B Homo sapiens R-HSA-174048	NA	NA	NA	NA	-1.51984645603912	NA	-1.5675075489494	1.80762498634883	NA	NA	NA	NA	NA	NA	NA	NA	-1.54889346521857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409	NA	-1.6033804599417	-1.82124920723368	NA	-1.94150859771173	1.73716111409025	-1.59248687281255	2.02953678864007	NA	NA	-1.66088351461267	NA	NA	NA	1.46459670655512	-1.80241229176246	-1.59647710683924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.4673161103009	NA	NA	-1.62874617838127	NA	NA
37	APC/C:Cdc20 mediated degradation of Securin Homo sapiens R-HSA-174154	NA	NA	-1.75755038438964	NA	-1.76099403875375	1.81317916914823	NA	1.92033844053664	NA	NA	-1.69871481006062	NA	NA	NA	1.58885072801566	-1.83322719573988	NA	NA	NA	NA	NA	NA	1.56958662638979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178	NA	NA	-1.74561789057428	NA	-1.85614828489352	1.9119599682281	NA	1.97920843332631	NA	NA	-1.620173795451	NA	NA	NA	1.66065678071274	-1.82272155408148	-1.53818317167432	NA	NA	NA	NA	NA	1.70687105050292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	Apoptosis Homo sapiens R-HSA-109581	NA	NA	NA	NA	-1.71471901923109	1.52104947294294	NA	NA	NA	NA	-1.86743535289748	1.47722166657158	NA	NA	1.88114485529165	-1.44413119130936	-1.54567615297984	NA	1.56584581657477	NA	NA	NA	1.68177668379696	NA	NA	NA	NA	NA	NA	NA	-1.4069837056888	NA	NA	NA	NA
40	Apoptotic cleavage of cellular proteins Homo sapiens R-HSA-111465	NA	NA	NA	NA	-1.56546205966708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.63185687757746	NA	NA	NA	NA
41	Apoptotic execution  phase Homo sapiens R-HSA-75153	NA	NA	NA	NA	-1.57550735874565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.80285600981084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	Arachidonic acid metabolism Homo sapiens R-HSA-2142753	NA	NA	NA	NA	-1.56090289223418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.67692515830038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86862812675622	NA	NA	NA	NA	NA	NA	NA
43	ARMS-mediated activation Homo sapiens R-HSA-170984	NA	NA	NA	NA	-1.35756247184384	NA	1.48561586549386	NA	NA	NA	-1.43285448023121	NA	NA	NA	1.56659892929844	NA	-1.46790986506865	NA	1.35990176145824	NA	NA	NA	NA	NA	NA	NA	1.53657498097583	NA	NA	NA	-1.52412183788453	NA	NA	NA	NA
44	Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090	-1.63495749534814	NA	NA	NA	-1.65440164655032	1.51022771890662	1.86095511719087	NA	NA	NA	NA	1.91819303015165	NA	2.29450022550466	2.14974638485418	1.57904806573852	-2.19729056391855	NA	2.31599113303907	NA	1.6440503934473	NA	2.05544309801123	NA	1.96385581365085	NA	2.11231139052483	NA	-2.03580572372119	-1.67652132321503	-2.3899500481175	NA	NA	NA	NA
45	Assembly of the pre-replicative complex Homo sapiens R-HSA-68867	NA	NA	-1.71247753199115	NA	-1.8650579634513	1.99047720550833	NA	1.94409970993667	-1.53606288078959	NA	-1.64607986042062	NA	NA	NA	1.71624445484649	-1.69578922676501	-1.60069291684093	NA	NA	NA	1.54824576439528	NA	1.80317172999127	NA	NA	NA	NA	NA	NA	-1.52398960851551	NA	NA	-1.63954938150994	NA	NA
46	Assembly of the primary cilium Homo sapiens R-HSA-5617833	NA	-1.792872921622	NA	1.82574490621086	1.58635337072498	-1.88333302367579	-2.5517975890925	-1.60850933990214	NA	NA	NA	-1.81619498709591	NA	-1.86690061161093	-2.04661292252141	1.54939284206398	2.00116572790052	NA	-1.8622171394433	NA	-1.81210719315351	NA	-2.08711315091271	NA	-1.96768795932539	NA	-1.74997110113149	NA	NA	-1.58096942384164	2.03880654700033	NA	1.74555195957134	NA	NA
47	Association of licensing factors with the pre-replicative complex Homo sapiens R-HSA-69298	NA	NA	NA	NA	NA	1.6591721539762	NA	1.66423774412399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	Asymmetric localization of PCP proteins Homo sapiens R-HSA-4608870	NA	NA	-1.6077576147889	NA	NA	NA	NA	NA	NA	NA	-1.4657854045297	NA	NA	NA	1.76227013360465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	ATF4 activates genes Homo sapiens R-HSA-380994	NA	NA	NA	NA	-1.68472073040365	1.56319678727948	NA	NA	NA	NA	-1.5944182341448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408	NA	NA	-1.72180758866956	NA	-1.71056094245187	1.8364995644691	NA	1.72185683012652	NA	NA	-1.76864248475713	NA	NA	NA	1.69923860721464	-1.77729182452046	NA	1.49052840832137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	AURKA Activation by TPX2 Homo sapiens R-HSA-8854518	NA	NA	NA	NA	NA	NA	-2.06848244644539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.45521111277718	NA	NA	NA	NA	NA	-1.51715345060221	NA	NA	NA	NA	-1.46992582455068	NA	NA	NA	NA	NA
52	Autodegradation of Cdh1 by Cdh1:APC/C Homo sapiens R-HSA-174084	NA	NA	-1.72157896337309	NA	-1.66597039017297	1.76416057146033	NA	2.0408594328268	NA	NA	-1.73955730874905	NA	NA	NA	1.6441209666134	-1.78635779386514	-1.49457556899959	NA	NA	NA	NA	NA	1.63994675032776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	Autodegradation of the E3 ubiquitin ligase COP1 Homo sapiens R-HSA-349425	NA	NA	-1.68938379095075	NA	-1.62416530593347	1.63911639648251	NA	1.72581184209893	NA	NA	-1.76299655207553	NA	NA	NA	1.61989242970839	-1.86899996871575	NA	1.48446946578421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	Axon guidance Homo sapiens R-HSA-422475	NA	NA	NA	NA	-1.35225761361493	NA	1.59139632333805	NA	NA	NA	-1.37583881557131	NA	NA	1.51478882419456	1.47331317677689	NA	-1.53046660108568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.41325047874665	NA	NA	NA	NA	NA	NA
55	Base Excision Repair Homo sapiens R-HSA-73884	NA	NA	NA	NA	NA	1.597878587057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	Basigin interactions Homo sapiens R-HSA-210991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.56794013663658	NA	NA	NA	1.54656199943561	NA	-1.60292411776282	NA	1.63595358781817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	BBSome-mediated cargo-targeting to cilium Homo sapiens R-HSA-5620922	NA	NA	NA	NA	NA	NA	-1.63409797253355	NA	NA	NA	NA	NA	NA	NA	-1.63235830280571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65548520415668	NA	NA	NA	NA
58	Beta-catenin phosphorylation cascade Homo sapiens R-HSA-196299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5794778015147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	Bile acid and bile salt metabolism Homo sapiens R-HSA-194068	NA	NA	NA	NA	1.46956517147183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782	-1.95898925231102	NA	NA	-1.63107514054934	-1.84029318353224	NA	2.0991370178832	NA	-1.82215060262495	NA	-1.48055841483645	2.01209968734885	1.91557601548302	NA	2.05241849828981	NA	-2.10597494006872	NA	NA	-2.00035169568165	2.14646242066795	NA	NA	-2.12241694025286	1.67967524603076	1.78534680217216	1.43012189701508	-1.62224737857716	-1.86129744587575	-1.89804136094303	-1.62177811674454	NA	NA	2.19064713329209	NA
61	Biological oxidations Homo sapiens R-HSA-211859	NA	NA	NA	NA	NA	-1.41989863517941	NA	NA	NA	-1.66346339056593	1.55457923580427	-1.37996488353496	NA	NA	-1.55154231568844	NA	NA	-1.47293139771341	-1.53531208920635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
