pathway	pval
Fertilization Homo sapiens R-HSA-1187000	0.54078717128647
Reproduction Homo sapiens R-HSA-1474165	0.54078717128647
Miscellaneous transport and binding events Homo sapiens R-HSA-5223345	0.298830528091104
Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562	0.998639634055218
Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	0.798038542277889
Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	0.229209997939337
Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430	0.727103608607067
Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	0.193537849108373
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	0.901865757443784
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	0.719277458017227
GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590	0.549351566403655
Na+/Cl- dependent neurotransmitter transporters Homo sapiens R-HSA-442660	0.730354109360301
Amine compound SLC transporters Homo sapiens R-HSA-425428	0.426066477595161
Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds Homo sapiens R-HSA-425366	0.282150784732382
SLC-mediated transmembrane transport Homo sapiens R-HSA-425407	0.259579744570419
Transmembrane transport of small molecules Homo sapiens R-HSA-382551	0.536313096321496
Transport of inorganic cations/anions and amino acids/oligopeptides Homo sapiens R-HSA-425393	0.0314757911051716
Amino acid transport across the plasma membrane Homo sapiens R-HSA-352230	0.150920018373784
Amino acid and oligopeptide SLC transporters Homo sapiens R-HSA-425374	0.0205528695406435
Zinc transporters Homo sapiens R-HSA-435354	0.870610106928186
Metal ion SLC transporters Homo sapiens R-HSA-425410	0.494853187330149
Amino acid synthesis and interconversion (transamination) Homo sapiens R-HSA-70614	0.3586226679173
Transport of vitamins, nucleosides, and related molecules Homo sapiens R-HSA-425397	0.510396237578919
Disorders of transmembrane transporters Homo sapiens R-HSA-5619115	0.542973954998606
Surfactant metabolism Homo sapiens R-HSA-5683826	0.776116941915221
ABC transporters in lipid homeostasis Homo sapiens R-HSA-1369062	0.253490002477084
ABC-family proteins mediated transport Homo sapiens R-HSA-382556	0.432118786882574
Signaling by Retinoic Acid Homo sapiens R-HSA-5362517	0.0251543227827003
RA biosynthesis pathway Homo sapiens R-HSA-5365859	0.110190458789662
The canonical retinoid cycle in rods (twilight vision) Homo sapiens R-HSA-2453902	0.759280124321282
Visual phototransduction Homo sapiens R-HSA-2187338	0.199901312221152
Retinoid metabolism and transport Homo sapiens R-HSA-975634	0.866426477433551
Metabolism of fat-soluble vitamins Homo sapiens R-HSA-6806667	0.557190420624808
HS-GAG degradation Homo sapiens R-HSA-2024096	0.356457595315801
Diseases associated with glycosaminoglycan metabolism Homo sapiens R-HSA-3560782	0.264538023326174
Defective B3GALT6 causes EDSP2 and SEMDJL1 Homo sapiens R-HSA-4420332	0.394798200738989
Defective B4GALT7 causes EDS, progeroid type Homo sapiens R-HSA-3560783	0.394798200738989
Defective B3GAT3 causes JDSSDHD Homo sapiens R-HSA-3560801	0.394798200738989
A tetrasaccharide linker sequence is required for GAG synthesis Homo sapiens R-HSA-1971475	0.452880822485349
Heparan sulfate/heparin (HS-GAG) metabolism Homo sapiens R-HSA-1638091	0.186441765496434
HS-GAG biosynthesis Homo sapiens R-HSA-2022928	0.206787231038393
Metabolism of carbohydrates Homo sapiens R-HSA-71387	0.399776266903934
Glycosaminoglycan metabolism Homo sapiens R-HSA-1630316	0.582744112862934
Chondroitin sulfate/dermatan sulfate metabolism Homo sapiens R-HSA-1793185	0.309798514783145
Chondroitin sulfate biosynthesis Homo sapiens R-HSA-2022870	0.979900738399686
Keratan sulfate biosynthesis Homo sapiens R-HSA-2022854	0.637164793509976
Keratan sulfate/keratin metabolism Homo sapiens R-HSA-1638074	0.746914228449267
Diseases of glycosylation Homo sapiens R-HSA-3781865	0.576680237056705
Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995	0.371706209869946
Defective B3GALTL causes Peters-plus syndrome (PpS) Homo sapiens R-HSA-5083635	0.74333217269768
O-glycosylation of TSR domain-containing proteins Homo sapiens R-HSA-5173214	0.714786519802609
O-linked glycosylation Homo sapiens R-HSA-5173105	0.477373752954
O-linked glycosylation of mucins Homo sapiens R-HSA-913709	0.933253475107441
Termination of O-glycan biosynthesis Homo sapiens R-HSA-977068	0.173493036117684
Defective GALNT12 causes colorectal cancer 1 (CRCS1) Homo sapiens R-HSA-5083636	0.133679951877616
Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC) Homo sapiens R-HSA-5083625	0.133679951877616
Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS) Homo sapiens R-HSA-5083632	0.151801609352219
Elastic fibre formation Homo sapiens R-HSA-1566948	0.776121646758386
Molecules associated with elastic fibres Homo sapiens R-HSA-2129379	0.911207421836054
ECM proteoglycans Homo sapiens R-HSA-3000178	0.774741969033409
Integrin cell surface interactions Homo sapiens R-HSA-216083	0.0997029504154073
Syndecan interactions Homo sapiens R-HSA-3000170	0.423069896566828
Non-integrin membrane-ECM interactions Homo sapiens R-HSA-3000171	0.961749908793985
Laminin interactions Homo sapiens R-HSA-3000157	0.920003548157653
Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090	0.227452754449928
Collagen formation Homo sapiens R-HSA-1474290	0.620139289268535
Collagen biosynthesis and modifying enzymes Homo sapiens R-HSA-1650814	0.629649855591583
Extracellular matrix organization Homo sapiens R-HSA-1474244	0.967491400072436
Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	0.969246041359897
Collagen degradation Homo sapiens R-HSA-1442490	0.175094926007248
Activation of Matrix Metalloproteinases Homo sapiens R-HSA-1592389	0.2042566200397
Hyaluronan metabolism Homo sapiens R-HSA-2142845	0.739185041692058
Activation of SMO Homo sapiens R-HSA-5635838	0.0947460307716987
Synthesis of glycosylphosphatidylinositol (GPI) Homo sapiens R-HSA-162710	0.634138360843856
Post-translational modification: synthesis of GPI-anchored proteins Homo sapiens R-HSA-163125	0.975099530879452
Common Pathway of Fibrin Clot Formation Homo sapiens R-HSA-140875	0.382891734465837
Formation of Fibrin Clot (Clotting Cascade) Homo sapiens R-HSA-140877	0.857354465411271
Intrinsic Pathway of Fibrin Clot Formation Homo sapiens R-HSA-140837	0.693147896490151
Gamma carboxylation, hypusine formation and arylsulfatase activation Homo sapiens R-HSA-163841	0.198917234447819
Glycosphingolipid metabolism Homo sapiens R-HSA-1660662	0.122885275381534
Sphingolipid metabolism Homo sapiens R-HSA-428157	0.578776816879236
Sphingolipid de novo biosynthesis Homo sapiens R-HSA-1660661	0.782983605582846
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway Homo sapiens R-HSA-5676594	0.558874704512745
TNFs bind their physiological receptors Homo sapiens R-HSA-5669034	0.158199119050924
Defensins Homo sapiens R-HSA-1461973	0.122185967765355
Depolymerisation of the Nuclear Lamina Homo sapiens R-HSA-4419969	0.212114492462594
Gap junction assembly Homo sapiens R-HSA-190861	0.412857640546938
Gap junction trafficking Homo sapiens R-HSA-190828	0.542800499748043
Gap junction trafficking and regulation Homo sapiens R-HSA-157858	0.610412663775845
Golgi Associated Vesicle Biogenesis Homo sapiens R-HSA-432722	0.0758040142390855
trans-Golgi Network Vesicle Budding Homo sapiens R-HSA-199992	0.590431153842672
Clathrin derived vesicle budding Homo sapiens R-HSA-421837	0.590431153842672
Lysosome Vesicle Biogenesis Homo sapiens R-HSA-432720	0.328009075844699
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters Homo sapiens R-HSA-164938	0.0482239606496956
The role of Nef in HIV-1 replication and disease pathogenesis Homo sapiens R-HSA-164952	0.000751676096084347
Trafficking of GluR2-containing AMPA receptors Homo sapiens R-HSA-416993	0.747585299113145
Trafficking of AMPA receptors Homo sapiens R-HSA-399719	0.316712195555789
Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity Homo sapiens R-HSA-399721	0.316712195555789
EGFR downregulation Homo sapiens R-HSA-182971	0.68134688157287
WNT5A-dependent internalization of FZD4 Homo sapiens R-HSA-5099900	0.363550996307177
Recycling pathway of L1 Homo sapiens R-HSA-437239	0.964740283829336
