	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
Fertilization Homo sapiens R-HSA-1187000	0.770735422420816	0.977536838992657	1	0.848330683624801	1	1	1	1	0.704100843087501	1	1	1	1	0.936786826880285	0.964204902576996	0.0729092911651326	0.596609946784048	0.920892071306034	0.899555555555556	0.709285187914517	0.485081367158408	0.980095318194561	1	0.36150234741784	0.573075933075933	1	0.866610597140454	1	0.526043405676127	0.89095908687204	0.881591058514136	1	1	0.978274734911903	1	0.800286097091682	0.776886035313002	0.170781341513049	1	1	1	1	1	1	1	0.377553710293924	0.865378894241559	1	1	1	1	1	0.0675215387697856	1	0.392334957908728	0.56727771207397	0.472953773650288	0.826362017804154	1	0.886052843735264	1	1	1
Reproduction Homo sapiens R-HSA-1474165	0.770735422420816	0.977536838992657	1	0.848330683624801	1	1	1	1	0.704100843087501	1	1	1	1	0.936786826880285	0.964204902576996	0.0729092911651326	0.596609946784048	0.920892071306034	0.899555555555556	0.709285187914517	0.485081367158408	0.980095318194561	1	0.36150234741784	0.573075933075933	1	0.866610597140454	1	0.526043405676127	0.89095908687204	0.881591058514136	1	1	0.978274734911903	1	0.800286097091682	0.776886035313002	0.170781341513049	1	1	1	1	1	1	1	0.377553710293924	0.865378894241559	1	1	1	1	1	0.0675215387697856	1	0.392334957908728	0.56727771207397	0.472953773650288	0.826362017804154	1	0.886052843735264	1	1	1
Miscellaneous transport and binding events Homo sapiens R-HSA-5223345	0.921288515406162	1	1	1	1	1	1	1	1	1	1	1	0.493696938512992	0.441481708250421	0.298829770635044	0.511244263374329	0.962550874148502	1	1	0.959981028042924	0.86728280961183	0.582060794294424	1	0.86470999301188	0.778057142857143	0.723185863704281	1	1	0.222907488986784	1	0.582485100628386	1	1	1	1	1	1	0.158547794117647	1	1	1	0.422969563984297	1	1	1	0.589809105342835	1	1	1	0.492963844988093	1	0.519134092541295	0.56349025974026	0.655440414507772	1	1	0.464187327823691	0.733407883701426	1	1	1	1	0.511513641225771
Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562	0.496270486514389	1	1	1	1	1	1	1	1	1	1	1	0.50436291000841	0.627416762342135	0.857019338847739	0.779044631593304	1	0.8003663003663	1	1	1	0.437264613320951	1	0.893489233914766	0.264575163398693	1	0.866610597140454	0.471848408741613	0.352978883861237	0.410301320099899	0.289051577697269	0.533898305084746	0.978487877407544	1	0.93924830206055	0.922876498176133	1	1	1	1	1	1	0.939236185193087	1	1	0.386001929105377	1	1	1	0.81041041041041	0.912685415925003	1	1	1	1	0.424956130150743	0.23674042852125	1	1	1	1	1	0.957658450704225
Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	0.890053495330492	1	1	0.586789915966387	0.775370899212927	1	1	1	1	1	0.578718163022918	1	1	0.772458605707128	1	0.0747700623924269	1	0.999601275917065	0.889178617992177	1	0.880057280479073	0.370822747703733	1	0.139295607439652	0.533281922755607	0.978436657681941	0.481904761904762	0.860683760683761	0.325884856630824	0.827469687934804	0.575173663545756	1	0.395216826912499	0.428836273107686	1	0.491477628775536	1	1	1	1	1	1	1	1	0.801452312490862	1	1	1	0.421666666666667	0.490081429135129	0.958696475937855	0.497053045186641	0.811757115205391	1	1	0.879236335391031	0.420081983587301	1	1	1	1	1	0.888087444643571
Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	0.84408743547163	0.977536838992657	1	0.60844392981206	1	1	1	1	1	1	0.735309254942327	1	1	1	0.946802151823072	0.219326542161856	1	1	0.881055564154156	1	1	0.372349372259266	1	0.145765315920876	0.601744186046512	1	0.486497784466182	1	0.153558839321148	0.551603848145423	0.766810512794608	1	0.358946627825167	0.664298401420959	1	0.701592655049653	1	0.990945365254758	1	0.973076923076923	1	1	1	1	1	1	1	1	0.622041920216362	0.19240588842414	1	0.570687418936446	1	1	0.260500235960359	1	0.360955092870765	1	1	1	1	1	1
Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430	0.635108481262327	0.84522938844796	1	0.448394495412844	0.580699008868023	1	1	1	0.609946176272707	1	0.621958333333333	1	1	1	0.632309614524364	0.50954450954451	1	0.840796447500358	1	1	0.64590930341281	0.647491357741744	1	0.0305306664253175	0.778057142857143	0.860890457414156	0.651373823492171	1	0.153558839321148	1	0.891755665996969	0.918958761686775	0.450343325209436	0.696623197827833	0.93924830206055	0.604475026580177	1	1	1	1	1	1	1	1	1	1	1	1	0.908764367816092	0.500866122246969	1	0.781804849945006	1	1	0.552678286988577	1	0.568907951831335	1	1	1	1	1	1
Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	0.635108481262327	0.688643580825646	1	0.622066604419546	1	1	1	0.918978912319645	0.522322580645161	1	0.646066184527723	1	1	0.892637182383708	0.688188277087034	0.154649126508566	1	0.949561830574489	1	0.905105968184422	0.592459259906505	0.770820280347424	1	0.0851595840596261	0.497228381374723	0.978436657681941	0.866610597140454	0.532727360169288	0.207153942094389	1	0.844684829059829	0.849426563078061	0.462626221581097	1	0.922884012539185	0.371149144254279	1	0.900662059983358	1	0.960661426967439	1	1	1	0.887138197283125	1	1	1	1	0.996256406782723	0.695844544095665	1	0.768309238420609	1	0.94875	0.116492560937005	1	0.606573627233599	1	1	1	1	1	1
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	0.533622828784119	1	1	0.791060222393482	1	1	1	1	0.175131954659514	1	0.424349334875651	1	1	0.664819628116878	0.830687830687831	0.137800999545661	1	1	1	1	0.766874473560726	0.252797761790568	1	0.139295607439652	0.567390466401131	0.723185863704281	1	1	0.20203219779376	0.205144619061336	0.582485100628386	1	0.718108177063401	0.628739888899717	1	0.226398210290828	1	0.992082992082992	1	1	1	1	1	0.68430312732806	1	0.921508741817692	1	1	1	0.285859555957291	1	0.481243917544015	1	1	0.977054034048853	1	0.293408861276523	0.967085861139198	1	1	1	1	0.957658450704225
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	0.565376289019763	0.818319801159901	1	0.541160827841369	1	1	1	1	1	1	1	1	1	1	0.826753477360166	0.0519260400616333	1	1	0.952965974104186	1	0.900787401574803	0.0659885237350026	1	0.120338660578387	0.842361377897298	0.743210192627728	0.512932604735883	1	0.299054373522459	0.818916557448668	0.346007501591041	1	0.773498643936459	1	1	0.816787732041969	1	1	1	1	1	1	1	0.828767476654801	1	1	1	1	0.908764367816092	0.0810377962844331	1	0.331730769230769	1	1	1	1	0.555279647249942	0.980461134447321	1	1	1	1	0.654183001084327
