	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
Fertilization Homo sapiens R-HSA-1187000	0.253611556982344	0.480984340044743	0.753709198813056	0.285012285012285	0.854545454545454	0.438559322033898	0.54281098546042	0.689303904923599	0.158631415241058	0.252659574468085	0.697265625	0.4	0.707100591715976	0.775925925925926	0.70767004341534	0.0160116448326055	0.290322580645161	0.335779816513761	0.386473429951691	0.328063241106719	0.213780918727915	0.713622291021672	0.204437400950872	0.100864553314121	0.104761904761905	0.46890756302521	0.243194192377495	0.47334200260078	0.31095406360424	0.433460076045627	0.67948717948718	0.246719160104987	0.794498381877023	0.283582089552239	0.407407407407407	0.257799671592775	0.0679156908665105	0.0483383685800604	0.255941499085923	0.733067729083665	0.663109756097561	0.515912897822446	0.58195211786372	0.760283687943262	0.766467065868264	0.104938271604938	0.231966053748232	0.972402597402597	0.419811320754717	0.838998211091234	0.590504451038576	0.543137254901961	0.00140252454417952	0.827140549273021	0.08311345646438	0.160220994475138	0.175115207373272	0.276	0.660839160839161	0.299485861182519	0.310580204778157	0.530612244897959	0.563492063492063
Reproduction Homo sapiens R-HSA-1474165	0.253611556982344	0.480984340044743	0.753709198813056	0.285012285012285	0.854545454545454	0.438559322033898	0.54281098546042	0.689303904923599	0.158631415241058	0.252659574468085	0.697265625	0.4	0.707100591715976	0.775925925925926	0.70767004341534	0.0160116448326055	0.290322580645161	0.335779816513761	0.386473429951691	0.328063241106719	0.213780918727915	0.713622291021672	0.204437400950872	0.100864553314121	0.104761904761905	0.46890756302521	0.243194192377495	0.47334200260078	0.31095406360424	0.433460076045627	0.67948717948718	0.246719160104987	0.794498381877023	0.283582089552239	0.407407407407407	0.257799671592775	0.0679156908665105	0.0483383685800604	0.255941499085923	0.733067729083665	0.663109756097561	0.515912897822446	0.58195211786372	0.760283687943262	0.766467065868264	0.104938271604938	0.231966053748232	0.972402597402597	0.419811320754717	0.838998211091234	0.590504451038576	0.543137254901961	0.00140252454417952	0.827140549273021	0.08311345646438	0.160220994475138	0.175115207373272	0.276	0.660839160839161	0.299485861182519	0.310580204778157	0.530612244897959	0.563492063492063
Miscellaneous transport and binding events Homo sapiens R-HSA-5223345	0.400516795865633	0.980036297640653	0.598200899550225	0.998230088495575	0.6398891966759	0.171739130434783	0.358441558441558	0.437956204379562	0.948916408668731	0.969014084507042	0.813121272365805	0.899821109123435	0.112426035502959	0.242553191489362	0.111764705882353	0.245481927710843	0.590504451038576	0.990825688073395	0.914821124361158	0.574850299401198	0.565619223659889	0.298153034300792	0.424	0.422955974842767	0.263917525773196	0.111111111111111	0.857461024498886	0.642599277978339	0.1	0.982494529540481	0.361111111111111	0.842809364548495	0.951456310679612	0.978533094812165	0.712095400340716	0.530864197530864	0.199566160520607	0.0426136363636364	0.714285714285714	0.959839357429719	0.884931506849315	0.0681265206812652	0.565217391304348	0.772113943028486	0.834115805946792	0.216438356164384	0.535714285714286	0.362025316455696	0.987432675044883	0.0600858369098712	0.716923076923077	0.0974658869395711	0.156060606060606	0.100660066006601	0.972413793103448	1	0.166666666666667	0.212244897959184	0.785211267605634	1	0.762564991334489	0.817635270541082	0.121794871794872
Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562	0.121621621621622	0.855379188712522	0.997084548104956	0.742092457420925	0.963636363636364	0.978723404255319	0.838810641627543	0.95928338762215	0.397142857142857	0.994729907773386	0.60990099009901	0.961937716262976	0.115853658536585	0.402985074626866	0.563694267515924	0.487769784172662	0.944237918215613	0.241758241758242	0.591973244147157	0.810379241516966	0.916370106761566	0.184065934065934	1	0.455904334828102	0.022680412371134	0.401326699834163	0.246823956442831	0.0319634703196347	0.177829099307159	0.104384133611691	0.12624584717608	0.0593220338983051	0.593667546174143	0.590452261306533	0.125211505922166	0.361323155216285	0.996551724137931	0.848484848484849	0.746136865342163	0.796407185628742	0.869688385269122	0.911330049261084	0.159633027522936	0.430976430976431	0.621700879765396	0.109195402298851	0.650837988826816	0.602666666666667	0.619130434782609	0.15	0.238993710691824	0.45224171539961	0.777932960893855	0.973898858075041	0.805084745762712	0.0978260869565217	0.0512820512820513	0.978540772532189	0.912343470483005	0.828703703703704	0.634228187919463	0.302554027504912	0.4703125
Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	0.359173126614987	0.58287795992714	0.97317436661699	0.115473441108545	0.224489795918367	0.926160337552743	0.962025316455696	0.905821917808219	0.85989010989011	0.792065663474692	0.102040816326531	0.771493212669683	0.96875	0.540254237288136	0.864864864864865	0.016566265060241	0.986994219653179	0.412408759124088	0.358669833729216	0.974683544303797	0.58296943231441	0.127717391304348	0.311170212765957	0.0221606648199446	0.0899581589958159	0.34375	0.0474452554744526	0.16597510373444	0.159722222222222	0.386752136752137	0.342148760330579	0.363636363636364	0.117549668874172	0.0368663594470046	0.696917808219178	0.0767326732673267	0.764568764568765	0.961595273264402	0.242290748898678	0.539094650205761	0.494573643410853	0.928395061728395	0.685185185185185	0.915584415584416	0.22239263803681	0.779005524861878	0.63265306122449	0.916387959866221	0.05	0.0590809628008753	0.301634472511144	0.0903732809430255	0.302325581395349	0.739473684210526	0.86328125	0.350819672131148	0.141689373297003	0.876840696117805	0.739795918367347	0.990861618798956	0.431972789115646	0.561436672967864	0.371610845295056
Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	0.314285714285714	0.497277676950998	0.840840840840841	0.123853211009174	0.465373961218837	0.868817204301075	0.948051948051948	0.878934624697337	0.60989010989011	0.740425531914894	0.1947261663286	0.778761061946903	0.961890243902439	0.983018867924528	0.671732522796353	0.0666666666666667	0.709969788519637	0.432532347504621	0.316901408450704	0.978515625	0.774193548387097	0.131720430107527	0.462765957446808	0.0236220472440945	0.132075471698113	0.45970695970696	0.0504504504504504	0.202846975088968	0.0596330275229358	0.176600441501104	0.544041450777202	0.342281879194631	0.10321489001692	0.0888382687927107	0.420962199312715	0.186732186732187	0.923214285714286	0.708841463414634	0.144124168514412	0.198347107438017	0.417322834645669	0.856796116504854	0.591682419659735	0.51304347826087	0.426791277258567	0.905913978494624	0.737151248164464	0.700980392156863	0.112099644128114	0.0155902004454343	0.76969696969697	0.116731517509728	0.835889570552147	0.414814814814815	0.041958041958042	0.660660660660661	0.108179419525066	0.892988929889299	0.824253075571178	0.982620320855615	0.352430555555556	0.634146341463415	0.602218700475436
Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430	0.179220779220779	0.335753176043557	0.43993993993994	0.0779816513761468	0.121883656509695	0.797849462365591	0.976623376623377	0.258064516129032	0.118131868131868	0.973063973063973	0.117647058823529	0.969026548672566	0.702743902439024	0.89811320754717	0.335866261398176	0.242424242424242	0.791540785498489	0.269870609981516	0.887323943661972	0.98046875	0.337634408602151	0.360215053763441	0.0718085106382979	0.0026246719160105	0.264150943396226	0.241758241758242	0.108108108108108	0.281138790035587	0.0596330275229358	0.902869757174393	0.690846286701209	0.157718120805369	0.145516074450085	0.107061503416856	0.128865979381443	0.125307125307125	0.95	0.921965317919075	0.42350332594235	0.479338842975207	0.365354330708661	0.93728813559322	0.561436672967864	0.568115942028986	0.934579439252336	0.900537634408602	0.91776798825257	0.588235294117647	0.286476868327402	0.0623608017817372	0.881818181818182	0.24124513618677	0.942857142857143	0.350617283950617	0.164335664335664	0.495495495495495	0.237467018469657	0.782287822878229	0.889279437609842	0.97244094488189	0.711805555555556	0.652941176470588	0.621236133122029
Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	0.177777777777778	0.185053380782918	0.443778110944528	0.132723112128146	0.669398907103825	0.434042553191489	0.958441558441558	0.0154373927958834	0.096	0.855072463768116	0.132149901380671	0.930885529157667	0.673813169984686	0.721280602636535	0.384375	0.0442073170731707	0.931750741839763	0.36996336996337	0.542725173210162	0.512476007677543	0.285106382978723	0.48062015503876	0.167582417582418	0.0105263157894737	0.0805785123966942	0.349907918968692	0.243194192377495	0.0449826989619377	0.0912951167728238	0.603139013452915	0.629173989455185	0.128930817610063	0.15177065767285	0.334782608695652	0.0743243243243243	0.0513447432762836	0.702797202797203	0.563358778625954	0.334782608695652	0.191752577319588	0.495192307692308	0.950171821305842	0.756603773584906	0.3	0.7375	0.971649484536082	0.813235294117647	0.635696821515892	0.392792792792793	0.103139013452915	0.9890625	0.234592445328032	0.677053824362606	0.284653465346535	0.0134680134680135	0.554913294797688	0.269972451790634	0.642599277978339	0.573059360730594	0.857692307692308	0.664902998236332	0.323232323232323	0.592532467532468
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	0.136842105263158	0.772893772893773	0.646449704142012	0.228438228438228	0.894894894894895	0.654736842105263	0.824675324675325	0.230252100840336	0.021978021978022	0.342391304347826	0.0587044534412955	0.408482142857143	0.878923766816143	0.438202247191011	0.514074074074074	0.0380116959064327	0.810144927536232	0.447706422018349	0.904201680672269	0.966796875	0.456140350877193	0.0694444444444444	0.115591397849462	0.0221606648199446	0.101479915433404	0.13448275862069	0.563071297989031	0.468354430379747	0.0876404494382022	0.0402542372881356	0.353996737357259	0.348484848484849	0.295190713101161	0.076555023923445	0.34974533106961	0.02	0.586505190311419	0.711711711711712	0.43956043956044	0.74012474012474	0.5953125	0.654320987654321	0.81767955801105	0.1438127090301	0.698550724637681	0.506887052341598	0.718972895863053	0.563131313131313	0.866817155756208	0.0259179265658747	0.65597667638484	0.0846456692913386	0.850789096126255	0.354497354497354	0.55241935483871	0.680412371134021	0.074585635359116	0.493775933609959	0.734729493891798	0.448275862068966	0.490630323679727	0.267515923566879	0.463884430176565
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	0.148606811145511	0.287058823529412	0.775204359673024	0.0994623655913978	0.925324675324675	0.466819221967963	0.804411764705882	0.382530120481928	0.5	0.260172626387176	0.551257253384913	0.410377358490566	0.821879382889201	0.970046082949309	0.508519003931848	0.00845070422535211	0.797992471769134	0.882246376811594	0.423592493297587	0.741666666666667	0.614173228346457	0.00317460317460317	0.908496732026144	0.0171232876712329	0.33256880733945	0.167464114832536	0.058287795992714	0.732329084588644	0.143617021276596	0.352813852813853	0.163430420711974	0.721040189125296	0.34012539184953	0.4	0.655963302752294	0.285714285714286	0.859450726978998	0.991489361702128	0.516877637130802	0.400770712909441	0.154411764705882	0.879177377892031	0.838938053097345	0.223214285714286	0.540245566166439	0.602888086642599	0.660194174757282	0.796969696969697	0.281407035175879	0.00443458980044346	0.618655692729767	0.046875	0.588311688311688	0.408488063660477	0.665030674846626	0.892682926829268	0.228476821192053	0.534825870646766	0.438811188811189	0.587338804220399	0.55968992248062	0.683127572016461	0.195994277539342
