pathway	DB	n	statistic	df	p	method
3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279	Reactome_2016	63	0.162229938271565	1	0.687	Kruskal-Wallis
A tetrasaccharide linker sequence is required for GAG synthesis Homo sapiens R-HSA-1971475	Reactome_2016	63	0.815007716049394	1	0.367	Kruskal-Wallis
ABC transporters in lipid homeostasis Homo sapiens R-HSA-1369062	Reactome_2016	63	1.08506944444446	1	0.298	Kruskal-Wallis
ABC-family proteins mediated transport Homo sapiens R-HSA-382556	Reactome_2016	63	1.49382716049382	1	0.222	Kruskal-Wallis
Abortive elongation of HIV-1 transcript in the absence of Tat Homo sapiens R-HSA-167242	Reactome_2016	63	0.0771604938271651	1	0.781	Kruskal-Wallis
Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	Reactome_2016	63	0.426118827160508	1	0.514	Kruskal-Wallis
Activated NOTCH1 Transmits Signal to the Nucleus Homo sapiens R-HSA-2122948	Reactome_2016	63	0.140625	1	0.708	Kruskal-Wallis
activated TAK1 mediates p38 MAPK activation Homo sapiens R-HSA-450302	Reactome_2016	63	2.640625	1	0.104	Kruskal-Wallis
Activated TLR4 signalling Homo sapiens R-HSA-166054	Reactome_2016	63	0.0378086419753174	1	0.846	Kruskal-Wallis
Activation of anterior HOX genes in hindbrain development during early embryogenesis Homo sapiens R-HSA-5617472	Reactome_2016	63	1.20389660493825	1	0.273	Kruskal-Wallis
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814	Reactome_2016	63	0.0434027777777715	1	0.835	Kruskal-Wallis
Activation of ATR in response to replication stress Homo sapiens R-HSA-176187	Reactome_2016	63	2.16743827160491	1	0.141	Kruskal-Wallis
Activation of BAD and translocation to mitochondria Homo sapiens R-HSA-111447	Reactome_2016	63	0.00945216049382225	1	0.923	Kruskal-Wallis
Activation of BH3-only proteins Homo sapiens R-HSA-114452	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
Activation of G protein gated Potassium channels Homo sapiens R-HSA-1296041	Reactome_2016	63	0.26408179012347	1	0.607	Kruskal-Wallis
Activation of GABAB receptors Homo sapiens R-HSA-991365	Reactome_2016	63	0.865933641975317	1	0.352	Kruskal-Wallis
Activation of gene expression by SREBF (SREBP) Homo sapiens R-HSA-2426168	Reactome_2016	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Activation of HOX genes during differentiation Homo sapiens R-HSA-5619507	Reactome_2016	63	1.20389660493825	1	0.273	Kruskal-Wallis
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon Homo sapiens R-HSA-936964	Reactome_2016	63	0.463155864197546	1	0.496	Kruskal-Wallis
Activation of Kainate Receptors upon glutamate binding Homo sapiens R-HSA-451326	Reactome_2016	63	0.00482253086420315	1	0.945	Kruskal-Wallis
Activation of Matrix Metalloproteinases Homo sapiens R-HSA-1592389	Reactome_2016	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Activation of NF-kappaB in B cells Homo sapiens R-HSA-1169091	Reactome_2016	63	0.162229938271565	1	0.687	Kruskal-Wallis
Activation of NMDA receptor upon glutamate binding and postsynaptic events Homo sapiens R-HSA-442755	Reactome_2016	63	2.41975308641977	1	0.12	Kruskal-Wallis
Activation of SMO Homo sapiens R-HSA-5635838	Reactome_2016	63	0.356674382716051	1	0.55	Kruskal-Wallis
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662	Reactome_2016	63	0.37345679012347	1	0.541	Kruskal-Wallis
Activation of the pre-replicative complex Homo sapiens R-HSA-68962	Reactome_2016	63	1.49382716049382	1	0.222	Kruskal-Wallis
Acyl chain remodelling of PC Homo sapiens R-HSA-1482788	Reactome_2016	63	0.790123456790155	1	0.374	Kruskal-Wallis
Acyl chain remodelling of PE Homo sapiens R-HSA-1482839	Reactome_2016	63	1.52797067901233	1	0.216	Kruskal-Wallis
Acyl chain remodelling of PG Homo sapiens R-HSA-1482925	Reactome_2016	63	3.0625	1	0.0801	Kruskal-Wallis
Acyl chain remodelling of PI Homo sapiens R-HSA-1482922	Reactome_2016	63	0.521604938271565	1	0.47	Kruskal-Wallis
Acyl chain remodelling of PS Homo sapiens R-HSA-1482801	Reactome_2016	63	1.63271604938271	1	0.201	Kruskal-Wallis
Adaptive Immune System Homo sapiens R-HSA-1280218	Reactome_2016	63	0.209621136590243	1	0.647	Kruskal-Wallis
Adherens junctions interactions Homo sapiens R-HSA-418990	Reactome_2016	63	1.52797067901233	1	0.216	Kruskal-Wallis
ADP signalling through P2Y purinoceptor 1 Homo sapiens R-HSA-418592	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
ADP signalling through P2Y purinoceptor 12 Homo sapiens R-HSA-392170	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
Adrenaline,noradrenaline inhibits insulin secretion Homo sapiens R-HSA-400042	Reactome_2016	63	0.102044753086432	1	0.749	Kruskal-Wallis
Aflatoxin activation and detoxification Homo sapiens R-HSA-5423646	Reactome_2016	63	0.120563271604908	1	0.728	Kruskal-Wallis
Amine compound SLC transporters Homo sapiens R-HSA-425428	Reactome_2016	63	0.25	1	0.617	Kruskal-Wallis
Amine ligand-binding receptors Homo sapiens R-HSA-375280	Reactome_2016	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Amine-derived hormones Homo sapiens R-HSA-209776	Reactome_2016	63	0.197530864197546	1	0.657	Kruskal-Wallis
Amino acid and oligopeptide SLC transporters Homo sapiens R-HSA-425374	Reactome_2016	63	3.88966049382717	1	0.0486	Kruskal-Wallis
Amino acid synthesis and interconversion (transamination) Homo sapiens R-HSA-70614	Reactome_2016	63	0.671489197530889	1	0.413	Kruskal-Wallis
Amino acid transport across the plasma membrane Homo sapiens R-HSA-352230	Reactome_2016	63	4.75482253086417	1	0.0292	Kruskal-Wallis
Amyloid fiber formation Homo sapiens R-HSA-977225	Reactome_2016	63	0.0123456790123271	1	0.912	Kruskal-Wallis
Anchoring of the basal body to the plasma membrane Homo sapiens R-HSA-5620912	Reactome_2016	63	1.5625	1	0.211	Kruskal-Wallis
