	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	1.37990474001864	1.08910101586314	-1.03922705621876	-0.926534052766603	-0.97291197793017	1.28266150934268	-0.540399120221866	-0.484865347155082	-1.20397228364796	0.429536011458737	0.76352749478603	-0.609383083540384	1.53303479134134	-1.30533118150155	1.28638803614366	-0.550932470576156	1.45331665298695	-0.67921303350041	1.0816494796653	-0.852193292480349	0.493724654024774	1.03548517717823	-1.15963959860499	1.1066852425605	1.20413025878211	-1.16559021551792	-0.573175686773022	1.49144353423071	1.12783966159962	-0.781697675630414	-1.43422317708557	1.55079137062365	-0.803319525030764	-0.450871212169557	0.819247364806253	1.56993416532329	0.765956942466009	1.11011417611142	1.17193871042525	-0.622470496260083	0.802190655855194	1.27527833584105	-1.13509559079256	-0.975736431682938	1.05098106605363	1.59840078652818	-0.992389664111047	-1.10333633281301	-0.528517201142251	0.499478662962964	0.924397903784577	0.786239871157132	-0.921033219246803	-0.966322237608841	-0.740618976333267	1.44956080767244	-1.56727476328562	0.512744925552059	-0.830599214684163	1.67483635383877	-0.991524272092336	0.509480732643496	-0.849970599823732
ACE Inhibitor Pathway WP554	1.01811470743214	-1.05807216291729	1.10592085332733	1.56646358701449	0.823663772231601	1.2681801953981	-0.843627375516044	1.02533029221974	-1.08408512298751	-0.805450451838886	0.861085440083334	1.16754290377686	1.47513219591154	-0.837430926389417	-0.894011644555108	1.40807506978254	-1.1826453788671	-1.16251672213336	1.45180890973907	0.837656415496936	0.885703063186436	1.56583051641356	-1.16039924863602	-1.27952088142215	0.720935459172891	0.952823349874886	-0.648672358169296	-0.788749200508581	0.799744837980596	-1.31915924573198	-1.05012579738067	-0.602101412999138	-1.03080391468945	-1.03514595366223	-0.791296451626149	1.52625060177117	1.40323798414748	1.54453896234802	1.2520802815973	0.858342590731535	-1.18019127624007	1.28140653578081	-0.701087578515195	-1.31262090332138	-1.03256162609793	1.50485033993655	-0.941157599459086	-0.923771723410295	-1.41090952943546	1.09304161043028	1.14690345044836	0.821805284634905	0.986299945473993	-1.09829654304783	1.40981826427879	1.40495960528677	-1.10245236748182	-0.608908742746977	-1.48115689728405	-0.574232131880858	-1.29306671192918	0.874257542040138	-0.976190403594749
AGE/RAGE pathway WP2324	1.29260522724818	-1.63647678698348	-0.441022265809496	1.19422166415769	-1.14878451153663	0.974504782570506	0.699416257845264	0.829769264187897	0.56134941910039	0.444795280578949	0.482691913588528	-0.377730731624365	1.10110128596618	-1.08357854126084	0.669643513613254	1.2985225153173	-0.739602568465019	-0.645719840679545	0.973753123514723	1.50889611436654	-1.58323559797604	1.41591394709915	0.520288096892991	1.29961321141947	1.12385758289229	1.40993152324709	1.1190850266227	1.28001323525779	1.67842196541719	0.796058996354355	-1.60391552519721	0.829930766183548	1.35738386282245	0.926020916652224	0.992345359941871	1.47527349414359	0.585248790845302	2.05354759382859	-0.678989835960053	-1.32721978101337	-1.09064919285665	0.663217151828404	0.463726415212345	-0.820971035143422	-1.02830604879213	1.51842665697303	1.2536375202352	0.532221608992313	-0.971593272995507	1.55284121363905	1.38856064650048	1.04913254631401	1.34794572597548	-1.41790374588338	-0.533799056106984	1.32872558870404	-1.39071071621143	1.08429399181287	-0.925053018376816	1.19240378999302	0.846867492725657	-1.11327612312491	-0.979431228857339
AMP-activated Protein Kinase (AMPK) Signaling WP1403	1.152730894439	-1.05648320620534	-0.929726205616428	-0.818678096773087	0.842654196341816	1.29851167640876	-0.79669148287024	-0.920070147865717	-0.552782287679136	0.789868809855844	-0.540110097845477	0.690895505014682	-0.700749505781989	-0.775047350919165	0.725015097930124	1.0972313662399	0.674012463694012	-0.74643360284807	1.12186382726086	0.839304375376836	0.588796518340996	0.729776632474736	-0.733301909881344	0.867708929579482	0.910539798444201	0.801363055141681	-0.659077671314697	-0.507825350305565	0.958978161371353	0.926440991651328	-0.946962980522271	-0.77537268881288	0.675791944495104	-0.765195209941796	-0.942704579300533	0.71230526522479	-0.633213871921578	0.80180858012894	1.06938969448808	-0.812672554552875	-0.853592710000786	0.709277409917898	0.822313869137723	-0.80938794436726	0.755983977206211	0.753444675975904	-0.951149456200931	0.661710599915051	-0.919713664624276	-0.778898722231916	0.885389911463936	0.954446009384235	-0.768651693826497	-0.731488846917564	-0.954130498909608	1.00996784302632	-0.84795810161352	0.898479748351515	-0.52756286590591	0.787217866106408	0.558901809655827	0.829699910610881	-1.15691446711307
ATM Signaling Network in Development and Disease  WP3878	-0.459501642298722	0.831295825310887	0.551011367819531	-1.25364669315794	-0.637841386200781	0.725207139545829	-0.56813779597519	0.552923634515887	-1.09902647028829	0.847427299903063	0.997107526000302	-0.407509727508522	1.11734799654698	-1.04465650684257	0.932362398447911	-1.33255639768494	1.21994180257389	-1.08403861680684	-0.842011608510489	-1.07884300519743	-1.03263255678069	-0.526147300782766	-0.83779486326667	0.903357718124404	1.24673093646416	0.893241117169668	-0.644970270554115	0.606084426473366	0.941794809556847	-0.876145206710851	-1.33965030655308	-0.56654020973502	0.568939336852591	0.709128791025064	-0.806226048482916	0.926592200522881	0.901768733692885	-0.691981122925956	1.01631744126476	-0.754404908231197	-0.492145283152824	0.948312299112834	-1.55035709823661	-0.706424815729987	0.544005454555871	1.01640998639875	-0.642577107250781	1.1635274494089	1.48489154597101	-0.757921775575896	0.994423167689497	-0.534268395333807	-0.839003829869348	-0.868657420464071	-1.09057240868983	1.31463350639424	-0.943343169133022	0.578025568268963	-1.00321066594307	1.04882217005263	-0.636578076763943	0.73694820149949	-1.34472631691659
ATM Signaling Pathway WP2516	-0.687723720711094	1.24260344798541	0.608329480272837	-1.13770554126071	-0.778535201734037	0.723091756988887	-0.927019433415101	-0.804953429354539	-1.41233511727703	0.792600838954415	1.25355260699895	-0.741242845856873	0.963224649611419	-1.61484787448504	1.3243835191613	-1.22867377620097	1.37541230563745	-1.12760980121319	-1.22434871942835	-0.848708307425295	-1.11010502633534	0.652310611851544	0.852399160820729	1.23988748054106	0.574409580233596	0.80370931933835	-0.571791037022414	0.920494146686351	-0.495959896140272	-0.886082712610629	-1.506657348496	-0.849924927329489	0.645128541168542	1.33580166363703	1.04792903488053	1.13482640616463	0.910085961672966	-0.618196739700568	0.800441585216512	-0.67922404513636	1.4965851445832	1.11768376409134	-1.18455543503459	0.521075967903021	-0.679293383631381	0.794364333767863	-1.22816036323279	0.97724371453973	1.33111596240626	-0.582759823676822	0.976580416563713	0.6781536787802	-0.757111597233467	-0.65444058046784	-1.45185167862547	1.08615820565213	-0.958449142796012	-0.462906654993326	-0.983024116856722	1.15889512270767	-0.52174432030496	0.61531753765219	-1.34298096072307
Adipogenesis WP236	1.68533139829913	-1.24237058045492	-1.04731014096109	0.888424638973002	-1.02809726586662	0.879201174285718	0.923463000384467	0.999089399104935	0.845784468474621	1.05164939803131	0.763812271491314	0.756445188480504	1.18559737938292	-1.20508467086504	1.28621858221342	1.71997049049522	-0.711954799792517	-0.915625519258742	1.46968886267851	1.56103386400097	-1.6530511983398	1.60662838740964	-0.885176768360838	1.48487537926683	1.38817709835859	1.39230699195427	-0.757079586670907	0.968164060196967	1.52084368320285	0.92571477963829	-1.61545971787811	1.13579005047035	1.26576961303768	-1.10734487229057	1.0440044651769	1.22246373727679	-1.08284654939244	1.83254167249705	0.687575573836647	-1.36244080987238	0.760748017427735	1.33827065321165	0.825482347106017	-0.906042838037647	-1.24023454199821	1.207619398353	1.13611817012255	0.774229065433365	-1.48424767651379	1.58849791960778	1.02615749778621	1.60381502688753	1.35156226513597	-0.810275929586825	-0.868280451076904	0.81196820134216	-1.71171401018089	1.2753683863961	-0.982829486346001	1.0752508605699	-0.947664198943604	-1.58723962475842	-1.58409983473816
Allograft Rejection WP2328	1.49315595119323	-1.56924480590189	1.04461855679821	1.2575904842285	-1.57727004465352	-0.799581057888495	-1.17136758668855	1.17092662127747	0.8873254425602	1.2246770679638	0.988205270823011	-0.775893763229128	-1.57470709075881	-0.968446060053647	-1.08684304228383	0.823984382812307	-1.22172881738531	-1.03264942903066	2.14733556157602	2.1687503728271	-2.29870319066424	0.92640594779381	1.69488579011015	2.20394275017703	-1.52422126416751	0.909843346420936	-0.798109654077822	1.33997088146034	2.3259007789509	0.900154479056118	-1.7190848483892	1.96815710116362	2.29602193935464	1.32244612006131	1.17744481868828	0.791623153553122	-1.43323624680176	2.25404268687128	-0.926629506108286	-1.74127712604473	-1.32050627461944	-1.87411188344244	-1.19617335131463	-1.32399853369083	-1.47440436037616	1.16764032472722	1.16642820294337	1.64792363608007	1.11210677378158	-0.869868976655961	1.46697945260863	1.28474655590955	1.70785648474007	-1.18685330438203	-1.53075711515848	-0.912666659697201	1.25689807346934	1.67141455822123	-1.39952978276585	2.06937254779776	1.2441867773193	-2.00437745470526	1.44916180681309
Alpha 6 Beta 4 signaling pathway WP244	0.643030476297432	0.698260216017554	-0.559719804019093	-1.02980621530089	0.756238896650964	-0.467648405720575	-0.480702271689906	-0.372234245067023	-0.443279010767587	0.839165739499814	0.443721515588828	-0.679956932207405	1.65341557051848	-1.09206752558839	1.14109456457718	1.2761418603867	-0.46695006116452	-0.723953423009006	-0.954348566532528	-0.522167707046697	-0.798223858399074	1.03367507878263	-0.888047739658711	0.972998069543865	1.3416062060056	0.678613547766598	-1.02466171588399	-0.625440703542519	1.42963835044963	0.84250722788204	-1.37379780242896	-0.727626078131517	-0.466269211373296	1.01659119474579	0.482079551366214	0.912621105663973	1.04223339431602	1.34403906110177	0.60572486171197	-1.03461697040551	-0.423978394626069	1.34846974899068	0.891359738648299	-1.15320935624273	-0.593299670147345	0.93584665828565	-0.678818186267464	-1.03583978413037	-0.616922729416214	0.987140777864089	0.72020346682876	0.819449846263888	-0.619871279352077	-1.19028405030335	-1.0531118280289	1.20287207789463	-1.54512560587459	-1.17329082520561	0.719239853296129	-0.779625395387164	-0.796802630393919	-0.54860891591881	-1.44278590673593
Alzheimers Disease WP2059	1.09471179527993	-0.81739075635735	1.09515041775502	-0.616356804966784	0.844052861426049	0.858909607188583	0.841634252932128	0.72830145924314	0.748143215408894	-0.637654812561192	-0.809786041777932	-0.725179844235131	0.968402328010798	-1.15806286343712	-0.74836287507806	1.53292624026544	-0.804409677600089	0.66907765013229	1.0711861093914	1.02551551756948	-0.78341228598575	0.684388850937989	0.699475715860904	1.3248311948615	1.21017031205857	1.13234043232283	-0.853176670155162	-0.611069149403488	0.810145718519792	0.82903593879513	-1.17701215553364	0.925558104472703	-0.892918704931744	-0.977090241348045	0.930444614173153	0.937587371538506	-0.801410818315551	0.924463548616786	1.10691101502201	1.10951761092458	-0.735138286809965	0.818144682170375	1.26055928101236	0.681070652342778	-1.02991713226367	1.0995903531495	0.83449400830589	-0.824402465042081	-1.24443504744593	1.29531631701029	1.1547431757928	0.805491002614595	1.11631496206434	-1.19990744610378	-0.778337766213895	1.02733677000927	-1.13947220738693	1.34383577664894	-0.793953637167571	1.0297661810477	-1.0482998888769	-0.988376398795602	-1.02563158679515
