pathway	pval
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	0.525803170938299
ACE Inhibitor Pathway WP554	0.589483071300842
AGE/RAGE pathway WP2324	0.809192242127122
AMP-activated Protein Kinase (AMPK) Signaling WP1403	0.0833217078683012
ATM Signaling Network in Development and Disease  WP3878	0.922887153237621
ATM Signaling Pathway WP2516	0.866734928049009
Adipogenesis WP236	0.652849852531712
Allograft Rejection WP2328	0.136224437635152
Alpha 6 Beta 4 signaling pathway WP244	0.745758782838639
Alzheimers Disease WP2059	0.345959438126391
Amino Acid metabolism WP3925	0.101343950173608
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	0.625596987723776
Amyotrophic lateral sclerosis (ALS) WP2447	0.791485009446282
Androgen receptor signaling pathway WP138	0.982414982457313
Angiogenesis WP1539	0.246243618743471
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	0.369682290812281
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	0.170717686084841
Apoptosis Modulation and Signaling WP1772	0.129438636953432
Apoptosis Modulation by HSP70 WP384	0.304030778693986
Apoptosis WP254	0.226267536494572
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	0.948903247391095
Aryl Hydrocarbon Receptor Pathway WP2873	0.943806388811074
Aryl Hydrocarbon Receptor WP2586	0.162488676644023
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680	0.489328971842606
BDNF-TrkB Signaling WP3676	0.892570682638677
BMP Signaling Pathway in Eyelid Development WP3927	0.976406614642652
B Cell Receptor Signaling Pathway WP23	0.0539051433129096
Bladder Cancer WP2828	0.708688555823516
Blood Clotting Cascade WP272	0.656153254779581
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380	0.435267712467358
Breast cancer pathway WP4262	0.208979584954353
Calcium Regulation in the Cardiac Cell WP536	0.0200480960952788
Cannabinoid receptor signaling WP3869	0.777574294304506
Canonical  and Non-canonical Notch signaling WP3845	0.435514327943274
Canonical and Non-Canonical TGF-B signaling WP3874	0.478429364570233
Cardiac Hypertrophic Response WP2795	0.397002264612879
Cardiac Progenitor Differentiation WP2406	0.405380756445276
Cell Cycle WP179	0.809008777811729
Cell Differentiation - Index expanded WP2023	0.190291607678388
Cells and Molecules involved in local acute inflammatory response  WP4493	0.0623759462581283
Chemokine signaling pathway WP3929	0.0372236510884953
Cholesterol Biosynthesis Pathway WP197	0.373152063877373
Chromosomal and microsatellite instability in colorectal cancer  WP4216	0.422644667873407
Ciliary landscape WP4352	0.717094157558553
Circadian rhythm related genes WP3594	0.0428226913074938
Codeine and Morphine Metabolism WP1604	0.921744374540159
Common Pathways Underlying Drug Addiction WP2636	0.440742729386447
Complement Activation WP545	0.118082081563898
Complement and Coagulation Cascades WP558	0.0334827061120313
Constitutive Androstane Receptor Pathway WP2875	0.268810593284506
Copper homeostasis WP3286	0.424392896359112
Corticotropin-releasing hormone signaling pathway WP2355	0.251418796920812
Cytokines and Inflammatory Response WP530	0.0363676429301568
Cytoplasmic Ribosomal Proteins WP477	0.73146396164963
DNA Damage Response (only ATM dependent) WP710	0.900488701751999
DNA Damage Response WP707	0.638755044456964
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	0.464682979479621
DNA IR-damage and cellular response via ATR WP4016	0.707054075067834
DNA Replication WP466	0.284724176921697
Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291	0.677291257345459
Development and heterogeneity of the ILC family WP3893	0.0937154285898887
