	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	0.447513105740954	0.835374940014649	1	0.962039988409157	0.966807402084082	1	1	1	1	1	1	1	0.401744719926538	0.326752519289382	0.43093339587242	1	0.593164485453347	1	0.643763213530655	0.884958868604913	1	0.614141414141414	1	0.579091740323072	0.481733655465261	0.655422188121773	1	0.326492537313433	0.428382774503173	1	0.144686428715467	0.292056074766355	0.947769953051643	1	1	0.193279809693726	1	0.445662403808891	1	1	1	0.56794766124047	1	1	0.776595744680851	0.103462837837838	0.982033255217052	1	1	1	0.885836887815407	1	0.811520780561028	0.97853987156366	1	0.365497076023392	0.122239900655827	1	1	0.130645763344532	1	1	0.929791271347249
ACE Inhibitor Pathway WP554	1	0.883637557120856	1	0.296108291032149	1	1	1	1	1	1	1	1	0.401744719926538	0.861055237505802	0.920745920745921	0.184081346423562	0.899590605472958	1	0.27116212338594	0.909315848076209	0.824104966262033	0.178594208444955	1	0.337084347120843	1	0.944919278252612	1	1	0.88360879306426	0.639269406392694	0.523955778272879	1	0.663915978994749	1	1	0.218814357163872	0.779549481144014	0.104387592788971	1	1	1	0.569217879848209	1	0.72856525666706	0.816214233308878	0.180412371134021	1	1	0.407213496218732	0.79912424740011	0.594556898648165	1	0.783813538841599	0.830479452054794	0.380398029175925	0.434355447541238	0.618934442463854	1	0.362983645791783	1	0.918351597468745	1	0.841966398944632
AGE/RAGE pathway WP2324	0.403225806451613	0.0700700700700701	1	0.606607243916242	0.676271186440678	1	1	1	1	1	1	1	0.834721380981224	0.457355940846507	1	0.210084033613445	1	1	0.863924050632911	0.0286791215994756	0.0169573643410853	0.178594208444955	1	0.232487031335667	0.508148148148148	0.263118328070967	1	0.380952380952381	0.0235952405029157	1	0.0164203612479475	1	0.149832775919732	1	1	0.122850122850123	1	0.0170283156563199	1	0.243137254901961	1	1	1	1	0.802498418722328	0.0837320574162679	0.368864799759109	1	0.93206364910545	0.173253031928059	0.251680868658541	0.759868421052632	0.193487494100991	0.184016824395373	1	0.33409698358152	0.132575757575758	0.774958537794724	1	0.37448347107438	1	0.61157904795708	0.82023905452592
AMP-activated Protein Kinase (AMPK) Signaling WP1403	0.585245901639344	0.853038363291228	1	1	1	1	1	1	1	1	1	1	1	1	1	0.527871762531115	1	1	0.515419265419265	0.955631399317406	1	1	1	0.943396226415094	0.927272727272727	1	1	1	0.670593244393982	1	0.675637425841221	1	1	1	1	1	1	0.969960655926022	1	1	1	1	1	1	1	1	1	1	1	1	0.921119698750689	0.941665647548001	1	1	1	0.896739130434783	1	1	1	1	1	1	0.549667631342414
ATM Signaling Network in Development and Disease  WP3878	1	1	1	0.606546854942234	1	1	1	1	1	1	1	1	0.837792171219375	0.53394355453852	0.920325101854162	0.201484623541888	0.730253353204173	1	0.987694831829368	0.516684136967156	0.612404235592641	1	1	0.877125101195295	0.363659563608524	0.996316965854619	1	1	0.688928372352285	1	0.143207855973813	1	1	1	1	0.890751899397432	1	1	1	1	1	0.993532780410742	0.472061657032755	1	1	0.676041103299081	1	0.870028409090909	0.248323013415893	1	0.804765886287625	1	0.998079196217494	1	0.770135214579659	0.365497076023392	0.834052693649771	1	0.963823757941405	0.669856459330144	1	1	0.295774647887324
ATM Signaling Pathway WP2516	1	0.639260424862313	1	0.726527570789866	1	1	1	1	0.731452455590387	1	1	1	1	0.0405906912014845	0.314197968343964	0.322428436615288	0.444550289751528	1	0.471713745981595	0.922482837528604	0.490980368367974	1	1	0.367356764564275	1	1	1	1	1	1	0.0527289944903581	1	1	0.888108134484946	1	0.587856562998628	1	1	1	1	1	0.674907644217107	1	1	1	1	0.481779323335507	1	0.407213496218732	1	0.834931877428557	1	1	1	0.186127167630058	0.705711647539902	0.807873090481786	1	1	0.441919191919192	1	1	0.315849468834603
Adipogenesis WP236	0.113341968911917	0.466153897379549	1	1	0.858667904386168	1	1	1	1	1	1	1	0.565930956423316	0.233742382502713	0.222222222222222	0.0320953690967446	1	1	0.136292834890966	0.0230634904945471	0.00737168011120706	0.0909090909090909	1	0.043050430504305	0.0580046403712297	0.126080691642651	1	1	0.0244798041615667	1	0.012190025076623	0.451321727917473	0.199647135295756	1	1	0.236846557266114	1	0.0175043760940235	1	0.1259559154296	1	0.143990596532471	1	1	0.333040550431855	0.192307692307692	0.375760467613026	1	0.16001828780432	0.068870523415978	0.753448045488962	0.0354609929078014	0.143184421534937	1	1	1	0.054945054945055	0.280952796440101	1	0.539403100085949	1	0.0626342161775233	0.0607638888888889
Allograft Rejection WP2328	0.113341968911917	0.0700700700700701	1	0.42311661506708	0.117845117845118	1	1	1	1	1	1	1	0.165094339622642	0.6856320643506	0.630424502058529	0.959360511318967	0.76386404293381	1	0.0571428571428571	0.0139508928571429	0.00737168011120706	0.849924585218703	0.137362637362637	0.0131480090157776	0.0787091696182605	1	1	0.257352941176471	0.0188323917137476	1	0.00822368421052632	0.191570881226054	0.0129284869976359	0.831071913161465	1	1	0.601503759398496	0.0170283156563199	1	0.0291084497671324	1	0.0551963412710929	1	0.37940379403794	0.0804914908995335	0.289184499710816	0.392125480153649	0.225515463917526	0.683794080296962	1	0.121925076370652	0.365344467640919	0.0142857142857143	0.563122262046993	0.0551963412710929	1	0.257598473490527	0.0260921425376472	0.286415711947627	0.130645763344532	0.827586206896552	0.0447341513292434	0.127923976608187
Alpha 6 Beta 4 signaling pathway WP244	1	1	1	0.88961510530138	1	1	1	1	1	1	1	1	0.218476903870162	0.491123177353426	0.545978713741287	0.3003300330033	1	1	0.881814017407238	1	0.957889788105712	0.584385226741468	1	0.786544999105386	0.31655110039192	1	1	1	0.0887874175545408	1	0.158303795598878	1	1	1	1	0.911075314002895	1	0.135451013173579	1	0.801712254226221	1	0.414551607445009	1	0.961180413330851	1	0.803896721051798	1	1	1	0.923420376133135	1	1	1	0.648148148148148	0.837140472687539	0.554411531759861	0.142339544513458	0.62925909815862	1	1	1	1	0.215100965759438
Alzheimers Disease WP2059	0.689968913488513	1	1	1	1	1	1	1	1	1	1	1	1	0.347533005146565	1	0.0451030927835052	1	1	0.625190297371359	0.61012812690665	1	1	1	0.163877867862688	0.355323142933762	0.655422188121773	1	1	1	1	0.282319438307065	1	0.943346173028152	1	1	0.905692926969523	1	0.795891948861293	1	0.604112728030235	1	1	0.963114754098361	1	0.799667957941339	0.488915882174309	1	1	0.482527123419049	0.325371853546911	0.523320023787274	1	0.552133413461538	0.538915361924212	1	0.827216104993883	0.439304285458132	0.218945487042002	1	0.669856459330144	1	0.863294314381271	0.75838063018984
Amino Acid metabolism WP3925	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0648093594815251	1	0.953182719422938	1	1	0.131403303854497	1	1	1	0.872737719046251	0.919746173945502	0.966315152361664	1	1	1	1	0.70101176956432	1	0.952003342456876	1	1	1	1	1	1	0.382868421678438	1	1	1	1	1	0.596087456846951	0.561273961363467	0.990396927016645	1	1	1	0.908873475245157	1	1	0.537532851511169	0.634844868735084	1	1
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	0.919697288206853	0.661831113118085	1	0.860314629350162	0.828723493420501	1	1	1	1	1	1	1	1	0.377191707836869	1	0.90702947845805	0.765505389782846	1	0.987694831829368	0.475988999365348	0.086349057951255	1	1	0.0627302598825052	0.141533710756562	0.986162585819308	1	0.492803504380476	0.0679227973607142	0.919746173945502	0.106292517006803	0.723477349481775	0.283499190002314	0.499592169657423	1	0.724946090114629	0.779549481144014	0.128361858190709	1	0.474787164374591	1	0.950061692317683	1	1	0.113452188006483	0.488915882174309	1	0.847720780027326	0.895937673900946	1	0.180197268588771	0.178216813483375	0.86509486134781	0.119159077368287	0.315178238728108	0.909517356405712	0.101788570597644	0.671265614331044	0.286415711947627	0.33003300330033	1	1	0.219796650717703
Amyotrophic lateral sclerosis (ALS) WP2447	0.737044497344809	0.61086529006883	1	0.794956140350877	0.966807402084082	1	0.619249823071479	1	1	1	1	1	1	0.4178145087236	0.507434505546377	0.957063274638205	1	1	0.395973543745649	1	0.915519877675841	0.417156083742141	1	0.407705489342858	0.574625546209997	0.870953694295253	1	1	0.541462543882267	1	0.0388265746333046	1	0.639631975296972	1	1	0.140607424071991	0.672430355427474	1	1	1	1	0.569217879848209	1	1	0.444849933933178	0.91495167472088	1	1	1	1	0.735227920655403	0.759868421052632	0.562220931498893	1	0.79945180447693	0.828561990750936	0.343391801670296	0.928945835760046	1	1	0.679307255897283	1	0.929791271347249
Androgen receptor signaling pathway WP138	1	1	1	1	1	1	1	1	1	1	1	1	0.711924739384694	1	0.659133709981168	0.928040891302612	1	1	1	0.596088341940446	0.411466811358293	1	1	1	0.521069646098004	0.986162585819308	1	1	0.153369063268952	1	0.287297840008683	1	1	1	1	0.686730258391693	1	0.214655810510733	1	1	1	0.913838120104439	1	1	1	1	1	1	1	1	1	1	1	1	1	0.865444055223573	0.212121212121212	1	1	1	1	1	0.875562089242477
Angiogenesis WP1539	0.16025641025641	0.665665665665666	1	0.581907090464548	0.229485624364817	1	1	1	1	1	1	1	0.330438066465257	0.149069381149112	0.237449118046133	0.0501414705777014	1	1	0.881814017407238	0.0343853616603217	0.0741721854304636	0.0878624325342036	1	0.5142748382185	0.176956935522246	0.600116245277536	1	0.80609837084764	0.0188323917137476	1	0.00822368421052632	1	0.232777010917305	1	1	0.111287758346582	1	0.0170283156563199	1	0.884236150887816	1	0.131325042881647	1	1	0.0305250305250305	0.0989259468626343	0.854270231537463	1	0.85711638250556	0.0962067069818582	0.309022456187113	0.0622388192406864	0.107189342316821	0.701834796682756	0.711487927016709	0.94095109308091	0.054945054945055	0.783066015806602	0.413329888917592	0.519177791905065	1	1	0.0980209111277072
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	1	1	1	1	1	1	1	1	1	1	1	1	0.506024096385542	1	0.992337164750958	0.0936179318461456	1	1	0.0907911802853437	0.263890499942002	1	0.265923768519691	1	1	0.162412993039443	1	1	0.257352941176471	0.64844639267637	1	0.195281364578352	0.196408529741863	1	1	1	0.114829396325459	1	0.0864330915264701	1	1	1	0.810586238596987	1	1	1	0.58404716876182	1	0.336538461538462	0.56431702524311	0.630081300813008	1	0.848617733384378	1	1	0.27891621129326	0.365497076023392	0.054945054945055	1	1	0.35967526461823	0.531724754244862	1	1
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	1	0.883637557120856	1	1	0.179425837320574	1	1	1	1	1	1	1	1	0.137254901960784	0.507434505546377	0.88775033884674	0.859090909090909	1	0.292438379055842	0.100384328572248	0.00737168011120706	0.229466399562921	1	0.0354717746022094	0.768516495521084	0.870953694295253	1	0.257352941176471	0.028207607994842	0.738129669799952	0.0164203612479475	0.221483942414175	0.292756582949509	1	1	1	0.779549481144014	0.0170283156563199	1	0.410205017580215	1	0.569217879848209	1	0.72856525666706	0.334534928177399	0.174098782771536	1	1	0.887814683641237	1	0.52090942293645	0.759868421052632	0.101456194795894	1	0.903934525443171	0.780294857964761	0.0707213578500707	0.966005480882161	1	0.130645763344532	1	0.254737334615685	1
Apoptosis Modulation and Signaling WP1772	0.418006430868167	0.644438217988232	1	0.342130987292278	0.179425837320574	1	1	1	1	1	1	1	1	0.0236742424242424	0.142045454545455	0.167871458426119	1	1	0.615490480923618	0.0139508928571429	0.00737168011120706	0.0878624325342036	1	0.0441919191919192	1	0.531790556334736	0.380710659898477	0.388457269700333	0.0301880282904951	0.0672043010752688	0.00822368421052632	0.444444444444444	0.0129284869976359	1	1	0.346595932802829	1	0.0170283156563199	1	0.0436463399426362	1	1	1	1	0.498680307383272	0.113636363636364	0.32877570191003	1	0.443866943866944	0.487849779086892	0.211622438696675	1	0.114591291061879	1	1	0.190631808278867	0.456552277744331	0.436053902873125	0.447850022318107	0.5011634150707	1	0.756290908177238	0.82023905452592
Apoptosis Modulation by HSP70 WP384	1	1	1	1	0.763055299066379	1	1	1	1	1	1	1	1	1	1	1	1	1	0.503018108651911	0.441380625880907	0.175879396984925	0.95856524427953	1	0.505424063116371	1	1	1	1	0.197862061876863	0.653785534995038	0.587745160876811	0.952088452088452	0.35411481414031	1	1	0.995843989769821	1	0.128361858190709	1	0.219094871557081	1	1	1	1	1	0.306901293369736	0.337295213620302	0.636363636363636	1	1	0.79203382060816	1	0.576465564570243	1	1	0.705711647539902	0.91803008739223	0.928945835760046	1	0.429950277859023	1	1	1
Apoptosis WP254	1	1	1	1	0.570184532448683	1	1	1	1	1	1	1	1	0.140549705514903	0.383029624351013	0.606902071106369	1	1	0.627690100430416	0.0353535353535354	0.00737168011120706	0.156075808249721	1	0.0131480090157776	0.969166480864806	1	1	0.923734983618493	0.0188323917137476	0.767901522211867	0.012190025076623	1	0.0129284869976359	1	1	1	0.704371963913949	0.0170283156563199	1	0.120399036807706	1	1	1	1	0.461691086691087	0.303308823529412	0.829834214146094	0.870028409090909	1	1	0.49934296977661	0.623179965055329	0.53180876371729	1	1	0.873380020928922	1	1	1	0.369730145011044	1	0.252497225305216	0.998185117967332
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	1	1	1	0.296108291032149	0.204618532592809	1	1	1	1	1	1	1	1	0.367396210570514	0.940975717547693	0.119553018103743	0.193477059148701	1	1	0.925572519083969	0.210055563084429	0.627095798540338	1	0.858062011204171	0.359527478171546	0.586923076923077	1	0.492803504380476	0.363168046094875	1	0.415713922764228	0.971981155467394	0.227519856278366	0.831071913161465	1	1	1	0.801333897419307	1	1	1	0.76043453401944	1	1	0.0541348731697257	0.583530943413772	0.164165103189493	0.706063842411297	0.168228791155972	1	0.735227920655403	0.375623622229957	0.576465564570243	0.379918588873813	0.16904129437334	0.94095109308091	0.621043177287564	1	1	0.882620246085011	1	0.594305120167189	0.304818535369461
