	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	0.101010101010101	0.326446280991736	0.389048991354467	0.557983193277311	0.466124661246612	0.137044967880086	0.984	0.991379310344828	0.203753351206434	1	0.810590631364562	0.964705882352941	0.046195652173913	0.147505422993492	0.12797619047619	0.991253644314869	0.069620253164557	0.954128440366973	0.315656565656566	0.687739463601533	1	0.39119170984456	0.25668449197861	0.318181818181818	0.199575371549894	0.243107769423559	0.972014925373134	0.041044776119403	0.286396181384248	0.79826464208243	0.0719298245614035	0.0456140350877193	0.769047619047619	1	0.742857142857143	0.0325814536340852	0.846867749419954	0.283950617283951	0.25763358778626	0.950286806883365	0.751937984496124	0.147540983606557	0.289108910891089	0.484848484848485	0.388297872340426	0.0189189189189189	0.488210818307906	0.31331592689295	0.99647266313933	0.997706422018349	0.587183308494784	0.79045643153527	0.535603715170279	0.506044905008636	0.824417009602195	0.0608108108108108	0.0253521126760563	0.992836676217765	0.722222222222222	0.0109489051094891	0.455882352941176	0.997983870967742	0.648780487804878
ACE Inhibitor Pathway WP554	0.450381679389313	0.407407407407407	0.34472049689441	0.0285035629453682	0.71875	0.151785714285714	0.6875	0.42093023255814	0.34020618556701	0.784023668639053	0.67342799188641	0.278829604130809	0.0538461538461538	0.691304347826087	0.607692307692308	0.0543478260869565	0.251885369532428	0.263551401869159	0.0658536585365854	0.711864406779661	0.61925601750547	0.0398009950248756	0.24468085106383	0.138686131386861	0.880434782608696	0.523235800344234	0.936802973977695	0.772222222222222	0.754854368932039	0.133333333333333	0.393715341959335	0.960507757404795	0.407834101382488	0.388625592417062	0.789473684210526	0.0412621359223301	0.0911161731207289	0.0485436893203883	0.195357833655706	0.640973630831643	0.248764415156507	0.159144893111639	0.903292181069959	0.143631436314363	0.438423645320197	0.05	0.577363896848137	0.572890025575448	0.0697674418604651	0.335632183908046	0.275650842266462	0.698	0.495562130177515	0.325663716814159	0.0952380952380952	0.100917431192661	0.330687830687831	0.977635782747604	0.0477064220183486	0.960651289009498	0.142523364485981	0.628336755646817	0.51
AGE/RAGE pathway WP2324	0.0714285714285714	0.0016750418760469	1	0.135838150289017	0.193220338983051	0.476614699331849	0.996309963099631	0.832835820895522	0.997191011235955	1	1	1	0.244897959183673	0.277027027027027	1	0.0710526315789474	0.923809523809524	0.998181818181818	0.493670886075949	0.00663716814159292	0.00465116279069767	0.0391459074733096	1	0.0870165745856354	0.217777777777778	0.0264385692068429	0.25531914893617	0.0531914893617021	0.00568181818181818	0.899817850637523	0.00483091787439614	0.884615384615385	0.0492307692307692	0.599690880989181	0.48471615720524	0.012987012987013	0.997237569060773	0.00338983050847458	0.995762711864407	0.0590476190476191	0.309090909090909	0.997524752475248	1	0.925531914893617	0.426470588235294	0.0114068441064639	0.0853658536585366	1	0.519292604501608	0.0144230769230769	0.05249343832021	0.33	0.0503067484662577	0.0184049079754601	0.998830409356725	0.0510204081632653	0.0303030303030303	0.316625916870416	0.601362862010221	0.128205128205128	0.761750405186386	0.242884250474383	0.478082191780822
AMP-activated Protein Kinase (AMPK) Signaling WP1403	0.167213114754098	0.346089850249584	0.635514018691589	0.823619631901841	0.783821478382148	0.0855855855855856	0.865047233468286	0.614457831325301	1	0.844362745098039	1	0.976744186046512	0.947712418300654	0.924829157175399	1	0.298804780876494	1	0.963436928702011	0.217948717948718	0.793103448275862	1	0.98932384341637	0.99644128113879	0.714285714285714	0.660633484162896	0.844615384615385	0.996587030716723	0.998898678414097	0.519230769230769	0.58886894075404	0.548231511254019	0.868360277136259	0.996937212863706	0.968208092485549	0.58695652173913	0.986928104575163	0.998435054773083	0.879003558718861	0.294444444444444	0.845864661654135	0.739916550764951	0.982630272952854	0.824074074074074	0.915730337078652	0.976	0.973484848484849	0.575178997613365	0.985207100591716	0.620967741935484	0.923857868020305	0.660574412532637	0.534136546184739	0.98876404494382	0.93953488372093	0.560185185185185	0.438502673796791	0.80565371024735	0.671149144254279	1	0.963636363636364	1	0.858649789029536	0.215155615696888
ATM Signaling Network in Development and Disease  WP3878	1	0.799539170506912	0.995967741935484	0.131707317073171	0.994082840236686	0.957894736842105	0.997101449275362	1	0.275	0.720050441361917	0.442885771543086	1	0.251724137931034	0.347826086956522	0.593360995850622	0.0662020905923345	0.127272727272727	0.316071428571429	0.743401759530792	0.312962962962963	0.404186795491143	0.994038748137109	0.811074918566775	0.632986627043091	0.123644251626898	0.634768740031898	0.989285714285714	1	0.541353383458647	0.68141592920354	0.0703764320785597	0.997587454764777	1	0.944625407166124	0.873925501432665	0.583783783783784	0.623342175066313	0.972644376899696	0.407619047619048	0.90138067061144	1	0.545023696682464	0.0124223602484472	0.978902953586498	1	0.415282392026578	0.976744186046512	0.232980332829047	0.0269607843137255	0.900514579759863	0.478260869565217	1	0.804166666666667	0.717665615141956	0.323456790123457	0.0657894736842105	0.552380952380952	0.987261146496815	0.421328671328671	0.36	0.992518703241895	0.937759336099585	0.059593023255814
ATM Signaling Pathway WP2516	0.948091603053435	0.149769585253456	0.985074626865672	0.253225806451613	0.876436781609195	0.945175438596491	0.578787878787879	0.790625	0.0272727272727273	0.799489144316731	0.12770137524558	0.921985815602837	0.511627906976744	0.00672645739910314	0.0745098039215686	0.141868512110727	0.0425531914893617	0.275142314990512	0.176555716353111	0.727443609022556	0.293185419968304	0.988603988603989	0.699853587115666	0.162686567164179	1	0.80650406504065	1	0.617834394904459	1	0.658064516129032	0.0198019801980198	0.726600985221675	0.98531810766721	0.0752351097178683	0.375	0.226158038147139	0.61968085106383	0.987951807228916	0.854616895874263	0.974358974358974	0.0346820809248555	0.242966751918159	0.174736842105263	0.997371879106439	0.961318051575931	0.86833855799373	0.147286821705426	0.486902927580894	0.0654911838790932	1	0.511888111888112	0.991471215351812	0.912	0.974723538704581	0.0264817150063052	0.2625	0.512422360248447	1	0.481349911190053	0.166666666666667	1	1	0.0732064421669107
Adipogenesis WP236	0.00409836065573771	0.0625978090766823	0.308270676691729	0.801470588235294	0.341013824884793	0.795061728395062	0.675105485232067	0.463503649635036	0.841352405721717	0.383771929824561	0.987628865979381	0.972307692307692	0.0892857142857143	0.0881542699724518	0.0380952380952381	0.001194743130227	0.97450110864745	0.670818505338078	0.0153846153846154	0.00426439232409382	0.00141442715700141	0.00980392156862745	0.871428571428571	0.00861008610086101	0.00464037122969838	0.00864553314121038	0.991666666666667	0.542857142857143	0.00625	0.670349907918969	0.00288600288600289	0.121212121212121	0.0682451253481894	0.169014084507042	0.357992073976222	0.0466926070038911	0.273121387283237	0.00465116279069767	1	0.0223880597014925	1	0.0166204986149584	0.907964601769911	0.829787234042553	0.0942028985507246	0.0549450549450549	0.0891089108910891	0.956639566395664	0.00594353640416048	0.00255754475703325	0.414779499404052	0.00191570881226054	0.0343642611683849	0.896600566572238	0.760729613733906	0.97029702970297	0.00460829493087558	0.0578420467185762	0.508527131782946	0.25	0.619047619047619	0.0037243947858473	0.00241254523522316
Allograft Rejection WP2328	0.00354609929078014	0.00165289256198347	0.396654719235364	0.0685358255451713	0.00740740740740741	0.921985815602837	0.188755020080321	0.133116883116883	0.691798941798942	0.112529002320186	0.482617586912065	0.96195652173913	0.00252844500632111	0.494199535962877	0.309808612440191	0.819567979669631	0.141860465116279	0.367311072056239	0.00346020761245675	0.0022271714922049	0.00148148148148148	0.631372549019608	0.00131926121372032	0.0012987012987013	0.00742115027829314	0.66566265060241	0.900337837837838	0.0185185185185185	0.00293255131964809	0.680733944954128	0.00152905198776758	0.00943396226415094	0.00146198830409357	0.04860088365243	0.161904761904762	0.963898916967509	0.0121212121212121	0.00418410041841004	0.62144420131291	0.00185528756957328	0.05	0.00161812297734628	0.119266055045872	0.0289855072463768	0.00873907615480649	0.109090909090909	0.0979020979020979	0.00141442715700141	0.226628895184136	0.767479674796748	0.0163727959697733	0.06640625	0.00120627261761158	0.14962962962963	0.00223214285714286	0.656470588235294	0.0840108401084011	0.00117647058823529	0.0211726384364821	0.0125	0.115727002967359	0.00190839694656489	0.0126050420168067
Alpha 6 Beta 4 signaling pathway WP244	0.986187845303867	0.96037296037296	0.98932384341637	0.411475409836066	0.862481315396114	1	0.998468606431853	1	1	0.735723771580345	1	0.95662100456621	0.00974025974025974	0.309417040358744	0.234432234432234	0.128712871287129	1	0.935185185185185	0.541856925418569	1	0.794453507340946	0.36231884057971	0.657971014492754	0.501543209876543	0.0967741935483871	0.954545454545455	0.399299474605954	0.962469733656174	0.037037037037037	0.728119180633147	0.0827702702702703	0.878260869565217	1	0.450079239302694	1	0.614325068870523	0.376923076923077	0.0708215297450425	0.995991983967936	0.410018552875696	1	0.0888324873096447	0.651252408477842	0.225190839694656	0.995614035087719	0.542056074766355	0.951315789473684	0.382271468144044	0.976666666666667	0.471395881006865	0.908309455587393	0.781316348195329	0.996268656716418	0.2048	0.379001280409731	0.168582375478927	0.0341614906832298	0.217213114754098	0.9490022172949	0.81358024691358	0.834605597964377	1	0.0313432835820895
Alzheimers Disease WP2059	0.214285714285714	0.864462809917355	0.295843520782396	0.997014925373134	0.795610425240055	0.777777777777778	0.876494023904382	0.980392156862745	0.950335570469799	1	0.877470355731225	0.986737400530504	0.513888888888889	0.162844036697248	0.912322274881517	0.00257731958762887	0.833528722157093	0.997674418604651	0.298305084745763	0.402684563758389	0.9150521609538	1	0.994659546061415	0.0552631578947368	0.114718614718615	0.226726726726727	0.780405405405405	0.996794871794872	0.931818181818182	0.833955223880597	0.176651305683564	0.663636363636364	0.762762762762763	0.49185667752443	0.619777158774373	0.608108108108108	0.897709923664122	0.630597014925373	0.245210727969349	0.238193018480493	0.958791208791209	0.912928759894459	0.0938053097345133	0.967213114754098	0.41497461928934	0.253521126760563	0.957746478873239	0.901360544217687	0.113385826771654	0.0594315245478036	0.222784810126582	0.924901185770751	0.252403846153846	0.140117994100295	0.888255416191562	0.347826086956522	0.179487179487179	0.0365135453474676	0.908789386401327	0.362637362637363	0.321739130434783	0.452471482889734	0.407358738501971
Amino Acid metabolism WP3925	1	0.938741721854305	0.914043583535109	0.995614035087719	1	0.905963302752294	0.49933598937583	0.75	1	0.90834312573443	0.981744421906694	1	1	0.992970123022847	0.912322274881517	0.89769820971867	0.998837209302326	0.990654205607477	1	0.0201834862385321	0.925696594427245	0.792503346720214	0.295081967213115	1	0.0195227765726681	1	0.920595533498759	0.90625	0.733846153846154	0.350649350649351	0.91937984496124	0.980769230769231	0.984567901234568	0.768987341772152	0.975069252077562	0.33448275862069	0.387931034482759	0.854082998661312	0.26338329764454	1	0.24	0.551813471502591	1	0.986111111111111	0.11704834605598	0.997445721583653	1	0.754266211604096	0.810852713178295	0.713924050632911	0.281012658227848	0.173570019723866	0.777376654632972	0.609720176730486	0.991228070175439	0.975	0.67037037037037	0.930669800235018	0.867986798679868	0.244444444444444	0.043859649122807	0.989473684210526	0.869198312236287
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	0.373134328358209	0.162271805273834	0.914503816793893	0.363790186125212	0.291105121293801	0.962894248608534	0.70952380952381	0.821428571428571	0.593851132686084	0.851632047477745	0.967611336032389	0.366359447004608	0.939153439153439	0.198689956331878	0.814705882352941	0.71841704718417	0.159057437407953	0.856617647058823	0.739130434782609	0.276073619631902	0.0318021201413428	0.948453608247423	0.8576	0.0148760330578512	0.023454157782516	0.614238410596026	0.402234636871508	0.0955882352941176	0.0259433962264151	0.356877323420074	0.0446428571428571	0.256317689530686	0.116319444444444	0.0114192495921697	0.100869565217391	0.368686868686869	0.0865724381625442	0.0660146699266504	0.483558994197292	0.16988416988417	0.60327868852459	0.480459770114943	0.646938775510204	0.795252225519288	0.0162074554294976	0.25765306122449	0.555090655509066	0.201030927835052	0.46031746031746	0.844393592677345	0.0288315629742033	0.0164271047227926	0.618556701030928	0.0103092783505155	0.0735502121640736	0.467796610169492	0.0195530726256983	0.243626062322946	0.0207852193995381	0.0919540229885057	0.346246973365617	0.746588693957115	0.0345394736842105
Amyotrophic lateral sclerosis (ALS) WP2447	0.267441860465116	0.125663716814159	0.437241379310345	0.298850574712644	0.461305007587253	0.993520518358531	0.0146627565982405	0.727129337539432	0.590909090909091	1	0.994117647058824	0.997601918465228	0.672297297297297	0.234234234234234	0.188461538461538	0.811188811188811	0.806833114323259	0.280534351145038	0.134796238244514	0.942184154175589	0.730462519936204	0.195467422096317	0.963503649635037	0.192537313432836	0.272536687631027	0.393203883495146	1	0.670263788968825	0.392947103274559	0.757407407407407	0.0133779264214047	0.601476014760148	0.38752052545156	0.983606557377049	0.759750390015601	0.018716577540107	0.0388978930307942	0.992435703479576	0.441532258064516	0.994117647058824	0.708588957055215	0.159468438538206	1	0.855263157894737	0.14616497829233	0.703225806451613	0.905006418485237	0.983076923076923	1	0.715596330275229	0.394922425952045	0.325581395348837	0.261103633916555	0.699212598425197	0.351758793969849	0.359832635983264	0.128526645768025	0.432147562582345	0.919168591224019	0.995169082125604	0.052896725440806	0.997894736842105	0.652430044182622
Androgen receptor signaling pathway WP138	1	0.9675	1	0.748169838945827	0.813261163734777	0.986238532110092	1	0.993548387096774	0.25609756097561	1	0.997971602434077	0.546703296703297	0.154589371980676	0.995381062355658	0.333333333333333	0.753494282083863	1	0.485008818342152	1	0.387308533916849	0.228070175438596	0.906976744186046	1	1	0.226293103448276	0.611532625189681	1	1	0.0762463343108504	1	0.182228915662651	0.866220735785953	0.972222222222222	0.982378854625551	0.996153846153846	0.321428571428571	0.992492492492492	0.118367346938776	1	0.897247706422018	1	0.449086161879896	1	0.645833333333333	0.91540404040404	1	1	1	0.985795454545455	0.943298969072165	0.987421383647799	0.996101364522417	1	0.983847283406755	0.802469135802469	0.394736842105263	0.0606060606060606	0.866666666666667	1	0.99676724137931	0.462235649546828	1	0.560052219321149
Angiogenesis WP1539	0.0164835164835165	0.171171171171171	0.123333333333333	0.124694376528117	0.0308166409861325	0.944812362030905	0.951293759512938	0.625304136253041	0.987692307692308	0.0951048951048951	0.735470941883767	0.946086956521739	0.0302114803625378	0.0451467268623025	0.0441640378548896	0.00587371512481645	0.945070422535211	0.587336244541485	0.522546419098143	0.0082815734989648	0.0264900662251656	0.00549450549450549	0.572602739726027	0.271704180064309	0.0364025695931477	0.187808896210873	0.867724867724868	0.213592233009709	0.00247524752475248	0.551789077212806	0.00170068027210884	0.8	0.0864600326264274	0.471177944862155	0.558587479935794	0.0103896103896104	0.723076923076923	0.00267379679144385	0.696465696465696	0.510330578512397	0.540412044374009	0.0119331742243437	0.758555133079848	0.734006734006734	0.00156985871271586	0.0172413793103448	0.391304347826087	0.529562982005141	0.325704225352113	0.00464037122969838	0.0759312320916905	0.00408997955010225	0.0226628895184136	0.24263431542461	0.274431057563588	0.536585365853659	0.00284090909090909	0.322175732217573	0.0578661844484629	0.231404958677686	0.49496644295302	0.673728813559322	0.00625978090766823
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	0.947368421052632	0.968304278922345	0.154411764705882	1	1	0.94390243902439	1	0.988847583643123	1	1	0.788537549407115	1	0.072289156626506	0.926829268292683	0.74	0.017921146953405	1	1	0.00778210116731518	0.111587982832618	1	0.08	0.217821782178218	0.877928483353884	0.0301624129930394	1	0.942211055276382	0.0294117647058824	0.487261146496815	1	0.110473457675753	0.0151515151515152	1	0.726950354609929	0.551181102362205	0.0116279069767442	1	0.0380952380952381	1	0.975746268656716	1	0.365921787709497	1	1	0.986666666666667	0.337078651685393	1	0.00772200772200772	0.143497757847534	0.223650385604113	1	0.425572519083969	0.995418098510882	1	0.0540540540540541	0.0606060606060606	0.00476190476190476	1	1	0.113207547169811	0.020066889632107	0.998098859315589	0.932121212121212
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	0.480938416422287	0.376910016977929	1	1	0.0194805194805195	0.963519313304721	0.99344262295082	1	0.771523178807947	0.99876390605686	1	0.966836734693878	0.757246376811594	0.04	0.186147186147186	0.675202156334232	0.215	0.970534069981584	0.0718562874251497	0.0335570469798658	0.00158227848101266	0.0622837370242214	0.932659932659933	0.00699300699300699	0.43695652173913	0.4	0.820379965457686	0.0252100840336134	0.00797872340425532	0.221729490022173	0.00492610837438424	0.0253164556962025	0.12379421221865	0.995290423861852	0.263929618768328	0.913544668587896	0.062992125984252	0.0032258064516129	0.982646420824295	0.132437619961612	0.488888888888889	0.155612244897959	0.858800773694391	0.142201834862385	0.0974930362116992	0.0467625899280576	0.972972972972973	1	0.384364820846906	0.677966101694915	0.22027027027027	0.32719836400818	0.0203821656050955	0.968798751950078	0.441636582430806	0.300970873786408	0.00958466453674121	0.535443037974684	0.50087260034904	0.0072992700729927	0.505263157894737	0.0523255813953488	0.816438356164384
Apoptosis Modulation and Signaling WP1772	0.0830324909747292	0.152823920265781	1	0.0438871473354232	0.0190114068441065	0.917431192660551	1	0.968208092485549	0.982804232804233	0.996515679442509	0.992141453831041	0.453296703296703	0.763285024154589	0.0023094688221709	0.00617283950617284	0.048284625158831	0.719424460431655	0.87816091954023	0.279310344827586	0.00218818380743982	0.00146198830409357	0.00775193798449612	1	0.00904392764857881	0.842672413793103	0.141122913505311	0.0228426395939086	0.0566037735849057	0.00879765395894428	0.00223214285714286	0.00150602409638554	0.114285714285714	0.00146198830409357	0.581497797356828	0.827493261455526	0.0857142857142857	1	0.00408163265306122	1	0.0036697247706422	0.475	1	0.986238532110092	0.96037296037296	0.190656565656566	0.0219298245614035	0.0629370629370629	0.509887005649718	0.0938461538461538	0.13659793814433	0.0389937106918239	0.990253411306043	0.0252100840336134	0.669603524229075	0.626262626262626	0.0131578947368421	0.196969696969697	0.117370892018779	0.0703764320785597	0.216216216216216	1	0.331428571428571	0.477806788511749
Apoptosis Modulation by HSP70 WP384	0.595360824742268	0.899239543726236	0.991304347826087	0.97972972972973	0.235457063711911	0.878205128205128	0.994579945799458	0.449029126213592	0.915335463258786	1	0.976699029126214	0.992920353982301	0.996850393700787	0.943355119825708	0.921921921921922	0.993948562783661	0.795527156549521	0.570383912248629	0.204081632653061	0.248434237995825	0.075043630017452	0.805194805194805	0.964769647696477	0.262820512820513	1	0.996621621621622	0.466809421841542	0.630705394190871	0.104018912529551	0.138228941684665	0.451724137931034	0.478764478764479	0.173010380622837	1	0.980246913580247	0.723350253807107	0.294827586206897	0.065989847715736	0.997929606625259	0.0513307984790875	1	0.662608695652174	0.599593495934959	0.48	1	0.121883656509695	0.0742049469964664	0.08	0.976525821596244	0.75	0.459379615952733	0.745798319327731	0.277056277056277	0.986301369863014	0.770491803278688	0.26797385620915	0.687211093990755	0.451202263083451	0.509803921568627	0.159695817490494	1	0.783037475345168	0.896774193548387
Apoptosis WP254	0.506666666666667	0.998324958123953	1	1	0.14760147601476	0.889908256880734	0.944664031620553	0.867986798679868	1	1	1	1	0.995305164319249	0.0417633410672854	0.102564102564103	0.367609254498715	0.972027972027972	0.474605954465849	0.303754266211604	0.00883002207505519	0.00147058823529412	0.026615969581749	0.78042328042328	0.00130718954248366	0.711645101663586	0.906766917293233	0.940594059405941	0.32258064516129	0.0028735632183908	0.243534482758621	0.00307692307692308	0.561904761904762	0.00148367952522255	0.421511627906977	0.937845303867403	0.993127147766323	0.0442748091603053	0.00387596899224806	1	0.019047619047619	0.992805755395683	1	0.943693693693694	1	0.154336734693878	0.117117117117117	0.358620689655172	0.231416549789621	0.967289719626168	0.992248062015504	0.199491740787802	0.211881188118812	0.23855421686747	0.941089837997054	0.825198637911464	0.407407407407407	0.919117647058823	0.771764705882353	0.925124792013311	0.123595505617978	0.806697108066971	0.0490566037735849	0.756862745098039
