pathway	DB	n	statistic	df	p	method
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	WikiPathways_2019_Human	63	0.210069444444457	1	0.647	Kruskal-Wallis
ACE Inhibitor Pathway WP554	WikiPathways_2019_Human	63	0.0123456790123271	1	0.912	Kruskal-Wallis
Adipogenesis WP236	WikiPathways_2019_Human	63	0.40817901234567	1	0.523	Kruskal-Wallis
AGE/RAGE pathway WP2324	WikiPathways_2019_Human	63	0.25	1	0.617	Kruskal-Wallis
Allograft Rejection WP2328	WikiPathways_2019_Human	63	0.000771604938250903	1	0.978	Kruskal-Wallis
Alpha 6 Beta 4 signaling pathway WP244	WikiPathways_2019_Human	63	0.390625	1	0.532	Kruskal-Wallis
Alzheimers Disease WP2059	WikiPathways_2019_Human	63	0.541859567901241	1	0.462	Kruskal-Wallis
Amino Acid metabolism WP3925	WikiPathways_2019_Human	63	1.4266975308642	1	0.232	Kruskal-Wallis
AMP-activated Protein Kinase (AMPK) Signaling WP1403	WikiPathways_2019_Human	63	0.426118827160508	1	0.514	Kruskal-Wallis
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	WikiPathways_2019_Human	63	0.0933641975308888	1	0.76	Kruskal-Wallis
Amyotrophic lateral sclerosis (ALS) WP2447	WikiPathways_2019_Human	63	0.000771604938250903	1	0.978	Kruskal-Wallis
Androgen receptor signaling pathway WP138	WikiPathways_2019_Human	63	1.08506944444446	1	0.298	Kruskal-Wallis
Angiogenesis WP1539	WikiPathways_2019_Human	63	0.0771604938271651	1	0.781	Kruskal-Wallis
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	WikiPathways_2019_Human	63	1.49382716049382	1	0.222	Kruskal-Wallis
Apoptosis Modulation and Signaling WP1772	WikiPathways_2019_Human	63	0.426118827160508	1	0.514	Kruskal-Wallis
Apoptosis Modulation by HSP70 WP384	WikiPathways_2019_Human	63	0.023341049382708	1	0.879	Kruskal-Wallis
Apoptosis WP254	WikiPathways_2019_Human	63	0.23630401234567	1	0.627	Kruskal-Wallis
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	WikiPathways_2019_Human	63	0.972415123456784	1	0.324	Kruskal-Wallis
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	WikiPathways_2019_Human	63	0.482253086419774	1	0.487	Kruskal-Wallis
Aryl Hydrocarbon Receptor Pathway WP2873	WikiPathways_2019_Human	63	0.0378086419753174	1	0.846	Kruskal-Wallis
Aryl Hydrocarbon Receptor WP2586	WikiPathways_2019_Human	63	0.40817901234567	1	0.523	Kruskal-Wallis
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680	WikiPathways_2019_Human	63	0.765625	1	0.382	Kruskal-Wallis
ATM Signaling Network in Development and Disease  WP3878	WikiPathways_2019_Human	63	1.36111111111111	1	0.243	Kruskal-Wallis
ATM Signaling Pathway WP2516	WikiPathways_2019_Human	63	1.05632716049382	1	0.304	Kruskal-Wallis
B Cell Receptor Signaling Pathway WP23	WikiPathways_2019_Human	63	0.891975308641975	1	0.345	Kruskal-Wallis
BDNF-TrkB Signaling WP3676	WikiPathways_2019_Human	63	0.222993827160508	1	0.637	Kruskal-Wallis
Bladder Cancer WP2828	WikiPathways_2019_Human	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Blood Clotting Cascade WP272	WikiPathways_2019_Human	63	0.40817901234567	1	0.523	Kruskal-Wallis
BMP Signaling Pathway in Eyelid Development WP3927	WikiPathways_2019_Human	63	0.604938271604908	1	0.437	Kruskal-Wallis
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380	WikiPathways_2019_Human	63	0.482253086419774	1	0.487	Kruskal-Wallis
Breast cancer pathway WP4262	WikiPathways_2019_Human	63	0.340277777777771	1	0.56	Kruskal-Wallis
Calcium Regulation in the Cardiac Cell WP536	WikiPathways_2019_Human	63	1.14371141975309	1	0.285	Kruskal-Wallis
Cannabinoid receptor signaling WP3869	WikiPathways_2019_Human	63	2.29185956790124	1	0.13	Kruskal-Wallis
