	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219	X1290.018.076	X1254.018.040	X1286.018.072	X1260.018.046	X1258.018.044	X1242.018.028	X1238.018.024	X1230.018.016	X1264.018.050	X1252.018.038	X1244.018.030	X1232.018.018	X1228.018.014	X1248.018.034	X1348.018.134	X1340.018.126	X1338.018.124	X1328.018.114	X1334.018.120	X1324.018.110	X1310.018.096	X1318.018.104	X1320.018.106	X1326.018.112	X1322.018.108	X1316.018.102	X1314.018.100	X1302.018.088	X1304.018.090	X1308.018.094	X1300.018.086	X1306.018.092	X1294.018.080	X1298.018.084	X1292.018.078	X1288.018.074	X1282.018.068	X1276.018.062	X1272.018.058	X1278.018.064	X1280.018.066
Fertilization Homo sapiens R-HSA-1187000	0.820852130325815	0.93930799773114	1	0.725117248566962	1	1	1	1	0.66869616519174	1	1	1	1	0.961552540913006	0.970999791926758	0.0516735301848769	0.646493095005681	0.908814589665653	0.930507162214479	0.734924078091106	0.575488349765518	0.974670731782128	1	0.529150326797386	0.506319780914262	1	0.83649126376561	1	0.487117311028163	0.879098702678097	0.810650962512665	1	1	0.94277637383818	1	0.79559748427673	0.736582278481013	0.155453149001536	1	1	1	0.983175499605037	1	1	1	0.473930933902807	0.890666295729587	1	1	1	1	1	0.0613173216885007	1	0.385230300723258	0.566506737443855	0.55003400309119	0.780659275663796	1	0.874411764705882	1	1	1	1	0.963627432457963	1	1	1	1	1	0.472971755484481	1	1	1	0.781314989601664	1	0.794110386175278	1	1	0.540724877891371	1	0.838598901098901	1	0.651254480286738	0.81286432160804	1	0.489864625834296	1	0.560492307692308	0.758111926029508	1	1	0.796790067378303	0.241619711584376	1	1	1	1	0.86153581563333	0.707683199409678	1	0.560809812324516	1	0.665127020785219
Reproduction Homo sapiens R-HSA-1474165	0.820852130325815	0.93930799773114	1	0.725117248566962	1	1	1	1	0.66869616519174	1	1	1	1	0.961552540913006	0.970999791926758	0.0516735301848769	0.646493095005681	0.908814589665653	0.930507162214479	0.734924078091106	0.575488349765518	0.974670731782128	1	0.529150326797386	0.506319780914262	1	0.83649126376561	1	0.487117311028163	0.879098702678097	0.810650962512665	1	1	0.94277637383818	1	0.79559748427673	0.736582278481013	0.155453149001536	1	1	1	0.983175499605037	1	1	1	0.473930933902807	0.890666295729587	1	1	1	1	1	0.0613173216885007	1	0.385230300723258	0.566506737443855	0.55003400309119	0.780659275663796	1	0.874411764705882	1	1	1	1	0.963627432457963	1	1	1	1	1	0.472971755484481	1	1	1	0.781314989601664	1	0.794110386175278	1	1	0.540724877891371	1	0.838598901098901	1	0.651254480286738	0.81286432160804	1	0.489864625834296	1	0.560492307692308	0.758111926029508	1	1	0.796790067378303	0.241619711584376	1	1	1	1	0.86153581563333	0.707683199409678	1	0.560809812324516	1	0.665127020785219
Miscellaneous transport and binding events Homo sapiens R-HSA-5223345	0.980049261083744	1	1	1	1	1	1	1	1	1	1	1	0.424590123395732	0.45324114088159	0.234623880944076	0.528784025891464	0.961406408690754	1	1	0.950940368263979	0.90089396231605	0.566929133858268	1	0.940880503144654	0.783506337099272	0.758106517318874	1	1	0.237424924924925	1	0.513371409473678	1	1	1	1	1	1	0.212280701754386	1	1	1	0.42311320754717	1	1	1	0.708715699505173	1	1	1	0.466041275797373	1	0.534899723754151	0.546021406827927	0.518974358974359	1	1	0.491343174776745	0.726215466280613	1	1	1	1	0.429055963821368	1	0.976547094608769	0.45103668261563	1	1	1	1	0.293799204194204	1	1	1	1	1	1	0.653666338582677	1	1	1	0.619810108733118	0.108729293663289	1	0.875979055102347	0.563631300473406	1	1	1	0.235743148199582	1	0.664473684210526	1	0.166556945358789	1	0.350307692307692	1	1	0.628513286731768	0.532960633589564	1	0.955276735459662	0.467510951812027	1
Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562	0.512803188973718	1	1	1	1	1	1	1	1	1	1	1	0.5284269271015	0.576513430683252	0.816217257318952	0.801890686065413	1	0.768370714622483	1	1	1	0.452559130768962	1	0.923713095918534	0.275599128540305	1	0.85797894161083	0.379541685511835	0.352629197212417	0.447078436275736	0.227030932146999	0.441404068607898	0.943783801394409	1	0.961222382820566	0.924260262145828	1	1	1	1	1	1	0.907453764244349	1	1	0.476949785820769	1	1	1	0.744060057271109	0.929123794732414	1	1	1	1	0.584899280228008	0.268668615466383	1	1	1	1	1	0.922918318794608	1	0.958219014672552	0.383855275159623	1	1	0.579339058027583	1	0.709821933615404	1	1	1	1	0.993997599039616	0.445556244871821	1	0.538150042625746	1	1	0.961828923709222	0.781457246440888	1	1	1	1	1	0.995291639562618	0.766052900658682	1	0.893805309734513	1	1	1	0.661514380747408	1	1	0.858994032395567	0.856559012369563	1	1	0.818175529615218	1
Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	0.980049261083744	1	1	0.459489456159822	0.833279759991428	1	1	1	1	1	0.5744334489997	1	1	0.740844286622854	1	0.0799209486166008	1	1	0.889592123769339	1	0.901445251898424	0.41020336850933	1	0.212209749346455	0.526334038348185	1	0.508798391151332	0.794477317554241	0.307026414789046	0.858097100032584	0.522455284552846	1	0.402014211380294	0.438533333333333	1	0.536664407978081	1	1	1	1	1	1	1	1	0.784074650077761	1	1	1	0.482266635859519	0.406458350068279	0.961326788636026	0.503840682788051	0.811832801633614	1	1	0.958031353529834	0.484301546705639	1	1	1	1	1	0.854582093848959	1	1	0.872821546881751	1	0.801783097215437	1	1	0.295992980403627	1	1	1	1	0.348393671077817	1	0.76505274421093	1	1	1	0.756277401355121	0.316857222532069	1	1	1	1	1	0.768327337070539	0.878076108492177	1	1	1	0.984340044742729	1	1	1	1	1	1	1	1	0.991035781544256	0.570140845070423
Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	0.862257152300856	0.959026974592396	1	0.570984500085164	1	1	1	1	1	1	0.726742208346877	1	1	1	0.931337711174256	0.199585430855789	1	1	0.889592123769339	1	0.975656028643613	0.383560740887219	1	0.180788538149597	0.594401911937457	1	0.542131467826306	0.802774234693878	0.203472354299688	0.616159609308407	0.718797235745232	1	0.366938472942921	0.666666666666667	1	0.71875	1	0.999236622959162	1	0.864754890491643	1	1	1	1	0.990839694656489	1	1	1	0.661437908496732	0.123948722136033	1	0.577045497097922	1	1	0.304403625571509	1	0.457598893215823	1	1	1	1	1	1	1	1	0.817341040462428	1	0.879320615234226	1	1	0.484802431610942	1	1	1	1	0.51827667882978	1	0.853462064152151	1	0.837038337038337	1	0.911521718996017	0.458270708674815	1	1	1	1	1	0.792810183067079	0.997751732271856	1	1	1	1	1	1	1	1	0.925509429872101	0.886063019210123	1	1	1	0.58441282133891
Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430	0.71618251668127	0.799762916131582	1	0.355656770130454	0.665866120411575	1	1	1	0.641915857605178	1	0.602502631271196	1	1	1	0.622310664413511	0.534535727693655	1	0.908814589665653	1	1	0.709581008891674	0.620912800625127	1	0.0757163877596828	0.766666666666666	0.902600224117822	0.733183673469388	1	0.203472354299688	1	0.846510647269661	0.714455899198167	0.445040447364135	0.75031922342894	0.961222382820566	0.674666666666667	1	1	1	1	1	1	1	1	1	1	1	1	0.946314631463146	0.466041275797373	1	0.78376999943331	1	1	0.508126313187492	1	0.648912901235722	1	1	1	1	1	1	1	0.705420655859975	0.350420678289531	1	0.922573766712771	1	1	0.424459161147903	1	1	1	1	0.78959174517721	1	0.795810971973763	1	0.69182433896457	1	0.954435602711465	0.730200460072297	1	1	1	1	1	1	1	1	1	1	1	1	0.907400121065375	1	1	0.86153581563333	1	1	1	0.958727546962841	0.535328839144599
Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	0.728865194211729	0.607013738250181	1	0.605672909941819	1	1	1	1	0.664163614163614	1	0.630682778435018	1	1	0.869286588564434	0.706641499609477	0.174972204157838	1	1	1	0.943041691133294	0.635034726678932	0.71311004784689	1	0.0941176470588235	0.506319780914262	1	1	0.444546318935072	0.328942905596382	1	0.815686644198817	0.654979503255365	0.448100933680275	1	0.839362157534246	0.311384615384615	1	0.910675381263617	1	0.90472027972028	1	1	1	0.980611946838031	1	1	1	1	1	0.635490543735225	1	0.719883930583728	1	0.873848684210526	0.116896243033296	1	0.620761977713337	1	1	1	1	1	1	1	1	0.53046218487395	1	0.778227798083572	1	1	0.722549842487928	1	1	1	1	0.331206021927671	1	0.832559039876113	1	0.308983989938475	1	0.806996475655919	0.687505402368398	1	1	1	1	1	1	0.937756255494927	1	1	1	1	1	1	1	1	0.757201646090535	1	1	1	1	0.690603674540682
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	0.593384223918575	1	1	0.713022351797862	1	1	1	1	0.279172413793103	1	0.495223004147831	1	1	0.637676157607132	0.78979893361709	0.121048850574713	1	1	1	1	0.804043261231281	0.275862068965517	1	0.129536	0.554381319759878	0.758106517318874	1	1	0.227411897552288	0.250812911412483	0.555271640018661	1	0.678148672271706	0.666666666666667	1	0.208745874587459	1	0.96343085106383	1	1	1	1	1	0.87258394232064	1	0.980651157121745	1	1	1	0.248718488870164	1	0.486667894489124	1	0.992371082082839	0.965258223410246	1	0.301704258747823	0.917386013447261	1	1	1	1	0.900417731607442	1	1	0.535944998154301	1	1	0.998020394040446	1	0.313721651166585	1	1	1	1	1	1	0.669603524229075	1	0.530852517607484	1	0.877661688785675	0.773946360153257	1	0.890674162017032	1	0.54743928526488	1	0.9057532560763	0.726710912849527	1	1	1	1	1	1	1	1	0.840788840788841	0.855541839673811	1	1	0.47362646636847	1
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	0.639312344656172	0.818844351900052	1	0.427932825903105	1	1	1	1	1	1	1	1	1	1	0.816944890597435	0.0385392444630809	1	1	0.918456375838926	1	0.911832401709803	0.0920167303146027	1	0.242656755784678	0.835332068311195	0.774165707710011	0.48293076866603	1	0.322647317502199	0.791933103787506	0.273903133903134	1	0.761838581252262	1	1	0.80008547008547	1	1	1	1	1	1	1	0.935320734628693	1	1	1	1	0.946314631463146	0.104265402843602	1	0.399925612534288	1	1	1	1	0.598882965219599	0.956274746083663	1	1	1	1	0.577417417417417	1	0.955443886097153	0.757360486226222	1	1	1	1	0.278613904999633	0.886147186147186	1	0.98723544973545	0.823546306870636	0.422723475355054	1	0.792085407470023	1	0.489273356401384	1	0.402675614057728	0.534362429684035	1	1	1	1	1	0.44078271713615	0.766052900658682	1	1	1	0.897558230573498	1	1	0.837341772151899	1	1	0.562354931350564	1	1	0.537128261266192	0.821060030508779
