	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219	X1290.018.076	X1254.018.040	X1286.018.072	X1260.018.046	X1258.018.044	X1242.018.028	X1238.018.024	X1230.018.016	X1264.018.050	X1252.018.038	X1244.018.030	X1232.018.018	X1228.018.014	X1248.018.034	X1348.018.134	X1340.018.126	X1338.018.124	X1328.018.114	X1334.018.120	X1324.018.110	X1310.018.096	X1318.018.104	X1320.018.106	X1326.018.112	X1322.018.108	X1316.018.102	X1314.018.100	X1302.018.088	X1304.018.090	X1308.018.094	X1300.018.086	X1306.018.092	X1294.018.080	X1298.018.084	X1292.018.078	X1288.018.074	X1282.018.068	X1276.018.062	X1272.018.058	X1278.018.064	X1280.018.066
ABC transporters	0.847826086956522	0.485519591141397	0.313253012048193	0.981878088962109	0.677891654465593	0.605381165919282	0.96742671009772	0.163934426229508	0.569767441860465	0.877470355731225	0.584645669291339	0.814457831325301	0.346099290780142	0.169877408056042	0.196911196911197	0.239038189533239	0.651612903225806	0.72113676731794	0.0637119113573407	0.29126213592233	0.293556085918854	0.55732946298984	0.955752212389381	0.663865546218487	0.92	0.802564102564103	0.870796460176991	0.798857142857143	0.471794871794872	0.966666666666667	0.272727272727273	0.957932692307692	0.303867403314917	0.397560975609756	0.43562874251497	0.885885885885886	0.362903225806452	0.0798319327731092	0.479910714285714	0.353535353535354	0.697428139183056	0.579967689822294	0.785714285714286	0.768824306472919	0.82514450867052	0.42112676056338	0.821899736147757	0.29320987654321	0.237851662404092	0.849740932642487	0.564784053156146	0.210970464135021	0.747638326585695	0.964601769911504	0.494310998735777	0.793733681462141	0.238653001464129	0.80970625798212	0.922680412371134	0.792857142857143	0.212201591511936	0.590909090909091	0.440625	0.00193423597678917	0.377703826955075	0.87037037037037	0.949622166246851	0.459196102314251	0.732142857142857	0.799586776859504	0.844884488448845	0.316326530612245	0.0673469387755102	0.942779291553134	0.920547945205479	0.949677419354839	0.471861471861472	0.83111954459203	0.464659685863874	0.515856236786469	0.474127557160048	0.757062146892655	0.102880658436214	0.59877800407332	0.891017964071856	0.945841392649903	0.672268907563025	0.0633802816901408	0.326789838337182	0.401273885350318	0.353556485355649	0.316883116883117	0.450915141430948	0.505	0.181942544459644	0.189830508474576	0.641711229946524	0.65	0.0582191780821918	0.442141623488774	0.773987206823028	0.298039215686275	0.562043795620438	0.846456692913386
AGE-RAGE signaling pathway in diabetic complications	0.00727272727272727	0.082258064516129	1	0.327327327327327	0.755364806866953	1	0.558441558441558	0.00993377483443709	0.867950481430536	0.994305239179954	1	0.99748743718593	0.187192118226601	0.00246305418719212	0.0503597122302158	0.00259403372243839	0.992009132420091	0.971476510067114	0.808972503617945	0.00214592274678112	0.00147058823529412	0.00409836065573771	0.349775784753363	0.00251572327044025	0.00239234449760766	0.00156985871271586	0.550167224080268	0.0196078431372549	0.0029673590504451	0.224913494809689	0.00143061516452074	0.353658536585366	0.00430416068866571	0.206015037593985	0.124826629680999	0.0436363636363636	0.96793893129771	0.00448430493273543	0.967532467532468	0.0019047619047619	0.609665427509294	0.111716621253406	0.998191681735985	0.947491248541424	0.0762388818297332	0.00526315789473684	0.22962962962963	0.033210332103321	0.694006309148265	0.00246305418719212	0.0151324085750315	0.00185528756957328	0.0233372228704784	0.00574712643678161	0.0214446952595937	0.791946308724832	0.00420168067226891	0.0103211009174312	0.32120253164557	0.0454545454545455	0.053125	0.00375234521575985	0.00902061855670103	0.00642398286937901	0.945945945945946	0.00632911392405063	0.0102156640181612	0.145054945054945	0.0373725934314836	0.974409448818898	0.00286532951289398	0.0236842105263158	0.00574712643678161	0.491803278688525	0.63206106870229	0.504555808656036	0.425138632162662	0.00200803212851406	0.0122699386503067	0.919191919191919	0.409090909090909	0.00216450216450216	0.00518134715025907	0.977678571428571	0.875809935205184	0.00194552529182879	0.0116279069767442	0.04	0.00105485232067511	0.00204498977505112	0.787762906309751	0.00689655172413793	0.737313432835821	0.00288184438040346	0.980099502487562	0.00302114803625378	0.95414847161572	0.295454545454545	0.87248322147651	0.00238663484486874	0.870629370629371	0.0780911062906725	0.00221729490022173	0.18984962406015
AMPK signaling pathway	1	0.800324675324675	1	1	0.982074263764405	0.727959697732998	0.902439024390244	1	1	1	0.979381443298969	1	0.921875	0.992481203007519	0.998864926220204	0.264150943396226	1	1	0.193181818181818	1	0.804964539007092	0.920168067226891	0.315068493150685	1	0.0246305418719212	1	1	0.997938144329897	0.975232198142415	0.95583038869258	0.991561181434599	1	0.994413407821229	0.0691823899371069	0.210332103321033	1	1	1	1	0.897703549060543	1	0.514204545454545	1	0.655172413793103	0.92997542997543	0.153409090909091	1	0.31496062992126	0.0454545454545455	1	0.807361963190184	0.837037037037037	0.738095238095238	0.829022988505747	0.6875	0.163934426229508	0.354368932038835	0.559819413092551	1	0.354166666666667	0.719354838709677	0.939784946236559	0.542929292929293	1	1	0.443023255813953	1	1	0.904550499445061	1	0.134110787172012	0.595744680851064	0.987525987525988	0.896321070234114	0.87905604719764	1	1	0.398809523809524	0.986013986013986	0.798582995951417	1	0.851648351648352	0.367875647668394	0.181308411214953	0.886170212765957	0.982318271119843	1	0.730769230769231	0.7839248434238	0.985324947589098	0.919421487603306	0.553719008264463	0.996875	0.585365853658537	0.990243902439024	0.202346041055718	1	1	1	0.281173594132029	0.0619047619047619	1	0.419501133786848	0.263257575757576
Acute myeloid leukemia	1	0.112054329371817	0.633802816901408	0.473087818696884	0.669014084507042	1	0.414304993252362	0.965413533834587	1	0.968253968253968	0.897087378640777	0.158653846153846	0.725806451612903	0.0265060240963855	0.658291457286432	0.369595536959554	0.810049019607843	1	0.00584795321637427	0.00408997955010225	0.00623052959501558	0.109022556390977	0.992982456140351	0.0573333333333333	0.981981981981982	0.604200323101777	1	0.945115257958288	0.00286532951289398	0.960176991150443	0.0182094081942337	0.0227272727272727	0.0189873417721519	0.639370078740157	1	0.00320512820512821	0.363494539781591	0.0181818181818182	0.261316872427984	0.763257575757576	0.515988372093023	0.61038961038961	0.149253731343284	0.873918417799753	0.013550135501355	0.667953667953668	0.0631578947368421	1	0.00978792822185971	0.948837209302326	0.00685871056241427	0.674157303370786	0.0950570342205323	0.903614457831325	0.381118881118881	0.183783783783784	0.0326086956521739	0.0304506699147381	0.996677740863787	0.126126126126126	0.8484375	0.0517241379310345	0.517482517482518	0.683127572016461	0.167979002624672	0.63594470046083	0.901323706377858	0.500588928150766	0.0158730158730159	1	0.00261780104712042	0.67	0.513292433537832	0.949771689497717	0.706521739130435	0.369062119366626	0.394957983193277	0.119842829076621	0.995073891625616	1	1	0.0995850622406639	0.00840336134453781	0.588345864661654	0.146924829157175	0.24901185770751	0.1328125	0.882575757575758	0.144420131291028	0.373716632443532	0.979035639412998	0.0414507772020725	0.998415213946117	0.604200323101777	1	0.00264550264550265	0.960233918128655	1	1	0.323185011709602	0.037037037037037	0.830897703549061	0.0665137614678899	0.0101010101010101
Adherens junction	0.26984126984127	0.933898305084746	1	0.530708661417323	1	0.992982456140351	1	1	1	1	1	1	0.0912698412698413	0.0543735224586288	0.0935672514619883	0.351313969571231	0.894409937888199	0.273809523809524	0.76	0.452868852459016	0.392694063926941	0.00398406374501992	0.787545787545788	0.396026490066225	0.00886917960088692	0.0357142857142857	1	0.37037037037037	0.0142450142450142	0.612472160356347	0.152798789712557	1	0.605546995377504	0.997101449275362	1	0.0629139072847682	1	0.00404858299595142	1	0.640718562874252	0.963715529753266	0.0236842105263158	1	0.0944444444444444	0.481283422459893	0.133603238866397	1	0.993527508090615	0.954098360655738	0.995316159250585	0.333333333333333	0.421150278293135	0.863636363636364	0.239227340267459	0.580232558139535	0.0228571428571429	0.0037037037037037	1	0.948504983388704	0.752475247524752	1	1	0.046195652173913	1	0.128686327077748	0.0198019801980198	1	1	0.682142857142857	0.653696498054475	0.0212201591511936	0.279778393351801	0.996062992125984	0.996960486322188	1	0.337756332931242	0.639751552795031	0.944554455445545	0.244565217391304	0.991769547325103	0.983471074380165	0.123689727463312	0.00840336134453781	1	0.991803278688525	0.0462776659959759	0.201612903225806	0.408	0.242655059847661	0.0227743271221532	0.915811088295688	0.983695652173913	1	0.997267759562842	0.845833333333333	0.102425876010782	1	1	0.991349480968858	0.00239234449760766	0.599562363238512	0.171610169491525	0.165909090909091	0.953033268101761
Adipocytokine signaling pathway	1	0.613976705490849	0.818181818181818	0.811475409836066	0.984700973574409	1	0.92442645074224	0.814589665653495	0.765957446808511	0.479268292682927	0.645593869731801	1	0.998646820027064	0.884615384615385	0.994594594594595	0.155027932960894	1	1	0.2	0.0311203319502075	0.0854037267080745	0.135135135135135	0.93213296398892	0.512582781456954	0.659863945578231	0.979643765903308	0.998251748251748	0.860566448801743	0.273743016759777	0.890287769784173	0.764795144157815	0.3	0.0923317683881064	0.052924791086351	0.972058823529412	0.559712230215827	0.11854103343465	0.848484848484849	0.930470347648262	0.480237154150198	0.981021897810219	0.745205479452055	1	0.274193548387097	0.316711590296496	0.962962962962963	0.931623931623932	0.983818770226537	0.0922570016474465	0.983606557377049	0.843454790823212	0.686131386861314	0.471337579617834	0.946508172362556	0.95364238410596	0.998774509803922	0.583916083916084	0.259708737864078	0.984886649874055	0.19	1	1	0.240715268225585	0.606870229007634	1	0.650375939849624	0.650306748466258	0.625882352941176	0.264634146341463	0.4921875	0.879581151832461	0.153305203938115	0.37875751503006	0.963414634146341	1	0.0114285714285714	1	0.332688588007737	0.819095477386935	0.803312629399586	0.99540757749713	0.390041493775934	0.523206751054852	0.113594040968343	0.286848072562358	0.986027944111776	0.863247863247863	0.84251968503937	0.198697068403909	0.975095785440613	0.991578947368421	1	0.940054495912807	0.723538704581359	0.421875	0.554666666666667	0.824884792626728	0.872705018359853	0.497453310696095	0.673708920187793	0.141573033707865	0.995824634655532	0.770419426048565	0.323108384458078
Adrenergic signaling in cardiomyocytes	0.952380952380952	0.386473429951691	0.169354838709677	0.0531609195402299	0.47565543071161	0.998316498316498	0.997506234413965	0.723433242506812	0.453836150845254	0.769656699889258	0.946280991735537	1	0.351807228915663	0.260869565217391	0.153163152053274	0.0324189526184539	0.0163934426229508	1	0.86737400530504	0.631086142322097	0.987821380243572	0.32089552238806	0.765206812652068	0.948717948717949	0.662650602409639	0.575221238938053	0.804511278195489	0.083758937691522	0.66	0.406196213425129	0.573816155988858	0.616182572614108	0.451388888888889	1	0.497959183673469	0.868146214099217	0.310043668122271	0.146766169154229	0.86322869955157	0.227848101265823	0.261038961038961	0.769828926905132	0.689964157706093	0.201975850713502	0.248192771084337	0.169014084507042	0.158991228070175	0.468992248062016	0.666666666666667	0.571428571428571	0.599759615384615	0.364210526315789	0.689887640449438	0.591036414565826	0.603466955579632	0.945067264573991	0.666666666666667	0.186608122941822	1	0.496881496881497	0.152482269503546	0.960072595281307	0.501818181818182	0.0963636363636364	0.0169971671388102	0.956867196367764	0.995594713656388	0.365466101694915	0.0525739320920044	0.0744274809160305	0.927051671732523	0.0883084577114428	0.25601750547046	0.666666666666667	0.781791907514451	0.413304252998909	0.521920668058455	0.957364341085271	0.997703788748565	0.329989969909729	0.119402985074627	0.198934280639432	0.698324022346369	0.543290043290043	0.490052356020942	0.835728952772074	0.205882352941176	0.146163215590743	0.0874485596707819	0.513761467889908	0.695918367346939	0.901766004415011	0.604225352112676	0.991404011461318	0.698837209302326	0.617429837518464	0.559196617336152	1	0.519480519480519	0.631756756756757	1	0.995771670190275	0.458823529411765	0.942748091603053
African trypanosomiasis	0.340836012861736	0.172351885098743	0.316363636363636	0.00748129675810474	0.00289855072463768	0.944344703770198	0.00720461095100865	0.15625	0.110935023771791	0.51568894952251	0.145873320537428	0.00699300699300699	0.233918128654971	0.0168674698795181	0.218666666666667	0.0252225519287834	0.431216931216931	0.00189753320683112	0.00542005420054201	0.0041407867494824	0.00170068027210884	0.00579710144927536	0.470254957507082	0.00144927536231884	0.0909090909090909	0.0844370860927152	0.257075471698113	0.00602409638554217	0.177835051546392	0.0023696682464455	0.00329489291598023	0.620320855614973	0.00967741935483871	0.286201022146508	0.543939393939394	0.534848484848485	0.234146341463415	0.0101010101010101	0.261363636363636	0.00775193798449612	0.913112164296998	0.0495049504950495	0.0729537366548043	0.0596393897364771	0.111428571428571	0.00666666666666667	0.52755905511811	0.0303490136570561	0.340531561461794	0.0375586854460094	0.00148588410104012	0.668008048289738	0.00140252454417952	0.60410094637224	0.00126582278481013	0.0698924731182796	0.694029850746269	0.00531208499335989	0.0117647058823529	0.0483091787439614	0.400990099009901	0.00192307692307692	0.805970149253731	0.413926499032882	0.00233644859813084	0.601315789473684	0.00636942675159236	0.436386768447837	0.00529100529100529	0.108778625954198	0.00477326968973747	0.220059880239521	0.00808080808080808	0.0956072351421189	0.0385906040268456	0.142297650130548	0.381551362683438	0.0155339805825243	0.0181818181818182	0.896514161220044	0.0476190476190476	0.00420168067226891	0.0110294117647059	0.0714285714285714	0.213114754098361	0.957831325301205	0.00505050505050505	0.175953079178886	0.00116550116550117	0.0125	0.646833013435701	0.00793650793650794	0.217703349282297	0.163366336633663	0.166089965397924	0.00248756218905473	0.142857142857143	0.806788511749347	0.753056234718826	0.627314814814815	0.106941838649156	0.00412371134020619	0.0043956043956044	0.692307692307692
Alanine, aspartate and glutamate metabolism	0.51413881748072	0.985428051001822	0.935483870967742	0.66383701188455	0.471494607087827	0.943327239488117	0.85672514619883	0.88758389261745	0.834394904458599	0.633649932157395	0.959223300970874	0.536130536130536	0.923076923076923	0.600349040139616	0.589459084604716	0.723308270676692	0.788487282463186	0.424242424242424	0.788643533123028	0.18111753371869	0.745674740484429	0.789877300613497	0.932432432432432	0.907185628742515	0.985239852398524	0.381270903010033	0.0267857142857143	0.681159420289855	0.890909090909091	0.521968365553603	0.982800982800983	0.187344913151365	0.946843853820598	0.953703703703704	0.853125	0.491525423728814	0.992248062015504	0.834890965732087	0.94392523364486	0.784499054820416	0.277337559429477	0.954081632653061	0.246800731261426	0.896792189679219	0.947994056463596	0.570588235294118	1	0.895384615384615	0.477751756440281	0.954545454545455	0.826347305389222	0.969072164948454	0.0827586206896552	0.0696920583468395	0.789473684210526	0.575438596491228	0.968115942028986	0.582312925170068	0.987783595113438	0.725063938618926	0.193069306930693	0.860194174757282	0.977337110481586	0.255859375	0.88735632183908	0.44280442804428	0.184426229508197	0.234314980793854	0.468027210884354	0.623949579831933	0.538994800693241	0.711450381679389	0.616632860040568	0.0501672240802676	0.427335640138408	0.69047619047619	0.474120082815735	0.895348837209302	0.988857938718663	0.90990990990991	0.571611253196931	0.785714285714286	0.976027397260274	0.921971252566735	0.0523809523809524	1	0.951653944020356	0.731778425655977	0.359669811320755	0.423480083857442	0.948818897637795	0.459722222222222	0.993185689948893	0.0626506024096386	0.642241379310345	0.421666666666667	0.820876288659794	0.270916334661355	0.915641476274165	0.298850574712644	0.137476459510358	0.585798816568047	0.989169675090253	0.056640625
Alcoholism	1	0.796774193548387	0.848341232227488	0.194319880418535	0.898569570871261	0.974832214765101	0.925974025974026	0.992857142857143	0.996363636363636	0.389521640091116	0.787368421052632	0.985099337748344	0.829787234042553	0.827586206896552	0.698725376593279	0.0739299610894942	0.424657534246575	1	0.115755627009646	0.888059701492537	0.647058823529412	0.819261213720317	0.986547085201794	0.637735849056604	0.129186602870813	0.994520547945206	0.0953177257525084	0.79074658254469	1	0.330449826989619	0.30758226037196	0.207317073170732	0.911475409836066	0.919881305637982	0.257975034674064	0.512727272727273	0.723342939481268	0.99614890885751	0.835185185185185	0.958095238095238	0.87360594795539	0.88283378746594	0.115732368896926	0.61026837806301	0.296060991105464	0.881773399014778	0.89042675893887	0.350553505535055	0.140378548895899	0.967980295566502	0.191677175283733	0.987012987012987	0.739789964994166	0.498563218390805	0.982758620689655	0.946308724832215	0.722689075630252	0.036697247706422	0.977848101265823	0.943376068376068	0.900293255131965	0.88272921108742	0.139175257731959	0.334579439252336	0.895366218236173	0.316455696202532	0.790011350737798	0.563736263736264	0.194790486976217	0.413385826771654	0.346704871060172	0.102631578947368	0.925	0.60545193687231	0.994236311239193	0.212984054669704	0.986984815618221	0.813492063492063	1	0.578787878787879	0.62691466083151	0.701298701298701	0.958549222797927	0.909747292418773	0.299136069114471	0.282101167315175	0.91703056768559	0.957528957528958	0.358649789029536	0.736196319018405	0.855949895615866	1	0.968515742128936	0.906870229007634	0.978776529338327	0.0785498489425982	0.912663755458515	0.554545454545455	0.48993288590604	0.64200477326969	0.972093023255814	0.982646420824295	0.627494456762749	0.105263157894737
